Friends	Friends	ng1	Friends	friend	0
,	,	,	,	,	0
I	I	pns11	I	i	0
Could	Could	vmd	Could	can	0
not	not	xx	not	not	0
chuse	chuse	vvi	choose	choose	0
but	but	cc-acp	but	but	0
make	make	vvi	make	make	0
mention	mention	n1	mention	mention	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
front	front	n1	front	front	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Discourse	Discourse	n1	Discourse	discourse	0
;	;	;	;	;	0
and	and	cc	and	and	0
that	that	cst	that	that	0
for	for	p-acp	for	for	0
these	these	d	these	these	0
two	two	crd	two	two	0
Reasons	Reasons	n2	Reasons	reason	0
,	,	,	,	,	0
amongst	amongst	p-acp	among	among	0
many	many	d	many	many	0
others	others	n2-jn	others	other	0
:	:	:	:	:	0
First	First	ord	First	first	0
,	,	,	,	,	0
Because	Because	c-acp	Because	because	0
most	most	ds	most	most	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
did	did	vdd	did	do	0
sym	sym	vvi	sym	sym	0
∣	∣	sy	∣	∣	0
pathize	pathize	vvb	pathize	pathize	0
with	with	p-acp	with	with	0
me	me	pno11	me	i	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
late	late	j	late	late	0
sorrows	sorrows	n2	sorrows	sorrow	0
,	,	,	,	,	0
and	and	cc	and	and	0
were	were	vbdr	were	be	0
very	very	av	very	very	0
willing	willing	j	willing	willing	0
and	and	cc	and	and	0
freely	freely	av-j	freely	free	0
active	active	j	active	active	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
enlargement	enlargement	n1	enlargement	enlargement	0
.	.	.	.	.	1
Secondly	Secondly	ord	Secondly	second	0
,	,	,	,	,	0
Because	Because	c-acp	Because	because	0
most	most	ds	most	most	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
at	at	p-acp	at	at	0
sundry	sundry	j	sundry	sundry	0
times	times	n2	times	time	0
,	,	,	,	,	0
either	either	av-d	either	either	0
publiquely	publiquely	av-j	publicly	public	0
or	or	cc	or	or	0
pri	pri	zz	pri	pri	0
∣	∣	sy	∣	∣	0
vately	vately	av-jn	vately	vate	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
partakers	partakers	n2	partakers	partaker	0
in	in	p-acp	in	in	0
hearing	hearing	vvg	hearing	hear	0
of	of	pp-f	of	of	0
what	what	r-crq	what	what	0
is	is	vbz	is	be	0
here	here	av	here	here	0
presented	presented	vvn	presented	present	0
unto	unto	p-acp	unto	unto	0
your	your	po22	your	your	0
