Dear	Dear	j-jn	Dear	dear	0
and	and	cc	and	and	0
Well-beloved	Well-beloved	j	Well-beloved	well-beloved	0
Father	Father	n1	Father	father	0
,	,	,	,	,	0
NOt	NOt	xx	NOt	not	0
only	only	av-j	only	only	0
the	the	dt	the	the	0
Bonds	Bonds	n2	Bonds	bond	0
of	of	pp-f	of	of	0
Nature	Nature	n1	Nature	nature	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
knot	knot	n1	knot	knot	0
of	of	pp-f	of	of	0
Re	Re	zz	Re	re	0
∣	∣	sy	∣	∣	0
lation	lation	n1	lation	lation	0
betwixt	betwixt	p-acp	betwixt	betwixt	0
us	us	pno12	us	we	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
the	the	dt	the	the	0
great	great	j	great	great	0
Cord	Cord	n1	Cord	cord	0
of	of	pp-f	of	of	0
Af	Af	pp-f	Of	of	0
∣	∣	sy	∣	∣	0
fection	fection	n1	fection	fection	0
and	and	cc	and	and	0
Christianity	Christianity	n1	Christianity	christianity	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
drawn	drawn	vvn	drawn	draw	0
me	me	pno11	me	i	0
forth	forth	av	forth	forth	0
,	,	,	,	,	0
and	and	cc	and	and	0
induced	induced	vvd	induced	induce	0
me	me	pno11	me	i	0
to	to	p-acp	to	to	0
Dedicate	Dedicate	j	Dedicate	dedicate	0
these	these	d	these	these	0
my	my	po11	my	my	0
weak	weak	j	weak	weak	0
fruits	fruits	n2	fruits	fruit	0
of	of	pp-f	of	of	0
Labour	Labour	n1	Labour	labour	0
and	and	cc	and	and	0
Love	Love	vvi	Love	love	0
unto	unto	p-acp	unto	unto	0
your	your	po22	your	your	0
serious	serious	j	serious	serious	0
and	and	cc	and	and	0
pious	pious	j	pious	pious	0
Consideration	Consideration	n1	Consideration	consideration	0
:	:	:	:	:	0
judg	judg	vvb	judge	judge	0
∣	∣	sy	∣	∣	0
ing	ing	n1	king	king	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
great	great	j	great	great	0
Manifestation	Manifestation	n1	Manifestation	manifestation	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Duty	Duty	n1	Duty	duty	0
towards	towards	p-acp	towards	towards	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
signal	signal	n1	signal	signal	0
Token	Token	n1	Token	token	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
tender	tender	j	tender	tender	0
Love	Love	n1	Love	love	0
and	and	cc	and	and	0
Respect	Respect	n1	Respect	respect	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
your	your	po22	your	your	0
Deserts	Deserts	n2	Deserts	desert	0
(	(	(	(	(	0
through	through	p-acp	through	through	0
Grace	Grace	n1	Grace	grace	0
)	)	)	)	)	0
calls	calls	vvz	calls	call	0
for	for	p-acp	for	for	0
at	at	p-acp	at	at	0
my	my	po11	my	my	0
hands	hands	n2	hands	hand	0
:	:	:	:	:	0
It	It	pn31	It	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
Silver	Silver	n1	Silver	silver	0
nor	nor	ccx	nor	nor	0
Gold	Gold	n1	Gold	gold	0
,	,	,	,	,	0
Money	Money	n1	Money	money	0
nor	nor	ccx	nor	nor	0
Riches	Riches	n2	Riches	riches	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
here	here	av	here	here	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
or	or	cc	or	or	0
to	to	p-acp	to	to	0
accommodate	accommodate	vvi	accommodate	accommodate	0
you	you	pn22	you	you	0
withal	withal	av	withal	withal	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
my	my	po11	my	my	0
Heavenly	Heavenly	j	Heavenly	heavenly	0
Father	Father	n1	Father	father	0
hath	hath	vhz	hath	have	0
(	(	(	(	(	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
abundant	abundant	j	abundant	abundant	0
trea	trea	n1	trea	trea	0
∣	∣	sy	∣	∣	0
sures	sures	vvz	sures	sure	0
)	)	)	)	)	0
bestowed	bestowed	vvd	bestowed	bestow	0
upon	upon	p-acp	upon	upon	0
me	me	pno11	me	i	0
:	:	:	:	:	0
It	It	pn31	It	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
Earthly	Earthly	j	Earthly	earthly	0
shadows	shadows	n2	shadows	shadow	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Temporal	Temporal	j	Temporal	temporal	0
Concernment	Concernment	n1	Concernment	concernment	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
Heavenly	Heavenly	j	Heavenly	heavenly	0
Substance	Substance	n1	Substance	substance	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Spiritual	Spiritual	j	Spiritual	spiritual	0
Nature	Nature	n1	Nature	nature	0
;	;	;	;	;	0
Therefore	Therefore	av	Therefore	therefore	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
Received	Received	vvn	Received	receive	0
,	,	,	,	,	0
I	I	pns11	I	i	0
freely	freely	av-j	freely	free	0
and	and	cc	and	and	0
cor	cor	uh	cor	cor	0
∣	∣	sy	∣	∣	0
dially	dially	av-j	dially	dial	0
impart	impart	vvb	impart	impart	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
hoping	hoping	vvg	hoping	hope	0
it	it	pn31	it	it	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
an	an	dt	and	a	0
acceptable	acceptable	j	acceptable	acceptable	0
To	To	p-acp	To	to	0
∣	∣	sy	∣	∣	0
ken	ken	n1	ken	ken	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
.	.	.	.	.	1
Your	Your	po22	Your	your	0
