BEloued	BEloued	j-vvn	Beloved	belove	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
this	this	d	this	this	0
Sermon	Sermon	n1	Sermon	sermon	0
was	was	vbds	was	be	0
lately	lately	av-j	lately	late	0
preached	preached	vvn	preached	preach	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
parish	parish	n1	parish	parish	0
;	;	;	;	;	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
now	now	av	now	now	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
acted	acted	vvn	acted	act	0
(	(	(	(	(	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
say	say	vvi	say	say	0
so	so	av	so	so	0
)	)	)	)	)	0
vpon	vpon	p-acp	upon	upon	0
a	a	dt	a	a	0
Theater	Theater	n1	Theater	theater	0
;	;	;	;	;	0
Theatrum	Theatrum	fw-la	Theatrum	theatrum	0
mundus	mundus	fw-la	mundus	mundus	0
.	.	.	.	.	1
&	&	cc	&	and	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
intreated	intreated	vvn	entreated	entreat	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
a	a	dt	a	a	0
prologue	prologue	n1	prologue	prologue	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
Come	Come	vvb	Come	come	0
and	and	cc	and	and	0
see	see	vvi	see	see	0
.	.	.	.	.	1
Ioh.	Ioh.	np1	Ioh.	Ioh.	0
1.46	1.46	crd	1.46	1.46	0
.	.	.	.	.	1
I	I	pns11	I	i	0
need	need	vvb	need	need	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
it	it	pn31	it	it	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
you	you	pn22	you	you	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
are	are	vbr	are	be	0
carefull	carefull	j	careful	careful	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
and	and	cc	and	and	0
heare	heare	vvi	hear	hear	0
,	,	,	,	,	0
will	will	vmb	will	will	0
(	(	(	(	(	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
)	)	)	)	)	0
be	be	vbi	be	be	0
as	as	c-acp	as	as	0
carefull	carefull	j	careful	careful	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
&	&	cc	&	and	0
see	see	vvi	see	see	0
.	.	.	.	.	1
Come	Come	np1	Come	Come	0
there	there	pc-acp	there	there	0
∣	∣	sy	∣	∣	0
fore	fore	n1	before	fore	0
,	,	,	,	,	0
I	I	pns11	I	i	0
beseech	beseech	vvb	beseech	beseech	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
behold	behold	vvb	behold	behold	0
another	another	j-jn	another	another	0
Iohn	Iohn	np1	Iohn	John	0
Baptist	Baptist	np1	Baptist	Baptist	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
spirit	spirit	n1	spirit	spirit	0
of	of	pp-f	of	of	0
Elias	Elias	np1	Elias	Elias	0
,	,	,	,	,	0
preparing	preparing	vvg	preparing	prepare	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
harts	harts	n2	hearts	heart	0
a	a	dt	a	a	0
way	way	n1	way	way	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
:	:	:	:	:	0
Luke	Luke	av	Lycia	luke	0
.	.	.	.	.	1
3.4	3.4	crd	3.4	3.4	0
.	.	.	.	.	0
and	and	cc	and	and	0
saying	saying	vvg	saying	say	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
as	as	p-acp	as	as	0
God	God	np1	God	God	0
saith	saith	vvz	says	say	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
,	,	,	,	,	0
This	This	d	This	this	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
way	way	n1	way	way	0
,	,	,	,	,	0
walke	walke	vvb	walk	walk	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
.	.	.	.	.	1
Isay.	Isay.	np1	Isay.	Isay.	0
30.21	30.21	crd	30.21	30.21	0
.	.	.	.	.	1
Are	Are	vbr	Are	be	0
you	you	pn22	you	you	0
desirous	desirous	j	desirous	desirous	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
guide	guide	n1	guide	guide	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
way	way	n1	way	way	0
?	?	?	?	?	0
here	here	av	here	here	0
are	are	vbr	are	be	0
two	two	crd	two	two	0
offering	offering	n1	offering	offering	0
of	of	pp-f	of	of	0
themselues	themselues	px32	themselves	themselves	0
,	,	,	,	,	0
God	God	n1	God	god	0
&	&	cc	&	and	0
Baal	Baal	np1	Baal	Baal	0
;	;	;	;	;	0
the	the	dt	the	the	0
one	one	pi	one	one	0
will	will	vmb	will	will	0
con	con	vvi	con	con	0
∣	∣	sy	∣	∣	0
duct	duct	n1	dust	dust	0
you	you	pn22	you	you	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
land	land	n1	land	land	0
of	of	pp-f	of	of	0
Canaan	Canaan	np1	Canaan	Canaan	0
,	,	,	,	,	0
Ios.	Ios.	np1	Ios.	Ios.	1
1.2	1.2	crd	1.2	1.2	0
.	.	.	.	.	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
will	will	vmb	will	will	0
lead	lead	vvi	led	lead	0
you	you	pn22	you	you	0
blindfold	blindfold	j	blindfold	blindfold	0
to	to	p-acp	to	to	0
Samaria2	Samaria2	np1	Samaria2	Samaria2	0
.	.	.	.	.	1
King	King	n1	King	king	0
.	.	.	.	.	1
6.19	6.19	crd	6.19	6.19	0
..	..	..	..	..	1
If	If	cs	If	if	0
you	you	pn22	you	you	0
follow	follow	vvb	follow	follow	0
the	the	dt	the	the	0
one	one	pi	one	one	0
,	,	,	,	,	0
you	you	pn22	you	you	0
wil	wil	vmb	will	will	0
worship	worship	vvi	worship	worship	0
in	in	p-acp	in	in	0
mount	mount	n1	mount	mount	0
Zion	Zion	np1	Zion	Zion	0
;	;	;	;	;	0
