Honorable	Honorable	j	Honourable	honourable	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
WE	WE	pns12	WE	we	0
reade	reade	vvb	read	read	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Booke	Booke	n1	Book	book	0
of	of	pp-f	of	of	0
Exo	Exo	np1	Exo	Exo	0
∣	∣	sy	∣	∣	0
dus	dus	zf	dus	thus	0
how	how	uh-crq	how	how	0
God	God	np1	God	God	0
by	by	p-acp	by	by	0
MOSES	MOSES	np1	MOSES	Moses	0
,	,	,	,	,	0
Exod.	Exod.	np1	Exod.	Exod.	1
35.45	35.45	crd	35.45	35.45	0
and	and	cc	and	and	0
MOSES	MOSES	np1	MOSES	Moses	0
from	from	p-acp	from	from	0
God	God	np1	God	God	0
,	,	,	,	,	0
commanded	commanded	vvd	commanded	command	0
the	the	dt	the	the	0
people	people	n1	people	people	0
of	of	pp-f	of	of	0
Israel	Israel	np1	Israel	Israel	0
to	to	pc-acp	to	to	0
bring	bring	vvi	bring	bring	0
their	their	po32	their	their	0
offerings	offerings	n2	offerings	offering	0
and	and	cc	and	and	0
gifts	gifts	n2	gifts	gift	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
erecting	erecting	vvg	erecting	erect	0
and	and	cc	and	and	0
building	building	n-vvg	building	build	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Tabernacle	Tabernacle	n1	Tabernacle	tabernacle	0
.	.	.	.	.	1
Whereof	Whereof	c-crq	Whereof	whereof	0
some	some	d	some	some	0
brought	brought	vvd	brought	bring	0
more	more	av-dc	more	more	0
rich	rich	j	rich	rich	0
,	,	,	,	,	0
sumptuous	sumptuous	j	sumptuous	sumptuous	0
,	,	,	,	,	0
and	and	cc	and	and	0
costly	costly	j	costly	costly	0
gifts	gifts	n2	gifts	gift	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Gold	Gold	n1	Gold	gold	0
,	,	,	,	,	0
Siluer	Siluer	n1	Silver	silver	0
,	,	,	,	,	0
Eare-rings	Eare-rings	n2	Earrings	earring	0
,	,	,	,	,	0
Rings	Rings	n2	Rings	ring	0
,	,	,	,	,	0
and	and	cc	and	and	0
Bracelets	Bracelets	n2	Bracelets	bracelet	0
,	,	,	,	,	0
all	all	d	all	all	0
being	being	vbg	being	be	0
Iewels	Iewels	n2	Jewels	jewel	0
of	of	pp-f	of	of	0
Gold	Gold	n1	Gold	gold	0
.	.	.	.	.	1
Some	Some	d	Some	some	0
more	more	dc	more	more	0
meane	meane	j	mean	mean	0
,	,	,	,	,	0
base	base	j	base	base	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
lesse	lesse	dc	less	less	0
value	value	n1	valve	value	0
,	,	,	,	,	0
worth	worth	n1	worth	worth	0
,	,	,	,	,	0
and	and	cc	and	and	0
esti	esti	fw-la	esti	esti	0
∣	∣	sy	∣	∣	0
mation	mation	n1	mansion	mansion	0
;	;	;	;	;	0
as	as	c-acp	as	as	0
Rammes	Rammes	n2	Rams	ram	0
skins	skins	n2	skins	skin	0
,	,	,	,	,	0
Badgers	Badgers	n2	Badgers	badger	0
skins	skins	n2	skins	skin	0
,	,	,	,	,	0
Goates	Goates	ng1	Goats	goat	0
haire	haire	n1	hair	hair	0
,	,	,	,	,	0
and	and	cc	and	and	0
such	such	d	such	such	0
like	like	av-j	like	like	0
:	:	:	:	:	0
all	all	d	all	all	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
did	did	vdd	did	do	0
performe	performe	vvi	perform	perform	0
and	and	cc	and	and	0
exe	exe	vvi	exe	exe	0
∣	∣	sy	∣	∣	0
cute	cute	vvi	cute	cut	0
,	,	,	,	,	0
so	so	av	so	so	0
willingly	willingly	av-j	willingly	willing	0
,	,	,	,	,	0
readily	readily	av-j	readily	ready	0
,	,	,	,	,	0
chearefully	chearefully	av-j	cheerfully	cheerful	0
,	,	,	,	,	0
and	and	cc	and	and	0
freely	freely	av-j	freely	free	0
;	;	;	;	;	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
brought	brought	vvd	brought	bring	0
too	too	av	too	too	0
much	much	av-d	much	much	0
,	,	,	,	,	0
and	and	cc	and	and	0
more	more	av-dc	more	more	0
then	then	cs	then	than	0
was	was	vbds	was	be	0
sufficient	sufficient	j	sufficient	sufficient	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
seruice	seruice	n1	service	service	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Sanctua	Sanctua	np1	Sanctua	Sanctua	0
∣	∣	sy	∣	∣	0
ry	ry	zz	ry	ry	0
,	,	,	,	,	0
Exo.	Exo.	np1	Exo.	Exo.	1
36.5.7	36.5.7	crd	36.5.7	36.5.7	0
and	and	cc	and	and	0
the	the	dt	the	the	0
vse	vse	n1	use	use	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
worke	worke	n1	work	work	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Tabernacle	Tabernacle	n1	Tabernacle	tabernacle	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
commanded	commanded	vvd	commanded	command	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
made	made	vvn	made	make	0
.	.	.	.	.	1
This	This	d	This	this	0
most	most	av-ds	most	most	0
notable	notable	j	notable	notable	0
,	,	,	,	,	0
rare	rare	j	rare	rare	0
,	,	,	,	,	0
and	and	cc	and	and	0
admirable	admirable	j	admirable	admirable	0
exam	exam	n1	exam	exam	0
∣	∣	sy	∣	∣	0
ple	ple	n1	ple	ple	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
willing	willing	j	willing	willing	0
hearts	hearts	n2	hearts	heart	0
and	and	cc	and	and	0
minds	minds	n2	minds	mind	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
seruing	seruing	vvg	serving	serve	0
God	God	np1	God	God	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
earthly	earthly	j	earthly	earthly	0
goods	goods	n2-j	goods	good	0
:	:	:	:	:	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
propounded	propounded	vvn	propounded	propound	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
imitated	imitated	vvn	imitated	imitate	0
and	and	cc	and	and	0
fol	fol	zz	fol	fol	0
∣	∣	sy	∣	∣	0
lowed	lowed	vvn	lowed	low	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
two-fold	two-fold	n1	twofold	twofold	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
spect	spect	vvn	specked	speck	0
:	:	:	:	:	0
First	First	ord	First	first	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
consolation	consolation	n1	consolation	consolation	0
;	;	;	;	;	0
herein	herein	av	herein	herein	0
comforting	comforting	vvg	comforting	comfort	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
that	that	cst	that	that	0
God	God	np1	God	God	0
who	who	r-crq	who	who	0
accepted	accepted	vvd	accepted	accept	0
their	their	po32	their	their	0
meanest	meanest	js	meanest	mean	0
offerings	offerings	n2	offerings	offering	0
to	to	p-acp	to	to	0
∣	∣	sy	∣	∣	0
wards	wards	av	wards	ward	0
the	the	dt	the	the	0
building	building	n-vvg	building	build	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
earthly	earthly	j	earthly	earthly	0
Sanctuarie	Sanctuarie	n1	Sanctuary	sanctuary	0
,	,	,	,	,	0
will	will	vmb	will	will	0
much	much	av-d	much	much	0
more	more	av-dc	more	more	0
accept	accept	vvi	accept	accept	0
,	,	,	,	,	0
allow	allow	vvb	allow	allow	0
,	,	,	,	,	0
and	and	cc	and	and	0
approue	approue	vvi	approve	approve	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Spiritu	Spiritu	fw-la	Spiritu	spiritu	0
∣	∣	sy	∣	∣	0
all	all	d	all	all	0
offering	offering	n1	offering	offering	0
which	which	r-crq	which	which	0
so	so	av	so	so	0
volun	volun	vvb	volun	volun	0
∣	∣	sy	∣	∣	0
tarily	tarily	av-jn	tarily	tary	0
and	and	cc	and	and	0
cheerefully	cheerefully	av-j	cheerfully	cheerful	0
I	I	pns11	I	i	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
stow	stow	zz	stow	stow	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
&	&	cc	&	and	0
furtherance	furtherance	n1	furtherance	furtherance	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
worke	worke	n1	work	work	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Spirituall	Spirituall	j	Spiritual	spiritual	0
Sanctuary	Sanctuary	n1	Sanctuary	sanctuary	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
God	God	np1	God	God	0
doth	doth	vdz	does	do	0
loue	loue	vvi	love	love	0
a	a	dt	a	a	0
cheere	cheere	n1	cheer	cheer	0
∣	∣	sy	∣	∣	0
full	full	j	full	full	0
Giuer	Giuer	n1	Giver	giver	0
,	,	,	,	,	0
and	and	cc	and	and	0
regardeth	regardeth	vvz	regardeth	regard	0
more	more	av-dc	more	more	0
the	the	dt	the	the	0
heart	heart	n1	heart	heart	0
in	in	p-acp	in	in	0
giuing	giuing	vvg	giving	give	0
,	,	,	,	,	0
then	then	cs	then	than	0
the	the	dt	the	the	0
gift	gift	n1	gift	gift	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
.	.	.	.	.	1
Second	Second	np1	Second	Second	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
instruction	instruction	n1	instruction	instruction	0
,	,	,	,	,	0
teaching	teaching	vvg	teaching	teach	0
mee	mee	pno11	me	i	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
burie	burie	vvi	bury	bury	0
my	my	po11	my	my	0
gifts	gifts	n2	gifts	gift	0
and	and	cc	and	and	0
Talents	Talents	n2	Talents	talent	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Earth	Earth	n1	Earth	earth	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
that	that	d	that	that	0
euill	euill	j-jn	evil	evil	0
and	and	cc	and	and	0
slothfull	slothfull	j	slothful	slothful	0
Seruant	Seruant	n1	Servant	servant	0
mentioned	mentioned	vvn	mentioned	mention	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Gospel	Gospel	n1	Gospel	gospel	0
,	,	,	,	,	0
Mat.	Mat.	np1	Mat.	Mat	1
25.25	25.25	crd	25.25	25.25	0
.	.	.	.	.	0
but	but	cc-acp	but	but	0
to	to	pc-acp	to	to	0
put	put	vvi	put	put	0
them	them	pno32	them	they	0
forth	forth	av	forth	forth	0
,	,	,	,	,	0
and	and	cc	and	and	0
imploy	imploy	vvi	employ	employ	0
them	them	pno32	them	they	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
vse	vse	n1	use	use	0
and	and	cc	and	and	0
benefit	benefit	n1	benefit	benefit	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
people	people	n1	people	people	0
,	,	,	,	,	0
the	the	dt	the	the	0
good	good	j	good	good	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
chosen	chosen	j-vvn	chosen	choose	0
,	,	,	,	,	0
the	the	dt	the	the	0
profit	profit	n1	profit	profit	0
and	and	cc	and	and	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
moditie	moditie	n1	moditie	moditie	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
true	true	j	true	true	0
hearted	hearted	j-vvn	hearted	heart	0
and	and	cc	and	and	0
truly	truly	av-j	truly	true	0
deuoted	deuoted	j-vvn	devoted	devote	0
Christi	Christi	np1	Christi	Christi	0
∣	∣	sy	∣	∣	0
ans	ans	fw-fr	ans	ans	0
.	.	.	.	.	1
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
end	end	n1	end	end	0
therefore	therefore	av	therefore	therefore	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
written	written	vvn	written	write	0
this	this	d	this	this	0
little	little	j	little	little	0
Booke	Booke	n1	Book	book	0
.	.	.	.	.	1
First	First	ord	First	first	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
admonish	admonish	vvi	admonish	admonish	0
some	some	d	some	some	0
kinde	kinde	n1	kind	kind	0
of	of	pp-f	of	of	0
people	people	n1	people	people	0
,	,	,	,	,	0
(	(	(	(	(	0
who	who	r-crq	who	who	0
for	for	p-acp	for	for	0
lacke	lacke	n1	lack	lack	0
of	of	pp-f	of	of	0
experi	experi	fw-la	experi	experi	0
∣	∣	sy	∣	∣	0
ence	ence	n1	ence	ence	0
,	,	,	,	,	0
neuer	neuer	av-x	never	never	0
feeling	feeling	vvg	feeling	feel	0
other	other	j-jn	other	other	0
daies	daies	n2	days	day	0
then	then	av	then	then	0
these	these	d	these	these	0
,	,	,	,	,	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
peace	peace	n1	peace	peace	0
and	and	cc	and	and	0
quietnesse	quietnesse	n1	quietness	quietness	0
)	)	)	)	)	0
that	that	cst	that	that	0
thereby	thereby	av	thereby	thereby	0
they	they	pns32	they	they	0
might	might	vmd	might	may	0
learne	learne	vvi	learn	learn	0
the	the	dt	the	the	0
better	better	jc	better	better	0
