THe	THe	dt	THe	the	0
joyes	joyes	n2	joys	joy	0
of	of	pp-f	of	of	0
eager	eager	j	eager	eager	0
Youth	Youth	n1	Youth	youth	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
Wine	Wine	n1	Wine	wine	0
,	,	,	,	,	0
and	and	cc	and	and	0
Wealth	Wealth	n1	Wealth	wealth	0
,	,	,	,	,	0
Of	Of	pp-f	Of	of	0
Faith	Faith	n1	Faith	faith	0
untroubled	untroubled	j	untroubled	untroubled	0
,	,	,	,	,	0
and	and	cc	and	and	0
unphysick'd	unphysick'd	j	unphysicked	unphysicked	0
Health	Health	n1	Health	health	0
;	;	;	;	;	0
Of	Of	pp-f	Of	of	0
Lovers	Lovers	n2	Lovers	lover	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
their	their	po32	their	their	0
Nuptials	Nuptials	n2-jn	Nuptials	nuptial	0
nie	nie	zz	nie	nie	0
,	,	,	,	,	0
Of	Of	pp-f	Of	of	0
Saints	Saints	n2	Saints	saint	0
forgiven	forgiven	vvn	forgiven	forgive	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
die	die	vvb	die	die	0
;	;	;	;	;	0
Let	Let	vvb	Let	let	0
this	this	d	this	this	0
yeare	yeare	n1	year	year	0
bring	bring	vvi	bring	bring	0
To	To	p-acp	To	to	0
Charles	Charles	np1	Charles	Charles	0
our	our	po12	our	our	0
King	King	n1	King	king	0
:	:	:	:	:	0
To	To	p-acp	To	to	0
Charles	Charles	np1	Charles	Charles	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
is	is	vbz	is	be	0
th'example	th'example	n1	example	example	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Law	Law	n1	Law	law	0
,	,	,	,	,	0
By	By	p-acp	By	by	0
whom	whom	ro-crq	whom	who	0
the	the	dt	the	the	0
good	good	j	good	good	0
are	are	vbr	are	be	0
taught	taught	vvn	taught	teach	0
,	,	,	,	,	0
not	not	xx	not	not	0
kept	kept	vvn	kept	keep	0
in	in	p-acp	in	in	0
awe	awe	n1	awe	awe	0
.	.	.	.	.	1
Long	Long	j	Long	long	0
proffer'd	proffer'd	j-vvn	proffered	proffer	0
Peace	Peace	n1	Peace	peace	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
not	not	xx	not	not	0
compass'd	compass'd	vvn	compassed	compass	0
by	by	p-acp	by	by	0
Expensive	Expensive	j	Expensive	expensive	0
Treaties	Treaties	n2	Treaties	treaty	0
but	but	p-acp	but	but	0
a	a	dt	a	a	0
Victorie	Victorie	n1	Victory	victory	0
;	;	;	;	;	0
And	And	cc	And	and	0
Victories	Victories	n2	Victories	victory	0
by	by	p-acp	by	by	0
Fame	Fame	n1	Fame	fame	0
obtain'd	obtain'd	vvd	obtained	obtain	0
,	,	,	,	,	0
Or	Or	cc	Or	or	0
pray'r	pray'r	n1	prayer	prayer	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
by	by	p-acp	by	by	0
slaughter	slaughter	n1	slaughter	slaughter	0
gain'd	gain'd	vvn	gained	gain	0
;	;	;	;	;	0
Let	Let	vvb	Let	let	0
this	this	d	this	this	0
yeare	yeare	n1	year	year	0
bring	bring	vvi	bring	bring	0
:	:	:	:	:	0
To	To	p-acp	To	to	0
Charles	Charles	np1	Charles	Charles	0
our	our	po12	our	our	0
King	King	n1	King	king	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
Charles	Charles	np1	Charles	Charles	0
;	;	;	;	;	0
who	who	r-crq	who	who	0
is	is	vbz	is	be	0
th'example	th'example	n1	example	example	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Law	Law	n1	Law	law	0
,	,	,	,	,	0
By	By	p-acp	By	by	0
whom	whom	ro-crq	whom	who	0
the	the	dt	the	the	0
good	good	j	good	good	0
are	are	vbr	are	be	0
taught	taught	vvn	taught	teach	0
,	,	,	,	,	0
not	not	xx	not	not	0
kept	kept	vvn	kept	keep	0
in	in	p-acp	in	in	0
awe	awe	n1	awe	awe	0
.	.	.	.	.	1
A	A	dt	A	a	0
Session	Session	n1	Session	session	0
too	too	av	too	too	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
who	who	r-crq	who	who	0
can	can	vmb	can	can	0
obey	obey	vvi	obey	obey	0
,	,	,	,	,	0
As	As	c-acp	As	as	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
gather'd	gather'd	vvn	gathered	gather	0
to	to	pc-acp	to	to	0
consult	consult	vvi	consult	consult	0
,	,	,	,	,	0
not	not	xx	not	not	0
sway	sway	n1	sway	sway	0
:	:	:	:	:	0
Who	Who	r-crq	Who	who	0
not	not	xx	not	not	0
rebell	rebell	n1	rebel	rebel	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
hope	hope	n1	hope	hope	0
to	to	pc-acp	to	to	0
git	git	fw-la	git	git	0
Some	Some	d	Some	some	0
office	office	n1	office	office	0
to	to	pc-acp	to	to	0
reclaime	reclaime	vvi	reclaim	reclaim	0
their	their	po32	their	their	0
wit	wit	n1	wit	wit	0
;	;	;	;	;	0
Let	Let	vvb	Let	let	0
this	this	d	this	this	0
yeare	yeare	n1	year	year	0
bring	bring	vvi	bring	bring	0
To	To	p-acp	To	to	0
Charles	Charles	np1	Charles	Charles	0
our	our	po12	our	our	0
King	King	n1	King	king	0
;	;	;	;	;	0
To	To	p-acp	To	to	0
Charles	Charles	np1	Charles	Charles	0
;	;	;	;	;	0
who	who	r-crq	who	who	0
is	is	vbz	is	be	0
th'example	th'example	n1	example	example	0
and	and	cc	and	and	0
the	the	dt	the	the	0
law	law	n1	law	law	0
,	,	,	,	,	0
By	By	p-acp	By	by	0
whom	whom	ro-crq	whom	who	0
the	the	dt	the	the	0
good	good	j	good	good	0
are	are	vbr	are	be	0
