To	To	p-acp	To	to	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
Noble	Noble	j	Noble	noble	0
,	,	,	,	,	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
Illustrious	Illustrious	j	Illustrious	illustrious	0
Prince	Prince	n1	Prince	prince	0
,	,	,	,	,	0
Henry	Henry	np1	Henry	Henry	0
Duke	Duke	n1	Duke	duke	0
of	of	pp-f	of	of	0
Beaufort	Beaufort	np1	Beaufort	Beaufort	0
,	,	,	,	,	0
Marquess	Marquess	n1	Marquis	marquis	0
and	and	cc	and	and	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Worcester	Worcester	np1	Worcester	Worcester	0
,	,	,	,	,	0
Baron	Baron	n1	Baron	baron	0
Herbert	Herbert	np1	Herbert	Herbert	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
of	of	pp-f	of	of	0
Ragland	Ragland	np1	Ragland	Ragland	0
,	,	,	,	,	0
Chepstow	Chepstow	np1	Chepstow	Chepstow	0
,	,	,	,	,	0
and	and	cc	and	and	0
Gower	Gower	np1	Gower	Gower	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Presi	Presi	np1	Presi	Presi	0
∣	∣	sy	∣	∣	0
dent	dent	n1	dent	dent	0
,	,	,	,	,	0
and	and	cc	and	and	0
Lord	Lord	n1	Lord	lord	0
Lieutenant	Lieutenant	n1	Lieutenant	lieutenant	0
of	of	pp-f	of	of	0
Wales	Wales	np1	Wales	Wales	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Marches	Marches	n2	Marches	march	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Lieutenant	Lieutenant	n1	Lieutenant	lieutenant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Counties	Counties	n2	Counties	county	0
of	of	pp-f	of	of	0
Glocester	Glocester	np1	Glocester	Gloucester	0
,	,	,	,	,	0
Hereford	Hereford	np1	Hereford	Hereford	0
,	,	,	,	,	0
and	and	cc	and	and	0
Monmouth	Monmouth	np1	Monmouth	Monmouth	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
City	City	n1	City	city	0
and	and	cc	and	and	0
County	County	n1	County	county	0
of	of	pp-f	of	of	0
Bristol	Bristol	np1	Bristol	Bristol	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Warden	Warden	n1	Warden	warden	0
of	of	pp-f	of	of	0
His	His	po31	His	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
Forest	Forest	n1	Forest	forest	0
of	of	pp-f	of	of	0
Deane	Deane	np1	Deane	Deane	0
,	,	,	,	,	0
and	and	cc	and	and	0
Constable	Constable	n1	Constable	constable	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Castle	Castle	n1	Castle	castle	0
of	of	pp-f	of	of	0
Saint	Saint	n1	Saint	saint	0
Bria	Bria	np1	Bria	Bria	0
∣	∣	sy	∣	∣	0
vels	vels	vvz	vels	vel	0
,	,	,	,	,	0
Knight	Knight	n1	Knight	knight	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
Noble	Noble	j	Noble	noble	0
Or	Or	cc	Or	or	0
∣	∣	sy	∣	∣	0
der	der	zf	der	there	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Garter	Garter	n1	Garter	garter	0
,	,	,	,	,	0
and	and	cc	and	and	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
His	His	po31	His	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
most	most	av-ds	most	most	0
Honourable	Honourable	j	Honourable	honourable	0
Privy	Privy	j	Privy	privy	0
Council	Council	n1	Council	council	0
.	.	.	.	.	1
