THis	THis	d	THis	this	0
Book	Book	n1	Book	book	0
is	is	vbz	is	be	0
dedicated	dedicated	vvn	dedicated	dedicate	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
noble	noble	j	noble	noble	0
,	,	,	,	,	0
and	and	cc	and	and	0
honourable	honourable	j	honourable	honourable	0
,	,	,	,	,	0
and	and	cc	and	and	0
wor	wor	zz	wor	wor	0
∣	∣	sy	∣	∣	0
thy	thy	po21	thy	thy	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
things	things	n2	things	thing	0
,	,	,	,	,	0
the	the	dt	the	the	0
Principle	Principle	n1	Principle	principle	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
every	every	d	every	every	0
man	man	n1	man	man	0
,	,	,	,	,	0
knowing	knowing	vvg	knowing	know	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
ost	ost	av	ost	often	0
excellent	excellent	j	excellent	excellent	0
in	in	p-acp	in	in	0
vertue	vertue	n1	virtue	virtue	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
hath	hath	vhz	hath	have	0
loved	loved	vvn	loved	love	0
the	the	dt	the	the	0
best	best	js	best	best	0
things	things	n2	things	thing	0
,	,	,	,	,	0
and	and	cc	and	and	0
delighe	delighe	av-j	delighe	delighe	0
i	i	sy	i	i	0
the	the	dt	the	the	0
plain	plain	j	plain	plain	0
simple	simple	j	simple	simple	0
path	path	n1	path	path	0
of	of	pp-f	of	of	0
Truth	Truth	n1	Truth	truth	0
,	,	,	,	,	0
and	and	cc	and	and	0
hath	hath	vhz	hath	have	0
no	no	xx	not	not	0
at	at	p-acp	at	at	0
any	any	d	any	any	0
time	time	n1	time	time	0
cunningly	cunningly	av-jn	cunningly	cunning	0
devised	devised	vvn	devised	devise	0
inventions	inventions	n2	inventions	invention	0
;	;	;	;	;	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
ever	ever	av	ever	ever	0
been	been	vbn	been	be	0
vertuous	vertuous	j	virtuous	virtuous	0
in	in	p-acp	in	in	0
goodness	goodness	n1	goodness	goodness	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
true	true	j	true	true	0
Lover	Lover	n1	Lover	lover	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
hath	hath	vhz	hath	have	0
loved	loved	vvn	loved	love	0
uprightness	uprightness	n1	uprightness	uprightness	0
,	,	,	,	,	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
ever	ever	av	ever	ever	0
despised	despised	vvn	despised	despise	0
vice	vice	n1	vice	vice	0
and	and	cc	and	and	0
vanity	vanity	n1	vanity	vanity	0
,	,	,	,	,	0
and	and	cc	and	and	0
never	never	av-x	never	never	0
could	could	vmd	could	can	0
joyn	joyn	vvi	join	join	0
with	with	p-acp	with	with	0
any	any	d	any	any	0
evil	evil	j-jn	evil	evil	0
thing	thing	n1	thing	thing	0
;	;	;	;	;	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
ever	ever	av	ever	ever	0
been	been	vbn	been	be	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
humble	humble	j	humble	humble	0
meek	meek	j	meek	meek	0
nature	nature	n1	nature	nature	0
,	,	,	,	,	0
and	and	cc	and	and	0
tender	tender	j	tender	tender	0
in	in	p-acp	in	in	0
compassion	compassion	n1	compassion	compassion	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
people	people	n1	people	people	0
;	;	;	;	;	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
ever	ever	av	ever	ever	0
been	been	vbn	been	be	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
peaceable	peaceable	j	peaceable	peaceable	0
dis	dis	zf	dis	this	0
∣	∣	sy	∣	∣	0
position	position	n1	position	position	0
and	and	cc	and	and	0
condescending	condescending	vvg	condescending	condescend	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
lowest	lowest	js	lowest	low	0
state	state	n1	state	state	0
;	;	;	;	;	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
alwayes	alwayes	av	always	always	0
loved	loved	vvn	loved	love	0
the	the	dt	the	the	0
good	good	j	good	good	0
,	,	,	,	,	0
and	and	cc	and	and	0
delighted	delighted	vvd	delighted	delight	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
best	best	js	best	best	0
things	things	n2	things	thing	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
innocen	innocen	n1	innocen	innocen	0
∣	∣	sy	∣	∣	0
cy	cy	n1	cy	cy	0
and	and	cc	and	and	0
simplicity	simplicity	n1	simplicity	simplicity	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
perfect	perfect	j	perfect	perfect	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
wisdom	wisdom	n1	wisdom	wisdom	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
excellent	excellent	j	excellent	excellent	0
,	,	,	,	,	0
and	and	cc	and	and	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
most	most	av-ds	most	most	0
re	re	fw-mi	re	re	0
∣	∣	sy	∣	∣	0
nownable	nownable	j-u	nownable	nownable	0
in	in	p-acp	in	in	0
glory	glory	n1	glory	glory	0
,	,	,	,	,	0
and	and	cc	and	and	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
riches	riches	n2	riches	riches	0
and	and	cc	and	and	0
treasures	treasures	n2	treasures	treasure	0
,	,	,	,	,	0
the	the	dt	the	the	0
graces	graces	n2	graces	grace	0
and	and	cc	and	and	0
excellency	excellency	n1	excellency	excellency	0
of	of	pp-f	of	of	0
its	its	po31	its	its	0
vertue	vertue	n1	virtue	virtue	0
and	and	cc	and	and	0
beauty	beauty	n1	beauty	beauty	0
,	,	,	,	,	0
doth	doth	vdz	does	do	0
far	far	av-j	far	far	0
excel	excel	vvi	excel	excel	0
the	the	dt	the	the	0
praise	praise	n1	praise	praise	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
.	.	.	.	.	1
And	And	cc	And	and	0
unto	unto	p-acp	unto	unto	0
this	this	d	this	this	0
principle	principle	n1	principle	principle	0
alone	alone	av-j	alone	alone	0
,	,	,	,	,	0
is	is	vbz	is	be	0
this	this	d	this	this	0
Book	Book	n1	Book	book	0
dedicated	dedicated	vvn	dedicated	dedicate	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
being	being	vbg	being	be	0
unto	unto	p-acp	unto	unto	0
me	me	pno11	me	i	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
lovely	lovely	j	lovely	lovely	0
,	,	,	,	,	0
renownable	renownable	j	renownable	renownable	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
ever	ever	av	ever	ever	0
ho	ho	uh	ho	ho	0
∣	∣	sy	∣	∣	0
norable	norable	j	norable	norable	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
that	that	cst	that	that	0
unto	unto	p-acp	unto	unto	0
me	me	pno11	me	i	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
chiefest	chiefest	js-jn	chiefest	chief	0
good	good	j	good	good	0
,	,	,	,	,	0
and	and	cc	and	and	0
it	it	pn31	it	it	0
doth	doth	vdz	does	do	0
communicate	communicate	vvi	communicate	communicate	0
from	from	p-acp	from	from	0
it	it	pn31	it	it	0
self	self	n1	self	self	0
,	,	,	,	,	0
the	the	dt	the	the	0
riches	riches	n2	riches	riches	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
self	self	n1	self	self	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
and	and	cc	and	and	0
honour	honour	n1	honour	honour	0
of	of	pp-f	of	of	0
its	its	po31	its	its	0
own	own	d	own	own	0
power	power	n1	power	power	0
and	and	cc	and	and	0
wis	wis	vvb	wis	wis	0
∣	∣	sy	∣	∣	0
dom	dom	zz	dom	dom	0
over	over	p-acp	over	over	0
all	all	d	all	all	0
;	;	;	;	;	0
and	and	cc	and	and	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
which	which	r-crq	which	which	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Book	Book	n1	Book	book	0
is	is	vbz	is	be	0
contained	contained	vvn	contained	contain	0
,	,	,	,	,	0
being	being	vbg	being	be	0
received	received	vvn	received	receive	0
and	and	cc	and	and	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
cepted	cepted	vvn	cepted	cept	0
by	by	p-acp	by	by	0
it	it	pn31	it	it	0
,	,	,	,	,	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
rejoyce	rejoyce	vvi	rejoice	rejoice	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
labor	labor	n1	labour	labour	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
∣	∣	sy	∣	∣	0
ever	ever	av	ever	ever	0
men	men	n2	men	man	0
distinct	distinct	j	distinct	distinct	0
from	from	p-acp	from	from	0
it	it	pn31	it	it	0
,	,	,	,	,	0
may	may	vmb	may	may	0
esteem	esteem	vvi	esteem	esteem	0
it	it	pn31	it	it	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
the	the	dt	the	the	0
praise	praise	n1	praise	praise	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
seek	seek	vvb	seek	seek	0
,	,	,	,	,	0
howbe	howbe	av	howbe	howbe	0
∣	∣	sy	∣	∣	0
it	it	pn31	it	it	0
