To	To	p-acp	To	to	0
the	the	dt	the	the	0
Right	Right	n-jn	Right	right	0
Worshipful	Worshipful	j	Worshipful	worshipful	0
Sir	Sir	n1	Sir	sir	0
William	William	np1	William	William	0
Thomson	Thomson	np1	Thomson	Thomson	0
Knight	Knight	n1	Knight	knight	0
,	,	,	,	,	0
Governor	Governor	n1	Governor	governor	0
,	,	,	,	,	0
Thomas	Thomas	np1	Thomas	Thomas	0
Papillon	Papillon	np1	Papillon	Papillon	0
Esquire	Esquire	n1	Esquire	esquire	0
,	,	,	,	,	0
Deputy	Deputy	n1	Deputy	deputy	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
24	24	crd	24	24	0
Committees	Committees	n2	Committees	committee	0
of	of	pp-f	of	of	0
the	the	pno32	thee	they	0
Ho	Ho	uh	Ho	ho	0
∣	∣	sy	∣	∣	0
norable	norable	j	norable	norable	0
EAST-INDIA	EAST-INDIA	j	EASTINDIA	eastindia	0
Company	Company	n1	Company	company	0
hereunder	hereunder	av	hereunder	hereunder	0
Specified	Specified	vvn	Specified	specify	0
,	,	,	,	,	0
Viz.	Viz.	av	Viz.	viz	1
The	The	dt	The	the	0
Right	Right	j-jn	Right	right	0
Honorable	Honorable	j	Honourable	honourable	0
George	George	np1	George	George	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Berkley	Berkley	np1	Berkley	Berkley	0
,	,	,	,	,	0
The	The	dt	The	the	0
Right	Right	n-jn	Right	right	0
Honorable	Honorable	j	Honourable	honourable	0
Iames	Iames	np1	Iames	Iames	0
Lord	Lord	n1	Lord	lord	0
Chandois	Chandois	np1	Chandois	Chandois	0
.	.	.	.	.	1
Sir	Sir	n1	Sir	sir	0
Matthew	Matthew	np1	Matthew	Matthew	0
Andrews	Andrews	np1	Andrews	Andrews	0
Knight	Knight	n1	Knight	knight	0
,	,	,	,	,	0
Sir	Sir	n1	Sir	sir	0
Iohn	Iohn	np1	Iohn	John	0
Bancks	Bancks	n2	Banks	bank	0
Baronet	Baronet	n1	Baronet	baronet	0
,	,	,	,	,	0
Sir	Sir	n1	Sir	sir	0
Samuel	Samuel	np1	Samuel	Samuel	0
Barnardiston	Barnardiston	np1	Barnardiston	Barnardiston	0
Baronet	Baronet	n1	Baronet	baronet	0
,	,	,	,	,	0
Mr.	Mr.	n1	Mr.	mr.	1
Christopher	Christopher	np1	Christopher	Christopher	0
Boone	Boone	n1	Boon	boon	0
,	,	,	,	,	0
Iohn	Iohn	np1	Iohn	John	0
Bathurst	Bathurst	np1	Bathurst	Bathurst	0
Esquire	Esquire	n1	Esquire	esquire	0
,	,	,	,	,	0
Sir	Sir	n1	Sir	sir	0
Iosia	Iosia	np1	Iosia	Iosia	0
Child	Child	n1	Child	child	0
Baronet	Baronet	n1	Baronet	baronet	0
,	,	,	,	,	0
Mr.	Mr.	n1	Mr.	mr.	1
Thomas	Thomas	np1	Thomas	Thomas	0
Canham	Canham	np1	Canham	Canham	0
,	,	,	,	,	0
Collonel	Collonel	n1	Colonel	colonel	0
Iohn	Iohn	np1	Iohn	John	0
Clerk	Clerk	n1	Clerk	clerk	0
,	,	,	,	,	0
Sir	Sir	n1	Sir	sir	0
Iames	Iames	np1	Iames	Iames	0
Edwards	Edwards	npg1	Edwards	Edward	0
Knight	Knight	n1	Knight	knight	0
,	,	,	,	,	0
Mr.	Mr.	n1	Mr.	mr.	1
Ioseph	Ioseph	np1	Ioseph	Joseph	0
Herne	Herne	np1	Herne	Herne	0
,	,	,	,	,	0
Richard	Richard	np1	Richard	Richard	0
Hutchinson	Hutchinson	np1	Hutchinson	Hutchinson	0
Esquire	Esquire	n1	Esquire	esquire	0
,	,	,	,	,	0
Iames	Iames	np1	Iames	Iames	0
Hublon	Hublon	np1	Hublon	Hublon	0
Esquire	Esquire	n1	Esquire	esquire	0
,	,	,	,	,	0
Sir	Sir	n1	Sir	sir	0
Iohn	Iohn	np1	Iohn	John	0
Lethieullier	Lethieullier	np1	Lethieullier	Lethieullier	0
Knight	Knight	n1	Knight	knight	0
,	,	,	,	,	0
Mr.	Mr.	n1	Mr.	mr.	1
Nathaniel	Nathaniel	np1	Nathaniel	Nathaniel	0
Petton	Petton	np1	Petton	Petton	0
,	,	,	,	,	0
Sir	Sir	n1	Sir	sir	0
Iohn	Iohn	np1	Iohn	John	0
Moor	Moor	n1	Moor	moor	0
Knight	Knight	n1	Knight	knight	0
,	,	,	,	,	0
Samuel	Samuel	np1	Samuel	Samuel	0
Moyer	Moyer	np1	Moyer	Moyer	0
Esquire	Esquire	n1	Esquire	esquire	0
,	,	,	,	,	0
Mr.	Mr.	n1	Mr.	mr.	0
Iohn	Iohn	np1	Iohn	John	0
Morden	Morden	np1	Morden	Morden	0
,	,	,	,	,	0
Mr.	Mr.	n1	Mr.	mr.	0
Iohn	Iohn	np1	Iohn	John	0
Paige	Paige	np1	Paige	Paige	0
,	,	,	,	,	0
Edward	Edward	np1	Edward	Edward	0
Rudge	Rudge	np1	Rudge	Rudge	0
Esquire	Esquire	n1	Esquire	esquire	0
,	,	,	,	,	0
Daniel	Daniel	np1	Daniel	Daniel	0
Sheldon	Sheldon	np1	Sheldon	Sheldon	0
Esquire	Esquire	n1	Esquire	esquire	0
,	,	,	,	,	0
Mr.	Mr.	n1	Mr.	mr.	0
Ieremy	Ieremy	np1	Ieremy	Jeremy	0
Sambrook	Sambrook	np1	Sambrook	Sambrook	0
,	,	,	,	,	0
Robert	Robert	np1	Robert	Robert	0
Thomson	Thomson	np1	Thomson	Thomson	0
Esquire	Esquire	n1	Esquire	esquire	0
.	.	.	.	.	1
