DREAD	DREAD	j	DREAD	dread	0
SOVERAIGNE	SOVERAIGNE	n-jn	SOVERAIGNE	sovereign	0
,	,	,	,	,	0
HAD	HAD	vhd	HAD	have	0
this	this	d	this	this	0
Letter	Letter	n1	Letter	letter	0
of	of	pp-f	of	of	0
Dr.	Dr.	n1	Dr.	dr.	1
Carier	Carier	n1	Carrier	carrier	0
beene	beene	vbi	been	be	0
imparted	imparted	vvn	imparted	impart	0
,	,	,	,	,	0
or	or	cc	or	or	0
the	the	dt	the	the	0
drift	drift	n1	drift	drift	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
onely	onely	av-j	only	only	0
reached	reached	vvd	reached	reach	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Maiestie	Maiestie	n1	Majesty	majesty	0
,	,	,	,	,	0
it	it	pn31	it	it	0
would	would	vmd	would	will	0
haue	haue	vhi	have	have	0
deserued	deserued	vvn	deserved	deserve	0
none	none	pi	none	none	0
other	other	j-jn	other	other	0
an	an	dt	and	a	0
∣	∣	sy	∣	∣	0
swere	swere	vvb	swear	swear	0
then	then	av	then	then	0
your	your	po22	your	your	0
Maiesties	Maiesties	ng1	Majesties	majesty	0
priuate	priuate	j	private	private	0
censure	censure	n1	censure	censure	0
;	;	;	;	;	0
and	and	cc	and	and	0
might	might	vmd	might	may	0
well	well	av	well	well	0
haue	haue	vhi	have	have	0
beene	beene	vbn	been	be	0
buried	buried	vvn	buried	bury	0
in	in	p-acp	in	in	0
silence	silence	n1	silence	silence	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Author	Author	n1	Author	author	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
now	now	av	now	now	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
aymes	aymes	vvz	aims	aim	0
in	in	p-acp	in	in	0
particular	particular	j	particular	particular	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
the	the	dt	the	the	0
members	members	n2	members	member	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
bodie	bodie	n1	body	body	0
Politike	Politike	j	Politic	politic	0
,	,	,	,	,	0
First	First	ord	First	first	0
the	the	dt	the	the	0
Nobles	Nobles	np1	Nobles	Nobles	0
,	,	,	,	,	0
then	then	cs	then	than	0
