WHā	WHā	c-crq	When	when	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
fynyshed	fynyshed	vvn	finished	finish	0
thys	thys	d	this	this	0
trea	trea	n1	trea	trea	0
tise	tise	vvi	tise	tise	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
toke	toke	vvd	took	take	0
in	in	p-acp	in	in	0
hande	hande	n1	hand	hand	0
to	to	pc-acp	to	to	0
trāslat	trāslat	vvi	translate	translate	0
of	of	pp-f	of	of	0
good	good	j	good	good	0
zeale	zeale	n1	zeal	zeal	0
toward	toward	p-acp	towards	towards	0
ye	ye	pn22	you	you	0
most	most	av-ds	most	most	0
sacred	sacred	j	sacred	sacred	0
,	,	,	,	,	0
and	and	cc	and	and	0
holy	holy	j	holy	holy	0
worde	worde	n1	word	word	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
deuisynge	deuisynge	vvg	devising	devise	0
wyth	wyth	p-acp	with	with	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
vnder	vnder	p-acp	under	under	0
whose	whose	r-crq	whose	who	0
protecci	protecci	fw-la	protecci	protecci	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
same	same	d	same	same	0
beyng	beyng	vbg	being	be	0
printed	printed	vvn	printed	print	0
myght	myght	vmd	might	may	0
be	be	vbi	be	be	0
published	published	vvn	published	publish	0
abrod	abrod	av	abroad	abroad	0
,	,	,	,	,	0
althoughe	althoughe	cs	although	although	0
I	I	pns11	I	i	0
knowe	knowe	vvb	know	know	0
not	not	xx	not	not	0
youre	youre	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
by	by	p-acp	by	by	0
any	any	d	any	any	0
cō	cō	vvb	con	con	0
∣	∣	sy	∣	∣	0
uersaciō	uersaciō	n1	versation	versation	0
,	,	,	,	,	0
&	&	cc	&	and	0
acquaintaunce	acquaintaunce	n1	acquaintance	acquaintance	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
only	only	av-j	only	only	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
general	general	j	general	general	0
fame	fame	n1	fame	fame	0
that	that	cst	that	that	0
maketh	maketh	vvz	makes	make	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
gra	gra	j	gram	great	0
cious	cious	j	cious	cious	0
,	,	,	,	,	0
&	&	cc	&	and	0
acceptable	acceptable	j	acceptable	acceptable	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
worlde	worlde	n1	world	world	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
thys	thys	d	this	this	0
cause	cause	n1	cause	cause	0
spe	spe	fw-la	spe	spe	0
∣	∣	sy	∣	∣	0
cially	cially	av-j	cially	cial	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
fauoure	fauoure	n1	favour	favour	0
all	all	d	all	all	0
good	good	j	good	good	0
letters	letters	n2	letters	letter	0
,	,	,	,	,	0
and	and	cc	and	and	0
chiefelye	chiefelye	av-jn	chiefly	chief	0
the	the	dt	the	the	0
holie	holie	j	holy	holy	0
scripture	scripture	n1	scripture	scripture	0
,	,	,	,	,	0
wt	wt	p-acp	with	with	0
those	those	d	those	those	0
expositours	expositours	n2	expositors	expositor	0
whyche	whyche	r-crq	which	which	0
moste	moste	av-ds	most	most	0
sincerelye	sincerelye	av-j	sincerely	sincere	0
and	and	cc	and	and	0
purelye	purelye	av-j	purely	pure	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
pounde	pounde	n1	pound	pound	0
the	the	cs	the	than	0
same	same	d	same	same	0
:	:	:	:	:	0
I	I	pns11	I	i	0
coulde	coulde	vmd	could	can	0
fynde	fynde	vvi	find	find	0
out	out	av	out	out	0
none	none	pix	none	none	0
to	to	p-acp	to	to	0
whome	whome	ro-crq	whom	who	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
sayde	sayde	j-vvn	said	say	0
respectes	respectes	n2	respects	respect	0
,	,	,	,	,	0
I	I	pns11	I	i	0
thoughte	thoughte	vvd	thought	think	0
more	more	av-dc	more	more	0
conuenient	conuenient	j	convenient	convenient	0
to	to	pc-acp	to	to	0
dedicate	dedicate	vvi	dedicate	dedicate	0
this	this	d	this	this	0
my	my	po11	my	my	0
trāsla	trāsla	n1	transla	transla	0
∣	∣	sy	∣	∣	0
ciō	ciō	n1	cion	cion	0
than	than	cs	than	than	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
good	good	j	good	good	0
lord	lord	n1	lord	lord	0
shyp	shyp	n1	ship	ship	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
whom	whom	ro-crq	whom	who	0
although	although	cs	although	although	0
I	I	pns11	I	i	0
be	be	vbb	be	be	0
vnworthi	vnworthi	j	unworthy	unworthy	0
to	to	pc-acp	to	to	0
offer	offer	vvi	offer	offer	0
this	this	d	this	this	0
presente	presente	n1	present	present	0
,	,	,	,	,	0
boeth	boeth	d	both	both	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
base	base	j	base	base	0
∣	∣	sy	∣	∣	0
nes	nes	zz	nes	nes	0
of	of	pp-f	of	of	0
degre	degre	n1	degree	degree	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
of	of	pp-f	of	of	0
learninge	learninge	n1	learning	learning	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
worke	worke	n1	work	work	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
of	of	pp-f	of	of	0
suche	suche	d	such	such	0
pryce	pryce	n1	price	price	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
maye	maye	vmb	may	may	0
iustelye	iustelye	av-j	iustelye	iustelye	0
chalenge	chalenge	vvi	challenge	challenge	0
so	so	av	so	so	0
worthy	worthy	j	worthy	worthy	0
a	a	dt	a	a	0
patrone	patrone	n1	patron	patron	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
thys	thys	d	this	this	0
Chapter	Chapter	n1	Chapter	chapter	0
ben	ben	vbn	been	be	0
certaine	certaine	j	certain	certain	0
textes	textes	n2	texts	text	0
,	,	,	,	,	0
whych	whych	r-crq	which	which	0
beynge	beynge	vbg	being	be	0
crop	crop	n1	crop	crop	0
∣	∣	sy	∣	∣	0
ped	ped	n1	ped	bed	0
oute	oute	av	out	out	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
reste	reste	n1	rest	rest	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
ministred	ministred	vvn	ministered	minister	0
to	to	pc-acp	to	to	0
lear	lear	vvi	lear	lear	0
∣	∣	sy	∣	∣	0
ned	ned	zz	ned	ned	0
men	men	n2	men	man	0
muche	muche	d	much	much	0
matter	matter	n1	matter	matter	0
of	of	pp-f	of	of	0
argumentacion	argumentacion	n1	argumentation	argumentation	0
:	:	:	:	:	0
some	some	d	some	some	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
poundynge	poundynge	vvb	poundynge	poundynge	0
them	them	pno32	them	they	0
one	one	crd	one	one	0
wai	wai	n1	wai	way	0
∣	∣	sy	∣	∣	0
es	es	fw-mi	es	es	0
,	,	,	,	,	0
some	some	d	some	some	0
an	an	dt	and	a	0
other	other	n-jn	other	other	0
.	.	.	.	.	1
And	And	cc	And	and	0
forasmuche	forasmuche	av	forasmuch	forasmuch	0
as	as	c-acp	as	as	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
nothynge	nothynge	pix	nothing	nothing	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
by	by	p-acp	by	by	0
euyll	euyll	n-jn	evil	evil	0
enterpretacyon	enterpretacyon	n1	enterpretacyon	enterpretacyon	0
it	it	pn31	it	it	0
maye	maye	vmb	may	may	0
be	be	vbi	be	be	0
depraued	depraued	j-vvn	depraved	deprave	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
al	al	d	all	all	0
cōtrouersies	cōtrouersies	n2	controversies	controversy	0
to	to	pc-acp	to	to	0
find	find	vvi	find	find	0
out	out	av	out	out	0
the	the	dt	the	the	0
trueth	trueth	n1	truth	truth	0
,	,	,	,	,	0
ther	ther	pc-acp	there	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
rediar	rediar	n1	rediar	rediar	0
waies	waies	n2	ways	way	0
thā	thā	cs	than	than	0
to	to	pc-acp	to	to	0
heare	heare	vvi	hear	hear	0
the	the	dt	the	the	0
hole	hole	n1	hold	hole	0
tale	tale	n1	tale	tale	0
tolde	tolde	vvd	told	tell	0
,	,	,	,	,	0
I	I	pns11	I	i	0
thoughte	thoughte	vvd	thought	think	0
it	it	pn31	it	it	0
a	a	dt	a	a	0
dede	dede	n1	deed	deed	0
worthy	worthy	j	worthy	worthy	0
the	the	dt	the	the	0
labour	labour	n1	labour	labour	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
out	out	av	out	out	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
English	English	jp	English	english	0
tōge	tōge	n1	tongue	tongue	0
the	the	dt	the	the	0
exposiciō	exposiciō	n1	exposition	exposition	0
of	of	pp-f	of	of	0
ye	ye	pn22	you	you	0
righte	righte	j-jn	right	right	0
ex	ex	fw-la	ex	ex	0
∣	∣	sy	∣	∣	0
cellent	cellent	j	cellent	cellent	0
Clarke	Clarke	n1	Clarke	clarke	0
Iohn	Iohn	np1	Iohn	John	0
Bren	Bren	vvi	Bren	burn	0
cius	cius	crd	cius	cius	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
writeth	writeth	vvz	writeth	write	0
vpō	vpō	p-acp	upon	upon	0
the	the	dt	the	the	0
sixt	sixt	ord	sixt	sixth	0
Chap.	Chap.	np1	Chap.	Chap.	0
of	of	pp-f	of	of	0
Iohn	Iohn	np1	Iohn	John	0
:	:	:	:	:	0
not	not	xx	not	not	0
leapyng	leapyng	vvg	leaping	leap	0
out	out	av	out	out	0
from	from	p-acp	from	from	0
one	one	crd	one	one	0
text	text	n1	text	text	0
to	to	p-acp	to	to	0
an	an	dt	and	a	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
thorowely	thorowely	av-j	thoroughly	thorough	0
expounding	expounding	vvg	expounding	expound	0
it	it	pn31	it	it	0
euē	euē	av	even	even	0
in	in	p-acp	in	in	0
ye	ye	pn22	you	you	0
selfe	selfe	n1	self	self	0
same	same	d	same	same	0
order	order	n1	order	order	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
whyche	whyche	r-crq	which	which	0
the	the	dt	the	the	0
Euāgelist	Euāgelist	np1	Euāgelist	Euāgelist	0
wrot	wrot	vvd	wrote	write	0
it	it	pn31	it	it	0
:	:	:	:	:	0
so	so	av	so	so	0
yt	yt	pn31	that	it	0
the	the	dt	the	the	0
circūstaunces	circūstaunces	n2	circumstances	circumstance	0
shal	shal	vmb	shall	shall	0
not	not	xx	not	not	0
a	a	dt	a	a	0
li	li	n1	li	livre	0
∣	∣	sy	∣	∣	0
tle	tle	j	tle	tle	0
helpe	helpe	n1	help	help	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
true	true	j	true	true	0
sence	sence	n1	sense	sense	0
&	&	cc	&	and	0
vnderstādig	vnderstādig	fw-ge	vnderstādig	vnderstādig	0
therof	therof	av	thereof	thereof	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
māer	māer	n1	manner	manner	0
of	of	pp-f	of	of	0
exposiciō	exposiciō	n1	exposition	exposition	0
is	is	vbz	is	be	0
much	much	av-d	much	much	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
cōmēded	cōmēded	vvn	commended	commend	0
.	.	.	.	.	1
And	And	np1	And	And	0
contra	contra	fw-la	contra	contra	0
ri	ri	zz	ri	ri	0
thei	thei	pns32	they	they	0
are	are	vbr	are	be	0
worthi	worthi	j	worthy	worthy	0
dispraise	dispraise	n1	dispraise	dispraise	0
which	which	r-crq	which	which	0
rashli	rashli	av-j	rashli	rashli	0
plucking	plucking	vvg	plucking	pluck	0
out	out	av	out	out	0
the	the	dt	the	the	0
texts	texts	n2	texts	text	0
as	as	c-acp	as	as	0
thei	thei	pns32	they	they	0
come	come	vvb	come	come	0
first	first	ord	first	first	0
to	to	p-acp	to	to	0
hād	hād	n1	hand	hand	0
,	,	,	,	,	0
not	not	xx	not	not	0
wayinge	wayinge	vvg	weighing	weigh	0
thē	thē	pno32	them	they	0
wt	wt	p-acp	with	with	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
that	that	cst	that	that	0
eyther	eyther	d	either	either	0
folowe	folowe	vvb	follow	follow	0
or	or	cc	or	or	0
haue	haue	vhb	have	have	0
gone	gone	vvn	gone	go	0
before	before	a-acp	before	before	0
,	,	,	,	,	0
make	make	vvb	make	make	0
thē	thē	pno32	them	they	0
serue	serue	vvi	serve	serve	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
own	own	d	own	own	0
pur	pur	zz	pur	pur	0
pose	pose	vvi	pose	pose	0
:	:	:	:	:	0
and	and	cc	and	and	0
apply	apply	vvi	apply	apply	0
theym	theym	pno32	them	they	0
to	to	p-acp	to	to	0
suche	suche	d	such	such	0
an	an	dt	and	a	0
exposiciō	exposiciō	n1	exposition	exposition	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
thē	thē	pno32	them	they	0
selues	selues	n2	selves	self	0
haue	haue	vhb	have	have	0
conceyued	conceyued	vvn	conceived	conceive	0
before	before	a-acp	before	before	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
own	own	d	own	own	0
mynd	mynd	n1	mind	mind	0
.	.	.	.	.	1
Wherupon	Wherupon	c-crq	Whereupon	whereupon	0
often	often	av	often	often	0
time	time	n1	time	time	0
ari	ari	fw-la	ari	ari	0
∣	∣	sy	∣	∣	0
seth	seth	vvz	seth	se	0
much	much	av-d	much	much	0
altercaciō	altercaciō	n1	altercation	altercation	0
i	i	pns11	i	i	0
wor	wor	zz	wor	wor	0
des	des	fw-mi	des	des	0
,	,	,	,	,	0
whych	whych	r-crq	which	which	0
wold	wold	vmd	would	will	0
easely	easely	av-j	easily	easy	0
be	be	vbi	be	be	0
auoided	auoided	vvn	avoided	avoid	0
,	,	,	,	,	0
if	if	cs	if	if	0
at	at	p-acp	at	at	0
y•	y•	n1	y•	y•	0
begynnyng	begynnyng	n1	beginning	beginning	0
had	had	vhd	had	have	0
bene	bene	vbn	be	be	0
laied	laied	vvn	laid	lay	0
a	a	dt	a	a	0
suar	suar	n1	suar	suar	0
fun	fun	n1	fun	sun	0
∣	∣	sy	∣	∣	0
dacion	dacion	n1	dation	dation	0
of	of	pp-f	of	of	0
reasonyng	reasonyng	vvg	reasoning	reason	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
thys	thys	d	this	this	0
expositour	expositour	n1	expositor	expositor	0
Brencius	Brencius	np1	Brencius	Brencius	0
declareth	declareth	vvz	declareth	declare	0
hys	hys	po31	his	his	0
mynde	mynde	n1	mind	mind	0
in	in	p-acp	in	in	0
o	o	sy	oh	o	0
clere	clere	j	clear	clear	0
an	an	dt	and	a	0
order	order	n1	order	order	0
