Grace	Grace	n1	Grace	grace	0
,	,	,	,	,	0
mercy	mercy	n1	mercy	mercy	0
,	,	,	,	,	0
&	&	cc	&	and	0
Peace	Peace	n1	Peace	peace	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Euerlastinge	Euerlastinge	j	Everlasting	everlasting	0
.	.	.	.	.	1
HAVING	HAVING	vhg	HAVING	have	0
in	in	p-acp	in	in	0
mindefull	mindefull	j	mindful	mindful	0
memorie	memorie	n1	memory	memory	0
(	(	(	(	(	0
Right	Right	j-jn	Right	right	0
Honourable	Honourable	j	Honourable	honourable	0
,	,	,	,	,	0
and	and	cc	and	and	0
Worshipp	Worshipp	n1	Worship	worship	0
∣	∣	sy	∣	∣	0
full	full	j	full	full	0
)	)	)	)	)	0
that	that	cst	that	that	0
mercifull	mercifull	j	merciful	merciful	0
couenaunt	couenaunt	n1	covenant	covenant	0
of	of	pp-f	of	of	0
peace	peace	n1	peace	peace	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
our	our	po12	our	our	0
omnipotent	omnipotent	j	omnipotent	omnipotent	0
Crea	Crea	np1	Crea	Crea	0
∣	∣	sy	∣	∣	0
tor	tor	c-acp	tor	for	0
towardes	towardes	p-acp	towards	towards	0
all	all	d	all	all	0
flesh	flesh	n1	flesh	flesh	0
thus	thus	av	thus	thus	0
mani	mani	fw-la	mani	mani	0
∣	∣	sy	∣	∣	0
fested	fested	vvn	feasted	feast	0
(	(	(	(	(	0
I	I	pns11	I	i	0
do	do	vdb	do	do	0
set	set	vvi	set	set	0
my	my	po11	my	my	0
Raine	Raine	n1	Rain	rain	0
Bowe	Bowe	n1	Bow	bow	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
cloudes	cloudes	n2	clouds	cloud	0
,	,	,	,	,	0
Gen.	Gen.	np1	Gen.	Gen.	1
9.	9.	crd	9.	9	0
&	&	cc	&	and	0
it	it	pn31	it	it	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
tokē	tokē	n1	token	token	0
betwene	betwene	p-acp	between	between	0
me	me	pno11	me	i	0
&	&	cc	&	and	0
the	the	dt	the	the	0
earth	earth	n1	earth	earth	0
)	)	)	)	)	0
