I	I	pns11	I	i	0
Am	Am	vbm	Am	be	0
not	not	xx	not	not	0
ignorāt	ignorāt	j	ignorant	ignorant	0
(	(	(	(	(	0
sweete	sweete	j	sweet	sweet	0
Sion	Sion	np1	Sion	Zion	0
daughter	daughter	n1	daughter	daughter	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
celestiall	celestiall	j	celestial	celestial	0
Ie	Ie	fw-fr	Ie	je	0
∣	∣	sy	∣	∣	0
rusalem	rusalem	fw-la	rusalem	rusalem	0
,	,	,	,	,	0
and	and	cc	and	and	0
entierly	entierly	av-j	entirely	entire	0
beloued	beloued	j-vvn	beloved	belove	0
spouse	spouse	n1	spouse	spouse	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
)	)	)	)	)	0
in	in	p-acp	in	in	0
howe	howe	c-crq	how	how	0
great	great	j	great	great	0
miseries	miseries	n2	misery's	misery	0
thou	thou	pns21	thou	thou	0
hast	hast	vh2	hast	have	0
been	been	vbn	been	be	0
plunged	plunged	vvn	plunged	plunge	0
now	now	av	now	now	0
a	a	dt	a	a	0
long	long	j	long	long	0
time	time	n1	time	time	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
lacke	lacke	n1	lack	lack	0
of	of	pp-f	of	of	0
thy	thy	po21	thy	thy	0
kinde	kinde	n1	kind	kind	0
and	and	cc	and	and	0
louing	louing	j-vvg	loving	love	0
husbād	husbād	n1	husband	husband	0
.	.	.	.	.	1
Canti	Canti	np1	Canti	Canti	0
.	.	.	.	.	1
Cant.	Cant.	np1	Cant.	Cant.	0
Which	Which	r-crq	Which	which	0
,	,	,	,	,	0
not	not	xx	not	not	0
∣	∣	sy	∣	∣	0
withstanding	withstanding	vvg	withstanding	withstand	0
thou	thou	pns21	thou	thou	0
art	art	vb2r	art	be	0
black	black	j-jn	black	black	0
&	&	cc	&	and	0
browne	browne	j-jn	brown	brown	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
extrem	extrem	j-jn	extreme	extreme	0
heat	heat	n1	heat	heat	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Sunne	Sunne	n1	Sun	sun	0
,	,	,	,	,	0
&	&	cc	&	and	0
light	light	n1	light	light	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
the	the	dt	the	the	0
father	father	n1	father	father	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
which	which	r-crq	which	which	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
yet	yet	av	yet	yet	0
)	)	)	)	)	0
thou	thou	pns21	thou	thou	0
canst	canst	vm2	canst	can	0
not	not	xx	not	not	0
approche	approche	vvi	approach	approach	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
onely	onely	av-j	only	only	0
,	,	,	,	,	0
wythal	wythal	av	withal	withal	0
his	his	po31	his	his	0
hart	hart	n1	heart	hart	0
embraceth	embraceth	vvz	embraceth	embrace	0
the	the	pno32	thee	they	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
his	his	po31	his	his	0
friend	friend	n1	friend	friend	0
for	for	p-acp	for	for	0
fairnes	fairnes	n1	fairness	fairness	0
peereles	peereles	j	peerless	peerless	0
,	,	,	,	,	0
Psalm	Psalm	n1	Psalm	psalm	0
.	.	.	.	.	1
51.	51.	crd	51.	51.	0
and	and	cc	and	and	0
as	as	p-acp	as	as	0
his	his	po31	his	his	0
wife	wife	n1	wife	wife	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
beautie	beautie	n1	beauty	beauty	0
,	,	,	,	,	0
surpassing	surpassing	vvg	surpassing	surpass	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
thy	thy	po21	thy	thy	0
blacknes	blacknes	n1	blackness	blackness	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
holy	holy	j	holy	holy	0
spirit	spirit	n1	spirit	spirit	0
,	,	,	,	,	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
turned	turned	vvn	turned	turn	0
into	into	p-acp	into	into	0
beauti	beauti	n1	beauty	beauty	0
∣	∣	sy	∣	∣	0
fulnes	fulnes	n1	fullness	fullness	0
,	,	,	,	,	0
&	&	cc	&	and	0
thy	thy	po21	thy	thy	0
vnseemely	vnseemely	j	unseemly	unseemly	0
spots	spots	n2	spots	spot	0
of	of	pp-f	of	of	0
sinne	sinne	n1	sin	sin	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
precious	precious	j	precious	precious	0
blood	blood	n1	blood	blood	0
are	are	vbr	are	be	0
no	no	dx	no	no	0
