READER	READER	n1	READER	reader	0
,	,	,	,	,	0
CHrist	CHrist	np1	CHrist	Christ	0
Jesus	Jesus	np1	Jesus	Jesus	0
the	the	dt	the	the	0
true	true	j	true	true	0
Prophet	Prophet	n1	Prophet	prophet	0
saith	saith	vvz	says	say	0
,	,	,	,	,	0
Beware	Beware	vvb	Beware	beware	0
of	of	pp-f	of	of	0
false	false	j	false	false	0
Prophets	Prophets	n2	Prophets	prophet	0
which	which	r-crq	which	which	0
come	come	vvb	come	come	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
Sheeps	Sheeps	n2	Sheeps	sheep	0
cloathing	cloathing	n1	clothing	clothing	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
inwardly	inwardly	av-j	inwardly	inward	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
ravening	ravening	vvg	ravening	raven	0
Wolves	Wolves	n2	Wolves	wolf	0
:	:	:	:	:	0
Yee	Yee	pn22	Ye	you	0
shall	shall	vmb	shall	shall	0
know	know	vvi	know	know	0
them	them	pno32	them	they	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
fruits	fruits	n2	fruits	fruit	0
,	,	,	,	,	0
Matth.	Matth.	np1	Matth.	Matth.	1
7.	7.	crd	7.	7.	0
15.	15.	crd	15.	15.	1
And	And	np1	And	And	0
was	was	vbds	was	be	0
ever	ever	av	ever	ever	0
such	such	d	such	such	0
fruit	fruit	n1	fruit	fruit	0
brought	brought	vvd	brought	bring	0
foth	foth	uh	foth	foth	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
age	age	n1	age	age	0
?	?	?	?	?	1
And	And	cc	And	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
23	23	crd	23	23	0
of	of	pp-f	of	of	0
Matth.	Matth.	np1	Matth.	Matth.	0
he	he	pns31	he	he	0
cryes	cryes	vvz	cries	cry	0
Woe	Woe	n1	Woe	woe	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Hypocrites	Hypocrites	n2	Hypocrites	hypocrite	0
;	;	;	;	;	0
and	and	cc	and	and	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
devour	devour	vvi	devour	devour	0
Widows	Widows	n2	Widows	widow	0
hòuses	hòuses	n2	hòuses	hòuse	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
pretence	pretence	n1	pretence	pretence	0
make	make	vvb	make	make	0
