Christian	Christian	np1	Christian	Christian	0
Lady	Lady	n1	Lady	lady	0
:	:	:	:	:	0
I	I	pns11	I	i	0
Present	Present	vvb	Present	present	0
you	you	pn22	you	you	0
(	(	(	(	(	0
here	here	av	here	here	0
)	)	)	)	)	0
with	with	p-acp	with	with	0
some	some	d	some	some	0
fruits	fruits	n2	fruits	fruit	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
age	age	n1	age	age	0
,	,	,	,	,	0
the	the	dt	the	the	0
root	root	n1	root	root	0
(	(	(	(	(	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
sprung	sprung	vvd	sprung	spring	0
)	)	)	)	)	0
standeth	standeth	vvz	stands	stand	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
fa	fa	zz	fa	fa	0
∣	∣	sy	∣	∣	0
mous	mous	j	mous	mous	0
historie	historie	n1	history	history	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Woman	Woman	n1	Woman	woman	0
of	of	pp-f	of	of	0
rare	rare	j	rare	rare	0
Faith	Faith	n1	Faith	faith	0
;	;	;	;	;	0
and	and	cc	and	and	0
because	because	c-acp	because	because	0
a	a	dt	a	a	0
Woman	Woman	n1	Woman	woman	0
,	,	,	,	,	0
therefore	therefore	av	therefore	therefore	0
the	the	dt	the	the	0
fit	fit	n1	fit	fit	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
commended	commended	vvn	commended	commend	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
this	this	d	this	this	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
truths	truths	ng1	truths	truth	0
sake	sake	n1	sake	sake	0
that	that	cst	that	that	0
dwelleth	dwelleth	vvz	dwells	dwell	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
.	.	.	.	.	1
This	This	d	This	this	0
truth	truth	n1	truth	truth	0
is	is	vbz	is	be	0
that	that	d	that	that	0
noble	noble	j	noble	noble	0
Guest	Guest	n1	Guest	guest	0
that	that	cst	that	that	0
takes	takes	vvz	takes	take	0
vp	vp	a-acp	up	up	0
lodging	lodging	n1	lodging	lodging	0
no	no	av-dx	no	no	0
where	where	c-crq	where	where	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
heart	heart	n1	heart	heart	0
,	,	,	,	,	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
is	is	vbz	is	be	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
faith	faith	n1	faith	faith	0
of	of	pp-f	of	of	0
Gods	Gods	n2	Gods	god	0
elect	elect	vvb	elect	elect	0
.	.	.	.	.	1
Such	Such	d	Such	such	0
a	a	dt	a	a	0
roome	roome	n1	room	room	0
of	of	pp-f	of	of	0
speciall	speciall	j	special	special	0
receit	receit	n1	receipt	receit	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
found	found	vvn	found	find	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
long	long	av-j	long	long	0
:	:	:	:	:	0
a	a	dt	a	a	0
Cham	Cham	n1	Cham	cham	0
∣	∣	sy	∣	∣	0
ber	ber	zz	ber	ber	0
or	or	cc	or	or	0
roome	roome	n1	room	room	0
trimmed	trimmed	vvn	trimmed	trim	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
Daughter	Daughter	n1	Daughter	daughter	0
of	of	pp-f	of	of	0
heauen	heauen	n1	heaven	heaven	0
,	,	,	,	,	0
so	so	av	so	so	0
highly	highly	av-j	highly	high	0
borne	borne	vvn	born	bear	0
:	:	:	:	:	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
this	this	d	this	this	0
,	,	,	,	,	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
obseruation	obseruation	n1	observation	observation	0
and	and	cc	and	and	0
speech	speech	n1	speech	speech	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
many	many	d	many	many	0
as	as	c-acp	as	as	0
know	know	vvb	know	know	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
you	you	pn22	you	you	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
(	(	(	(	(	0
though	though	cs	though	though	0
now	now	av	now	now	0
offered	offered	vvn	offered	offer	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
eye	eye	n1	eye	eye	0
)	)	)	)	)	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
so	so	av	so	so	0
much	much	av-d	much	much	0
to	to	pc-acp	to	to	0
shew	shew	vvi	show	show	0
what	what	r-crq	what	what	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
right	right	vvi	right	right	0
vnderstan	vnderstan	fw-mi	vnderstan	vnderstan	0
∣	∣	sy	∣	∣	0
ding	ding	uh	ding	ding	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
you	you	pn22	you	you	0
further	further	av-jc	further	further	0
forward	forward	j	forward	forward	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
prize	prize	n1	prize	prize	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
high	high	j	high	high	0
calling	calling	n-vvg	calling	call	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
ayme	ayme	vvb	aim	aim	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
at	at	p-acp	at	at	0
things	things	n2	things	thing	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
way	way	n1	way	way	0
,	,	,	,	,	0
the	the	dt	the	the	0
ayme	ayme	n1	aim	aim	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
that	that	cst	that	that	0
delight	delight	vvb	delight	delight	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
blown	blown	vvn	blown	blow	0
