BEing	BEing	vbg	BEing	be	0
not	not	xx	not	not	0
ignorant	ignorant	j	ignorant	ignorant	0
(	(	(	(	(	0
right	right	j-jn	right	right	0
worshipful	worshipful	j	worshipful	worshipful	0
and	and	cc	and	and	0
vertuous	vertuous	j	virtuous	virtuous	0
Ladie	Ladie	n1	Lady	lady	0
)	)	)	)	)	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
manifolde	manifolde	j	manifold	manifold	0
disputations	disputations	n2	disputations	disputation	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
mong	mong	p-acp	mong	among	0
the	the	dt	the	the	0
learned	learned	j	learned	learned	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
so	so	av	so	so	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
great	great	j	great	great	0
varietie	varietie	n1	variety	variety	0
&	&	cc	&	and	0
diuersitie	diuersitie	n1	diversity	diversity	0
of	of	pp-f	of	of	0
opinions	opinions	n2	opinions	opinion	0
among	among	p-acp	among	among	0
the	the	dt	the	the	0
vulgar	vulgar	j	vulgar	vulgar	0
people	people	n1	people	people	0
and	and	cc	and	and	0
simple	simple	j	simple	simple	0
sorte	sorte	n1	sort	sort	0
,	,	,	,	,	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
Sabboth	Sabboth	n1	Sabbath	sabbath	0
day	day	n1	day	day	0
,	,	,	,	,	0
&	&	cc	&	and	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
vse	vse	n1	use	use	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
:	:	:	:	:	0
some	some	d	some	some	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
wayward	wayward	j	wayward	wayward	0
and	and	cc	and	and	0
superstitious	superstitious	j	superstitious	superstitious	0
Iewes	Iewes	np2	Iewes	Jew	0
obstinately	obstinately	av-j	obstinately	obstinate	0
and	and	cc	and	and	0
stifly	stifly	av-j	stiffly	stiff	0
maintaining	maintaining	vvg	maintaining	maintain	0
the	the	dt	the	the	0
ceremonial	ceremonial	j	ceremonial	ceremonial	0
obseruation	obseruation	n1	observation	observation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
seuenth	seuenth	ord	seuenth	seven	0
day	day	n1	day	day	0
,	,	,	,	,	0
Sundry	Sundry	j	Sundry	sundry	0
o	o	sy	oh	o	0
∣	∣	sy	∣	∣	0
pinions	pinions	n2	pinions	pinion	0
concern	concern	vvb	concern	concern	0
∣	∣	sy	∣	∣	0
ing	ing	n1	king	king	0
the	the	cs	the	than	0
Sabboth	Sabboth	n1	Sabbath	sabbath	0
daye	daye	n1	day	day	0
.	.	.	.	.	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
hold	hold	vvb	hold	hold	0
in	in	p-acp	in	in	0
no	no	dx	no	no	0
wise	wise	j	wise	wise	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
mutable	mutable	j	mutable	mutable	0
,	,	,	,	,	0
or	or	cc	or	or	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
altered	altered	vvn	altered	alter	0
and	and	cc	and	and	0
changed	changed	vvn	changed	change	0
:	:	:	:	:	0
o	o	sy	oh	o	0
∣	∣	sy	∣	∣	0
thers	thers	pc-acp|vbz	the	there|be	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Atheists	Atheists	n2	Atheists	atheist	0
and	and	cc	and	and	0
godlesse	godlesse	j	godless	godless	0
Epi	Epi	fw-la	Epi	epi	0
∣	∣	sy	∣	∣	0
cures	cures	vvz	cures	cure	0
vtterly	vtterly	av-j	utterly	utter	0
denying	denying	vvg	denying	deny	0
,	,	,	,	,	0
that	that	cst	that	that	0
there	there	a-acp	there	there	0
ought	ought	vmd	ought	ought	0
to	to	p-acp	to	to	0
be	be	vbi	be	be	0
any	any	d	any	any	0
obseruation	obseruation	n1	observation	observation	0
and	and	cc	and	and	0
keping	keping	n-vvg	keeping	keep	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
