ALL	ALL	av-d	ALL	all	0
things	things	n2	things	thing	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
World	World	n1	World	world	0
be	be	vbb	be	be	0
the	the	dt	the	the	0
Crea	Crea	np1	Crea	Crea	0
∣	∣	sy	∣	∣	0
tures	tures	n1	tures	tures	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
:	:	:	:	:	0
the	the	dt	the	the	0
efficient	efficient	j	efficient	efficient	0
cause	cause	n1	cause	cause	0
of	of	pp-f	of	of	0
Creation	Creation	n1	Creation	creation	0
is	is	vbz	is	be	0
God	God	np1	God	God	0
;	;	;	;	;	0
essentially	essentially	av-j	essentially	essential	0
,	,	,	,	,	0
not	not	xx	not	not	0
personally	personally	av-j	personally	personal	0
taken	taken	vvn	taken	take	0
:	:	:	:	:	0
As	As	c-acp	As	as	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
order	order	n1	order	order	0
of	of	pp-f	of	of	0
working	working	vvg	working	work	0
,	,	,	,	,	0
Divines	Divines	n2-jn	Divines	divine	0
thus	thus	av	thus	thus	0
say	say	vvi	say	say	0
;	;	;	;	;	0
the	the	dt	the	the	0
Father	Father	n1	Father	father	0
is	is	vbz	is	be	0
causa	causa	fw-la	causa	causa	0
Movens	Movens	n2	Movens	moven	0
,	,	,	,	,	0
the	the	dt	the	the	0
Son	Son	n1	Son	son	0
Operans	Operans	np1	Operans	Operans	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
whom	whom	ro-crq	whom	who	0
all	all	d	all	all	0
things	things	n2	things	thing	0
were	were	vbdr	were	be	0
made	made	vvn	made	make	0
:	:	:	:	:	0
the	the	dt	the	the	0
Holy	Holy	j	Holy	holy	0
Ghost	Ghost	n1	Ghost	ghost	0
Peficiens	Peficiens	n1	Peficiens	peficiens	0
;	;	;	;	;	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
sad	sad	j	sad	sad	0
,	,	,	,	,	0
Genes	Genes	zz	Genes	genes	0
.	.	.	.	.	1
1.	1.	crd	1.	1.	0
he	he	pns31	he	he	0
moved	moved	vvd	moved	move	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
face	face	n1	face	face	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Waters	Waters	n2	Waters	water	0
.	.	.	.	.	1
Yet	Yet	av	Yet	yet	0
are	are	vbr	are	be	0
we	we	pns12	we	we	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
think	think	vvi	think	think	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
if	if	cs	if	if	0
there	there	pc-acp	there	there	0
were	were	vbdr	were	be	0
three	three	crd	three	three	0
efficient	efficient	j	efficient	efficient	0
causes	causes	n2	causes	cause	0
of	of	pp-f	of	of	0
Creation	Creation	n1	Creation	creation	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
only	only	av-j	only	only	0
one	one	crd	one	one	0
▪	▪	▪	▪	▪	0
the	the	dt	the	the	0
Father	Father	n1	Father	father	0
,	,	,	,	,	0
Son	Son	n1	Son	son	0
,	,	,	,	,	0
and	and	cc	and	and	0
Holy	Holy	j	Holy	holy	0
Ghost	Ghost	n1	Ghost	ghost	0
being	being	vbg	being	be	0
one	one	crd	one	one	0
and	and	cc	and	and	0
the	the	dt	the	the	0
same	same	d	same	same	0
essence	essence	n1	essence	essence	0
,	,	,	,	,	0
is	is	vbz	is	be	0
but	but	cc-acp	but	but	0
one	one	crd	one	one	0
and	and	cc	and	and	0
the	the	dt	the	the	0
same	same	d	same	same	0
cause	cause	n1	cause	cause	0
of	of	pp-f	of	of	0
Creation	Creation	n1	Creation	creation	0
.	.	.	.	.	1
Indeed	Indeed	np1	Indeed	Indeed	0
Creation	Creation	n1	Creation	creation	0
is	is	vbz	is	be	0
principally	principally	av-j	principally	principal	0
attributed	attributed	vvn	attributed	attribute	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
the	the	dt	the	the	0
Father	Father	n1	Father	father	0
,	,	,	,	,	0
both	both	av-d	both	both	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
order	order	n1	order	order	0
,	,	,	,	,	0
and	and	cc	and	and	0
because	because	c-acp	because	because	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
Principium	Principium	fw-la	Principium	principium	0
Operationum	Operationum	fw-la	Operationum	operationum	0
;	;	;	;	;	0
the	the	dt	the	the	0
Son	Son	n1	Son	son	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Father	Father	n1	Father	father	0
,	,	,	,	,	0
so	so	av	so	so	0
are	are	vbr	are	be	0
all	all	d	all	all	0
Divine	Divine	j-jn	Divine	divine	0
actions	actions	n2	actions	action	0
.	.	.	.	.	1
God	God	np1	God	God	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
only	only	j	only	only	0
Creator	Creator	n1	Creator	creator	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
things	things	n2	things	thing	0
:	:	:	:	:	0
not	not	xx	not	not	0
Natur	Natur	fw-la	Natur	natur	0
;	;	;	;	;	0
not	not	xx	not	not	0
Angels	Angels	n2	Angels	angel	0
;	;	;	;	;	0
not	not	xx	not	not	0
Chance	Chance	n1	Chance	chance	0
and	and	cc	and	and	0
For	For	c-acp	For	for	0
∣	∣	sy	∣	∣	0
tune	tune	n1	tune	tune	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
many	many	d	many	many	0
blasphemous	blasphemous	j	blasphemous	blasphemous	0
