DEar	DEar	av-jn	DEar	dear	0
reverend	reverend	j-jn	reverend	reverend	0
Christian	Christian	njp	Christian	christian	0
Brethren	Brethren	n2	Brothers	brethren	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
cordially	cordially	av-j	cordially	cordial	0
honour	honour	vvb	honour	honour	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
Rom.	Rom.	np1	Rom.	Rom.	1
1.	1.	crd	1.	1.	0
1.	1.	crd	1.	1.	1
c	c	sy	c	c	0
.	.	.	.	.	1
10.	10.	crd	10.	10.	0
15.	15.	crd	15.	15.	0
2	2	crd	2	2	1
Cor.	Cor.	np1	Cor.	Cor.	0
5.	5.	crd	5.	5.	0
20.	20.	crd	20.	20.	1
c	c	sy	c	c	0
.	.	.	.	.	1
6.	6.	crd	6.	6.	0
1.	1.	crd	1.	1.	1
c	c	sy	c	c	0
.	.	.	.	.	1
8.	8.	crd	8.	8.	0
23.	23.	crd	23.	23.	0
high	high	j	high	high	0
and	and	cc	and	and	0
heavenly	heavenly	j	heavenly	heavenly	0
Calling	Calling	vvg	Calling	call	0
;	;	;	;	;	0
give	give	vvb	give	give	0
me	me	pno11	me	i	0
leave	leave	vvi	leave	leave	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
that	that	d	that	that	0
Christian	Christian	njp	Christian	christian	0
Liber	Liber	np1	Liber	Liber	0
∣	∣	sy	∣	∣	0
ty	ty	zz	ty	ty	0
which	which	r-crq	which	which	0
becomes	becomes	vvz	becomes	become	0
me	me	pno11	me	i	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
any	any	d	any	any	0
fear	fear	n1	fear	fear	0
or	or	cc	or	or	0
flattery	flattery	n1	flattery	flattery	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
inform	inform	vvi	inform	inform	0
you	you	pn22	you	you	0
;	;	;	;	;	0
that	that	d	that	that	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
for	for	p-acp	for	for	0
many	many	d	many	many	0
years	years	n2	years	year	0
by-past	by-past	j	bypast	bypast	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
bleeding	bleeding	j-vvg	bleeding	bleed	0
soul	soul	n1	soul	soul	0
and	and	cc	and	and	0
mournfull	mournfull	j	mournful	mournful	0
spirit	spirit	n1	spirit	spirit	0
,	,	,	,	,	0
taken	taken	vvn	taken	take	0
special	special	j	special	special	0
No	No	uh-dx	No	no	0
∣	∣	sy	∣	∣	0
tice	tice	vvi	tice	entice	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
offensive	offensive	j	offensive	offensive	0
Deviations	Deviations	n2	Deviations	deviation	0
from	from	p-acp	from	from	0
,	,	,	,	,	0
and	and	cc	and	and	0
Negligen	Negligen	np1	Negligen	Negligen	0
∣	∣	sy	∣	∣	0
ces	ces	fw-fr	ces	ces	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
Ministerial	Ministerial	j	Ministerial	ministerial	0
Function	Function	n1	Function	function	0
,	,	,	,	,	0
(	(	(	(	(	0
whereof	whereof	c-crq	whereof	whereof	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
guilty	guilty	j	guilty	guilty	0
)	)	)	)	)	0
which	which	r-crq	which	which	0
have	have	vhb	have	have	0
given	given	vvn	given	give	0
great	great	j	great	great	0
Advantages	Advantages	n2	Advantages	advantage	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Common	Common	j	Common	common	0
Romish	Romish	jp	Romish	romish	0
,	,	,	,	,	0
and	and	cc	and	and	0
Sectarian	Sectarian	np1	Sectarian	Sectarian	0
Adversaries	Adversaries	n2	Adversaries	adversary	0
,	,	,	,	,	0
and	and	cc	and	and	0
just	just	j	just	just	0
scandal	scandal	n1	scandal	scandal	0
to	to	p-acp	to	to	0
divers	divers	j	diverse	diverse	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
best-affected	best-affected	j	best-affected	best-affected	0
Friends	Friends	n2	Friends	friend	0
,	,	,	,	,	0
some	some	d	some	some	0
whereof	whereof	c-crq	whereof	whereof	0
I	I	pns11	I	i	0
formerly	formerly	av-j	formerly	former	0
endeavoured	endeavoured	vvd	endeavoured	endeavour	0
by	by	p-acp	by	by	0
seasonable	seasonable	j	seasonable	seasonable	0
,	,	,	,	,	0
timelyIn	timelyIn	av	timelyIn	timelyin	0
my	my	po11	my	my	0
4.	4.	crd	4.	4.	0
and	and	cc	and	and	0
12.	12.	crd	12.	12.	1
Serious	Serious	j	Serious	serious	0
Questions	Questions	n2	Questions	question	0
,	,	,	,	,	0
and	and	cc	and	and	0
Seasonable	Seasonable	j	Seasonable	seasonable	0
Vin	Vin	fw-fr	Vin	vin	0
∣	∣	sy	∣	∣	0
dication	dication	n1	dication	dication	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
.	.	.	.	.	1
My	My	po11	My	my	0
16	16	crd	16	16	0
Important	Important	j	Important	important	0
