HAving	HAving	vhg	HAving	have	0
heard	heard	vvn	herd	hear	0
you	you	pn22	you	you	0
take	take	vvi	take	take	0
pleasure	pleasure	n1	pleasure	pleasure	0
som	som	d	some	some	0
∣	∣	sy	∣	∣	0
times	times	av	times	time	0
to	to	pc-acp	to	to	0
read	read	vvi	read	read	0
some	some	d	some	some	0
poor	poor	j	poor	poor	0
Writings	Writings	n2-vvg	Writings	write	0
of	of	pp-f	of	of	0
mine	mine	png11	mine	i	0
which	which	r-crq	which	which	0
have	have	vhb	have	have	0
bin	bin	vbn	been	be	0
made	made	vvn	made	make	0
publike	publike	j	public	public	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
World	World	n1	World	world	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
thought	thought	vvn	thought	think	0
good	good	j	good	good	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
one	one	pi	one	one	0
Writing	Writing	vvg	Writing	write	0
proper	proper	j	proper	proper	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
;	;	;	;	;	0
at	at	p-acp	at	at	0
least	least	ds	least	least	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
which	which	r-crq	which	which	0
(	(	(	(	(	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
worth	worth	j	worth	worth	0
the	the	dt	the	the	0
thankes	thankes	n2	thanks	thanks	0
)	)	)	)	)	0
the	the	dt	the	the	0
world	world	n1	world	world	0
shall	shall	vmb	shall	shall	0
thanke	thanke	vvi	thank	thank	0
you	you	pn22	you	you	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
being	being	vbg	being	be	0
pub	pub	fw-la	pub	pub	0
∣	∣	sy	∣	∣	0
like	like	zz	like	like	0
;	;	;	;	;	0
For	For	c-acp	For	for	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
sakes	sakes	n2	sakes	sake	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
testifying	testifying	vvg	testifying	testify	0
my	my	po11	my	my	0
love	love	n1	love	love	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
both	both	d	both	both	0
,	,	,	,	,	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
never	never	av-x	never	never	0
,	,	,	,	,	0
I	I	pns11	I	i	0
thinke	thinke	vvb	think	think	0
,	,	,	,	,	0
had	had	vhd	had	have	0
a	a	dt	a	a	0
thought	thought	n1	thought	thought	0
of	of	pp-f	of	of	0
writing	writing	vvg	writing	write	0
it	it	pn31	it	it	0
.	.	.	.	.	1
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
bles	bles	n2	bles	ble	0
∣	∣	sy	∣	∣	0
sed	sed	zz	sed	sed	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
numerous	numerous	j	numerous	numerous	0
is	is	vbz	is	be	0
∣	∣	sy	∣	∣	0
sue	sue	vvi	sue	sue	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
though	though	cs	though	though	0
he	he	pns31	he	he	0
meant	meant	vvd	meant	mean	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
every	every	d	every	every	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
vertues	vertues	n2	virtues	virtue	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
bestow	bestow	vvi	bestow	bestow	0
upon	upon	p-acp	upon	upon	0
you	you	pn22	you	you	0
a	a	dt	a	a	0
childe	childe	n1	child	child	0
;	;	;	;	;	0
and	and	cc	and	and	0
if	if	cs	if	if	0
,	,	,	,	,	0
the	the	dt	the	the	0
fuller	fuller	jc	fuller	full	0
ones	ones	pi2	ones	one	0
Quiver	Quiver	n1	Quiver	quiver	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
Arrowes	Arrowes	n2	Arrows	arrow	0
,	,	,	,	,	0
happier	happier	jc	happier	happy	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
;	;	;	;	;	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
justly	justly	av-j	justly	just	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
David	David	np1	David	David	0
,	,	,	,	,	0
pronounce	pronounce	vvb	pronounce	pronounce	0
you	you	pn22	you	you	0
a	a	dt	a	a	0
payre	payre	n1	pair	pair	0
,	,	,	,	,	0
that	that	cst	that	that	0
have	have	vhb	have	have	0
as	as	p-acp	as	as	0
few	few	d	few	few	0
your	your	po22	your	your	0
matches	matches	n2	matches	match	0
in	in	p-acp	in	in	0
happinesse	happinesse	n1	happiness	happiness	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
vertue	vertue	n1	virtue	virtue	0
.	.	.	.	.	1
When	When	c-crq	When	when	0
I	I	pns11	I	i	0
intended	intended	vvd	intended	intend	0
to	to	pc-acp	to	to	0
write	write	vvi	write	write	0
somthing	somthing	pi	something	something	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
memo	memo	fw-la	memo	memo	0
∣	∣	sy	∣	∣	0
ry	ry	zz	ry	ry	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Names	Names	n2	Names	name	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
I	I	pns11	I	i	0
knew	knew	vvd	knew	know	0
the	the	dt	the	the	0
seriousnesse	seriousnesse	n1	seriousness	seriousness	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
dispositions	dispositions	n2	dispositions	disposition	0
,	,	,	,	,	0
and	and	cc	and	and	0
how	how	c-crq	how	how	0
farre	farre	av-j	far	far	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
from	from	p-acp	from	from	0
taking	taking	vvg	taking	take	0
pleasure	pleasure	n1	pleasure	pleasure	0
in	in	p-acp	in	in	0
vaine	vaine	j	vain	vain	0
discourses	discourses	n2	discourses	discourse	0
;	;	;	;	;	0
I	I	pns11	I	i	0
made	made	vvd	made	make	0
choyce	choyce	n1	choice	choice	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
Argument	Argument	n1	Argument	argument	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
other	other	n-jn	other	other	0
the	the	dt	the	the	0
most	most	ds	most	most	0
serious	serious	j	serious	serious	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
so	so	av	so	so	0
serious	serious	j	serious	serious	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
im	im	p-acp	im	in	0
∣	∣	sy	∣	∣	0
mortality	mortality	n1	mortality	mortality	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
soule	soule	n1	soul	soul	0
?	?	?	?	?	1
Of	Of	pp-f	Of	of	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
though	though	cs	though	though	0
wee	wee	pns12	we	we	0
have	have	vhb	have	have	0
Di	Di	uh	Di	di	0
∣	∣	sy	∣	∣	0
