DEar	DEar	av-jn	DEar	dear	0
Wife	Wife	n1	Wife	wife	0
,	,	,	,	,	0
I	I	pns11	I	i	0
think	think	vvb	think	think	0
it	it	pn31	it	it	0
most	most	av-ds	most	most	0
proper	proper	j	proper	proper	0
to	to	pc-acp	to	to	0
dedicate	dedicate	vvi	dedicate	dedicate	0
the	the	dt	the	the	0
ensuing	ensuing	j-vvg	ensuing	ensue	0
Discourse	Discourse	n1	Discourse	discourse	0
unto	unto	p-acp	unto	unto	0
your	your	po22	your	your	0
self	self	n1	self	self	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
use	use	n1	use	use	0
and	and	cc	and	and	0
benefit	benefit	n1	benefit	benefit	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Children	Children	n2	Children	child	0
:	:	:	:	:	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
tender	tender	j	tender	tender	0
age	age	n1	age	age	0
,	,	,	,	,	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
as	as	p-acp	as	as	0
yet	yet	av	yet	yet	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
read	read	vvi	read	read	0
;	;	;	;	;	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
see	see	vvi	see	see	0
them	them	pno32	them	they	0
learn	learn	vvi	learn	learn	0
to	to	pc-acp	to	to	0
read	read	vvi	read	read	0
(	(	(	(	(	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
dye	dye	vvb	die	die	0
)	)	)	)	)	0
and	and	cc	and	and	0
also	also	av	also	also	0
instruct	instruct	vvi	instruct	instruct	0
them	them	pno32	them	they	0
the	the	dt	the	the	0
best	best	js	best	best	0
you	you	pn22	you	you	0
can	can	vmb	can	can	0
.	.	.	.	.	1
The	The	dt	The	the	0
Disconrse	Disconrse	n1	Disconrse	disconrse	0
is	is	vbz	is	be	0
partly	partly	av	partly	partly	0
the	the	dt	the	the	0
same	same	d	same	same	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
discoursed	discoursed	vvn	discoursed	discourse	0
on	on	a-acp	on	on	0
between	between	p-acp	between	between	0
our	our	po12	our	our	0
selves	selves	n2	selves	self	0
:	:	:	:	:	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
if	if	cs	if	if	0
any	any	d	any	any	0
should	should	vmd	should	shall	0
see	see	vvi	see	see	0
it	it	pn31	it	it	0
,	,	,	,	,	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
apt	apt	j	apt	apt	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
simple	simple	j	simple	simple	0
discourse	discourse	n1	discourse	discourse	0
;	;	;	;	;	0
let	let	vvb	let	let	0
them	them	pno32	them	they	0
know	know	vvi	know	know	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
comes	comes	vvz	comes	come	0
from	from	p-acp	from	from	0
poor	poor	j	poor	poor	0
country	country	n1	country	country	0
simple	simple	j	simple	simple	0
folks	folks	n2	folks	folk	0
;	;	;	;	;	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
,	,	,	,	,	0
not	not	xx	not	not	0
more	more	av-dc	more	more	0
simple	simple	j	simple	simple	0
than	than	cs	than	than	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
Ridiculus	Ridiculus	fw-la	Ridiculus	ridiculus	0
Mus	Mus	fw-la	Mus	mus	0
,	,	,	,	,	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
Cate	Cate	zz	Cate	cate	0
∣	∣	sy	∣	∣	0
chism	chism	n1	chism	chism	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
teacheth	teacheth	vvz	teaches	teach	0
to	to	pc-acp	to	to	0
tell	tell	vvi	tell	tell	0
three	three	crd	three	three	0
lies	lies	n2	lies	lie	0
in	in	p-acp	in	in	0
one	one	crd	one	one	0
breath	breath	n1	breath	breath	0
;	;	;	;	;	0
Wherein	Wherein	c-crq	Wherein	wherein	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
made	made	vvn	made	make	0
a	a	dt	a	a	0
member	member	n1	member	member	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
They	They	pns32	They	they	0
may	may	vmb	may	may	0
say	say	vvi	say	say	0
likewise	likewise	av	likewise	likewise	0
,	,	,	,	,	0
it	it	pn31	it	it	0
wants	wants	vvz	wants	want	0
method	method	n1	method	method	0
:	:	:	:	:	0
let	let	vvb	let	let	0
them	them	pno32	them	they	0
know	know	vvi	know	know	0
,	,	,	,	,	0
that	that	cst	that	that	0
men	men	n2	men	man	0
and	and	cc	and	and	0
their	their	po32	their	their	0
wives	wives	n2	wives	wife	0
do	do	vdb	do	do	0
not	not	xx	not	not	0
alwayes	alwayes	av	always	always	0
talk	talk	vvi	talk	talk	0
by	by	p-acp	by	by	0
method	method	n1	method	method	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
one	one	pi	one	one	0
among	among	p-acp	among	among	0
ano	ano	av	anon	anon	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
.	.	.	.	.	1
The	The	dt	The	the	0
Times	Times	n2	Times	time	0
you	you	pn22	you	you	0
know	know	vvb	know	know	0
are	are	vbr	are	be	0
much	much	av-d	much	much	0
enclin'd	enclin'd	vvn	inclined	incline	0
to	to	p-acp	to	to	0
Superstition	Superstition	n1	Superstition	superstition	0
,	,	,	,	,	0
that's	that's	d|vbz	that's	that|be	0
but	but	p-acp	but	but	0
the	the	dt	the	the	0
Mother	Mother	n1	Mother	mother	0
of	of	pp-f	of	of	0
Idolatry	Idolatry	n1	Idolatry	idolatry	0
,	,	,	,	,	0
and	and	cc	and	and	0
dwelling	dwelling	vvg	dwelling	dwell	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
place	place	n1	place	place	0
where	where	c-crq	where	where	0
'tis	'tis	pn31|vbz	it's	it|be	0
much	much	d	much	much	0
used	used	vvn	used	use	0
,	,	,	,	,	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
are	are	vbr	are	be	0
inclinable	inclinable	j	inclinable	inclinable	0
to	to	pc-acp	to	to	0
run	run	vvi	run	run	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Worship	Worship	n1	Worship	worship	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
hear	hear	vvi	hear	hear	0
the	the	dt	the	the	0
Organs	Organs	n2	Organs	organ	0
,	,	,	,	,	0
the	the	dt	the	the	0
Singing-men	Singing-men	n2	Singingmen	singingman	0
and	and	cc	and	and	0
Boyes	Boyes	n2	Boys	boy	0
;	;	;	;	;	0
they	they	pns32	they	they	0
account	account	vvb	account	account	0
it	it	pn31	it	it	0
fine	fine	j	fine	fine	0
pastime	pastime	n1	pastime	pastime	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
the	the	dt	the	the	0
Bishop	Bishop	n1	Bishop	bishop	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
Lawn-sleeves	Lawn-sleeves	n2	Lawn-sleeves	lawn-sleeve	0
,	,	,	,	,	0
the	the	dt	the	the	0
Doctors	Doctors	n2	Doctors	doctor	0
and	and	cc	and	and	0
Prebends	Prebends	np1	Prebends	Prebends	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
Fools	Fools	n2	Fools	fool	0
Caps	Caps	n2	Caps	cap	0
,	,	,	,	,	0
Superstitious	Superstitious	j	Superstitious	superstitious	0
Habits	Habits	n2	Habits	habit	0
and	and	cc	and	and	0
Formali	Formali	fw-la	Formali	formali	0
∣	∣	sy	∣	∣	0
ties	ties	vvz	ties	tie	0
,	,	,	,	,	0
like	like	av-j	like	like	0
Stage-Players	Stage-Players	n2	Stage-Players	stage-player	0
,	,	,	,	,	0
or	or	cc	or	or	0
Morrice	Morrice	n1	Morrice	morris	0
Dauncers	Dauncers	n2	Dancers	dancer	0
,	,	,	,	,	0
is	is	vbz	is	be	0
pretty	pretty	j	pretty	pretty	0
sport	sport	n1	sport	sport	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
,	,	,	,	,	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
in	in	p-acp	in	in	0
good	good	j	good	good	0
earnest	earnest	n1	earnest	earnest	0
be	be	vbi	be	be	0
drawn	drawn	vvn	drawn	draw	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
likeing	likeing	vvg	liking	like	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
in	in	p-acp	in	in	0
time	time	n1	time	time	0
joyn	joyn	vvi	join	join	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
false	false	j	false	false	0
worship	worship	n1	worship	worship	0
.	.	.	.	.	1
The	The	dt	The	the	0
Discourse	Discourse	n1	Discourse	discourse	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
obtained	obtained	vvn	obtained	obtain	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
printed	printed	vvn	printed	print	0
,	,	,	,	,	0
hoping	hoping	vvg	hoping	hope	0
is	is	vbz	is	be	0
may	may	vmb	may	may	0
inform	inform	vvi	inform	inform	0
them	them	pno32	them	they	0
what	what	r-crq	what	what	0
Superstition	Superstition	n1	Superstition	superstition	0
is	is	vbz	is	be	0
;	;	;	;	;	0
and	and	cc	and	and	0
the	the	dt	the	the	0
example	example	n1	example	example	0
of	of	pp-f	of	of	0
Parents	Parents	n2	Parents	parent	0
is	is	vbz	is	be	0
many	many	d	many	many	0
times	times	n2	times	time	0
prevalent	prevalent	j	prevalent	prevalent	0
with	with	p-acp	with	with	0
Children	Children	n2	Children	child	0
for	for	p-acp	for	for	0
imitation	imitation	n1	imitation	imitation	0
,	,	,	,	,	0
be	be	vbb	be	be	0
it	it	pn31	it	it	0
good	good	j	good	good	0
or	or	cc	or	or	0
evil	evil	j-jn	evil	evil	0
:	:	:	:	:	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
speak	speak	vvi	speak	speak	0
it	it	pn31	it	it	0
by	by	p-acp	by	by	0
experience	experience	n1	experience	experience	0
;	;	;	;	;	0
My	My	po11	My	my	0
father	father	n1	father	father	0
and	and	cc	and	and	0
mother	mother	n1	mother	mother	0
were	were	vbdr	were	be	0
both	both	d	both	both	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
Church-Papists	Church-Papists	j	Church-Papists	church-papists	0
,	,	,	,	,	0
and	and	cc	and	and	0
dwelling	dwelling	vvg	dwelling	dwell	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
country	country	n1	country	country	0
village	village	n1	village	village	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
there	there	pc-acp	there	there	0
was	was	vbds	was	be	0
only	only	av-j	only	only	0
a	a	dt	a	a	0
Reading-Priest	Reading-Priest	n1	Reading-Priest	reading-priest	0
,	,	,	,	,	0
they	they	pns32	they	they	0
commonly	commonly	av-j	commonly	common	0
went	went	vvd	went	go	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Service	Service	n1	Service	service	0
