ACcording	ACcording	vvg	ACcording	accord	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
undoubted	undoubted	j	undoubted	undoubted	0
duty	duty	n1	duty	duty	0
in	in	p-acp	in	in	0
discharging	discharging	vvg	discharging	discharge	0
my	my	po11	my	my	0
Conscience	Conscience	n1	Conscience	conscience	0
of	of	pp-f	of	of	0
fulfilling	fulfilling	vvg	fulfilling	fulfil	0
the	the	dt	the	the	0
will	will	n1	will	will	0
of	of	pp-f	of	of	0
Iesus	Iesus	np1	Iesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
I	I	pns11	I	i	0
doe	doe	vdb	do	do	0
present	present	vvi	present	present	0
to	to	p-acp	to	to	0
both	both	d	both	both	0
Houses	Houses	n2	Houses	house	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Honourable	Honourable	j	Honourable	honourable	0
Court	Court	n1	Court	court	0
,	,	,	,	,	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
generall	generall	j	general	general	0
cause	cause	n1	cause	cause	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
particular	particular	j	particular	particular	0
grievances	grievances	n2	grievances	grievance	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
Iesus	Iesus	np1	Iesus	Jesus	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
servants	servants	n2	servants	servant	0
,	,	,	,	,	0
the	the	dt	the	the	0
upright	upright	j	upright	upright	0
,	,	,	,	,	0
the	the	dt	the	the	0
innocent	innocent	j-jn	innocent	innocent	0
,	,	,	,	,	0
and	and	cc	and	and	0
tender	tender	j	tender	tender	0
in	in	p-acp	in	in	0
conscience	conscience	n1	conscience	conscience	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
did	did	vdd	did	do	0
in	in	p-acp	in	in	0
speciall	speciall	j	special	special	0
manner	manner	n1	manner	manner	0
concerne	concerne	vvi	concern	concern	0
my	my	po11	my	my	0
Sove	Sove	av	Soon	soon	0
∣	∣	sy	∣	∣	0
reigne	reigne	vvi	reign	reign	0
Lord	Lord	n1	Lord	lord	0
the	the	dt	the	the	0
King	King	n1	King	king	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
whose	whose	rg-crq	whose	who	0
hand	hand	n1	hand	hand	0
it	it	pn31	it	it	0
might	might	vmd	might	may	0
most	most	av-ds	most	most	0
seasonably	seasonably	av-j	seasonably	seasonable	0
have	have	vhi	have	have	0
been	been	vbn	been	be	0
cast	cast	vvn	cast	cast	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
consideration	consideration	n1	consideration	consideration	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
high	high	j	high	high	0
Court	Court	n1	Court	court	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
whence	whence	c-crq	whence	whence	0
onely	onely	av-j	only	only	0
do	do	vdb	do	do	0
issue	issue	vvi	issue	issue	0
all	all	d	all	all	0
politicke	politicke	j	politic	politic	0
acts	acts	n2	acts	act	0
,	,	,	,	,	0
statute-lawes	statute-lawes	n2	statute-laws	statute-law	0
,	,	,	,	,	0
and	and	cc	and	and	0
ordinances	ordinances	n2	ordinances	ordinance	0
,	,	,	,	,	0
con	con	vvi	con	con	0
∣	∣	sy	∣	∣	0
cerning	cerning	j	cerning	cerning	0
matters	matters	n2	matters	matter	0
Ecclesiasticall	Ecclesiasticall	j	Ecclesiastical	ecclesiastical	0
and	and	cc	and	and	0
Civill	Civill	j	Civil	civil	0
within	within	p-acp	within	within	0
his	his	po31	his	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
Realme	Realme	n1	Realm	realm	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
I	I	pns11	I	i	0
procured	procured	vvd	procured	procure	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
presented	presented	vvn	presented	present	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
High	High	zz	High	high	0
∣	∣	sy	∣	∣	0
nesse	nesse	n1	ness	ness	0
owne	owne	d	own	own	0
hand	hand	n1	hand	hand	0
in	in	p-acp	in	in	0
Ianuary	Ianuary	np1	Ianuary	January	0
last	last	ord	last	last	0
,	,	,	,	,	0
1640.	1640.	crd	1640.	1640.	1
The	The	dt	The	the	0
copy	copy	n1	copy	copy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
passages	passages	n2	passages	passage	0
therein	therein	av	therein	therein	0
con	con	vvi	con	con	0
∣	∣	sy	∣	∣	0
teined	teined	vvn	teined	tein	0
;	;	;	;	;	0
lest	lest	cs	lest	lest	0
those	those	d	those	those	0
should	should	vmd	should	shall	0
sleep	sleep	vvi	sleep	sleep	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
here	here	av	here	here	0
