Gentlemen	Gentlemen	np1	Gentlemen	Gentlemen	0
,	,	,	,	,	0
AS	AS	p-acp	AS	as	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
Country	Country	n1	Country	country	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
Hea	Hea	zz	Hea	hea	0
∣	∣	sy	∣	∣	0
ven	ven	zf	ven	when	0
,	,	,	,	,	0
God	God	np1	God	God	0
is	is	vbz	is	be	0
Speculum	Speculum	fw-la	Speculum	speculum	0
Crea	Crea	fw-la	Crea	crea	0
∣	∣	sy	∣	∣	0
turarum	turarum	fw-la	turarum	turarum	0
;	;	;	;	;	0
The	The	dt	The	the	0
Glass	Glass	n1	Glass	glass	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Creatures	Creatures	n2	Creatures	creature	0
:	:	:	:	:	0
wherein	wherein	c-crq	wherein	wherein	0
the	the	dt	the	the	0
Crea	Crea	n1	Crea	crea	0
∣	∣	sy	∣	∣	0
tures	tures	n1	tures	tures	0
are	are	vbr	are	be	0
resplendent	resplendent	j	resplendent	resplendent	0
,	,	,	,	,	0
visible	visible	j	visible	visible	0
,	,	,	,	,	0
and	and	cc	and	and	0
presented	presented	vvd	presented	present	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Beatifical	Beatifical	j	Beatifical	beatifical	0
Vision	Vision	n1	Vision	vision	0
,	,	,	,	,	0
(	(	(	(	(	0
though	though	cs	though	though	0
not	not	xx	not	not	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
bea	bea	fw-mi	bea	bea	0
∣	∣	sy	∣	∣	0
tifies	tifies	vvz	tifies	tify	0
:	:	:	:	:	0
)	)	)	)	)	0
So	So	av	So	so	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
Way	Way	n1	Way	way	0
,	,	,	,	,	0
being	being	vbg	being	be	0
this	this	d	this	this	0
World	World	n1	World	world	0
and	and	cc	and	and	0
Life	Life	n1	Life	life	0
,	,	,	,	,	0
the	the	dt	the	the	0
Creatures	Creatures	n2	Creatures	creature	0
are	are	vbr	are	be	0
Speculum	Speculum	fw-la	Speculum	speculum	0
Creatoris	Creatoris	np1	Creatoris	Creatoris	0
,	,	,	,	,	0
The	The	dt	The	the	0
Glass	Glass	n1	Glass	glass	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
behold	behold	vvb	behold	behold	0
the	the	dt	the	the	0
Creator	Creator	n1	Creator	creator	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
because	because	c-acp	because	because	0
the	the	dt	the	the	0
Creator	Creator	n1	Creator	creator	0
is	is	vbz	is	be	0
Primum	Primum	fw-la	Primum	primum	0
Ens	Ens	fw-la	Ens	ens	0
,	,	,	,	,	0
The	The	dt	The	the	0
first	first	ord	first	first	0
Thing	Thing	n1	Thing	thing	0
:	:	:	:	:	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
noble	noble	j	noble	noble	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
Things	Things	n2	Things	thing	0
;	;	;	;	;	0
those	those	d	those	those	0
Creatures	Creatures	n2	Creatures	creature	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
clearer	clearer	jc	clearer	clear	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
Christalline	Christalline	j	Christalline	crystalline	0
Glass	Glass	n1	Glass	glass	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
noble	noble	j	noble	noble	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
this	this	d	this	this	0
rank	rank	n1	rank	rank	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
Heavenly	Heavenly	j	Heavenly	heavenly	0
Bodies	Bodies	n2	Bodies	body	0
.	.	.	.	.	1
And	And	cc	And	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
view	view	n1	view	view	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Glass	Glass	n1	Glass	glass	0
especially	especially	av-j	especially	especial	0
,	,	,	,	,	0
ye	ye	pn22	you	you	0
are	are	vbr	are	be	0
now	now	av	now	now	0
invited	invited	vvn	invited	invite	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
,	,	,	,	,	0
sollicited	sollicited	vvn	solicited	solicit	0
by	by	p-acp	by	by	0
them	them	pno32	them	they	0
.	.	.	.	.	1
Tertullian	Tertullian	np1	Tertullian	Tertullian	0
observes	observes	vvz	observes	observe	0
,	,	,	,	,	0
That	That	cst	That	that	0
the	the	dt	the	the	0
verbal	verbal	j	verbal	verbal	0
Salutation	Salutation	n1	Salutation	salutation	0
ofTert	ofTert	np1	ofTert	ofTert	0
.	.	.	.	.	0
lib	lib	n1	lib	lib	0
.	.	.	.	.	1
5.	5.	crd	5.	5.	1
Con	Con	np1	Con	Con	0
∣	∣	sy	∣	∣	0
tra	tra	fw-la	tra	tra	0
Marcion	Marcion	np1	Marcion	Marcion	0
.	.	.	.	.	0
cap	cap	n1	cap	cap	0
.	.	.	.	.	1
5.	5.	crd	5.	5.	0
the	the	dt	the	the	0
old	old	j	old	old	0
Jews	Jews	np2	Jews	Jew	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
met	met	vvd	met	meet	0
occasionally	occasionally	av-j	occasionally	occasional	0
,	,	,	,	,	0
Scalom	Scalom	np1	Scalom	Scalom	0
le	le	fw-fr	le	le	0
∣	∣	sy	∣	∣	0
chem	chem	uh	chem	chem	0
,	,	,	,	,	0
Pax	Pax	fw-la	Pax	pax	0
vobis	vobis	fw-la	vobis	vobis	0
,	,	,	,	,	0
Peace	Peace	n1	Peace	peace	0
be	be	vbb	be	be	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
:	:	:	:	:	0
and	and	cc	and	and	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Apostolical	Apostolical	j	Apostolical	apostolical	0
Salutation	Salutation	n1	Salutation	salutation	0
somewhat	somewhat	av	somewhat	somewhat	0
differed	differed	vvn	differed	differ	0
,	,	,	,	,	0
being	being	vbg	being	be	0
Gratia	Gratia	fw-la	Gratia	gratia	0
&	&	cc	&	and	0
Pax	Pax	fw-la	Pax	pax	0
vobis	vobis	fw-la	vobis	vobis	0
;	;	;	;	;	0
Grace	Grace	vvb	Grace	grace	0
and	and	cc	and	and	0
Peace	Peace	n1	Peace	peace	0
be	be	vbb	be	be	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
;	;	;	;	;	0
because	because	c-acp	because	because	0
the	the	dt	the	the	0
Apostles	Apostles	n2	Apostles	apostle	0
were	were	vbdr	were	be	0
the	the	dt	the	the	0
Preachers	Preachers	n2	Preachers	preacher	0
of	of	pp-f	of	of	0
Grace	Grace	n1	Grace	grace	0
derived	derived	vvn	derived	derive	0
from	from	p-acp	from	from	0
God	God	np1	God	God	0
through	through	p-acp	through	through	0
Christ	Christ	np1	Christ	Christ	0
.	.	.	.	.	1
Wherefore	Wherefore	q-crq	Wherefore	wherefore	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
noble	noble	j	noble	noble	0
Creature	Creature	n1	Creature	creature	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
fair	fair	j	fair	fair	0
Glass	Glass	n1	Glass	glass	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
representing	representing	vvg	representing	represent	0
the	the	dt	the	the	0
Creator	Creator	n1	Creator	creator	0
;	;	;	;	;	0
my	my	po11	my	my	0
Salutation	Salutation	n1	Salutation	salutation	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
likewise	likewise	av	likewise	likewise	0
Apostolical	Apostolical	j	Apostolical	apostolical	0
:	:	:	:	:	0
Grace	Grace	n1	Grace	grace	0
be	be	vbb	be	be	0
to	to	p-acp	to	to	0
