To	To	p-acp	To	to	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
Illustrous	Illustrous	j	Illustrous	illustrious	0
Prince	Prince	n1	Prince	prince	0
,	,	,	,	,	0
HENRY	HENRY	np1	HENRY	Henry	0
DUKE	DUKE	n1	DUKE	duke	0
of	of	pp-f	of	of	0
NORFOLK	NORFOLK	np1	NORFOLK	Norfolk	0
,	,	,	,	,	0
Earl	Earl	n1	Earl	earl	0
Marshal	Marshal	n1	Marshal	marshal	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
Earl	Earl	n1	Earl	earl	0
of	of	pp-f	of	of	0
Arundel	Arundel	np1	Arundel	Arundel	0
,	,	,	,	,	0
Surrey	Surrey	np1	Surrey	Surrey	0
,	,	,	,	,	0
Norfolk	Norfolk	np1	Norfolk	Norfolk	0
,	,	,	,	,	0
and	and	cc	and	and	0
Norwich	Norwich	np1	Norwich	Norwich	0
,	,	,	,	,	0
Baron	Baron	n1	Baron	baron	0
Mowbray	Mowbray	np1	Mowbray	Mowbray	0
,	,	,	,	,	0
Howard	Howard	np1	Howard	Howard	0
,	,	,	,	,	0
Seagrave	Seagrave	np1	Seagrave	Seagrave	0
,	,	,	,	,	0
Bruse	Bruse	vvb	Bruise	bruise	0
de	de	fw-fr	de	de	0
Gower	Gower	np1	Gower	Gower	0
,	,	,	,	,	0
Fitz-Allan	Fitz-Allan	np1	Fitz-Allan	Fitz-Allan	0
,	,	,	,	,	0
Clun	Clun	np1	Clun	Clun	0
,	,	,	,	,	0
Oswaldestrey	Oswaldestrey	np1	Oswaldestrey	Oswaldestrey	0
,	,	,	,	,	0
Maltravers	Maltravers	np1	Maltravers	Maltravers	0
,	,	,	,	,	0
Talbot	Talbot	np1	Talbot	Talbot	0
,	,	,	,	,	0
Verdon	Verdon	np1	Verdon	Verdon	0
,	,	,	,	,	0
Lovetot	Lovetot	np1	Lovetot	Lovetot	0
,	,	,	,	,	0
Fur	Fur	n1	Fur	fur	0
∣	∣	sy	∣	∣	0
nival	nival	n1	nival	nival	0
,	,	,	,	,	0
Strange	Strange	j	Strange	strange	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
Blackmere	Blackmere	np1	Blackmere	Blackmere	0
,	,	,	,	,	0
and	and	cc	and	and	0
Howard	Howard	np1	Howard	Howard	0
of	of	pp-f	of	of	0
Castle	Castle	n1	Castle	castle	0
Rysing	Rysing	vvg	Rising	rise	0
,	,	,	,	,	0
Constable	Constable	n1	Constable	constable	0
and	and	cc	and	and	0
Governour	Governour	n1	Governor	governor	0
of	of	pp-f	of	of	0
His	His	po31	His	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
Royal	Royal	j	Royal	royal	0
Castle	Castle	n1	Castle	castle	0
and	and	cc	and	and	0
Ho	Ho	uh	Ho	ho	0
∣	∣	sy	∣	∣	0
nour	nour	n1	nou_r_	nou_r_	0
of	of	pp-f	of	of	0
Windsor	Windsor	np1	Windsor	Windsor	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Warden	Warden	n1	Warden	warden	0
of	of	pp-f	of	of	0
Wind	Wind	n1	Wind	wind	0
∣	∣	sy	∣	∣	0
sor	sor	p-acp	sor	for	0
Forrest	Forrest	n1	Forest	forest	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Lieutenant	Lieutenant	n1	Lieutenant	lieutenant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Counties	Counties	n2	Counties	county	0
of	of	pp-f	of	of	0
Norfolk	Norfolk	np1	Norfolk	Norfolk	0
,	,	,	,	,	0
Surrey	Surrey	np1	Surrey	Surrey	0
and	and	cc	and	and	0
Berks	Berks	np1	Berks	Berks	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
City	City	n1	City	city	0
of	of	pp-f	of	of	0
Norwich	Norwich	np1	Norwich	Norwich	0
and	and	cc	and	and	0
Coun	Coun	fw-mi	Coun	coun	0
∣	∣	sy	∣	∣	0
ty	ty	zz	ty	ty	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
City	City	n1	City	city	0
,	,	,	,	,	0
and	and	cc	and	and	0
Knight	Knight	n1	Knight	knight	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
noble	noble	j	noble	noble	0
Order	Order	n1	Order	order	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Garter	Garter	n1	Garter	garter	0
.	.	.	.	.	1
