GOD	GOD	np1	GOD	God	0
the	the	dt	the	the	0
father	father	n1	father	father	0
saythe	saythe	vvb	say	say	0
by	by	p-acp	by	by	0
hys	hys	po31	his	his	0
Prophete	Prophete	n1	Prophet	prophet	0
,	,	,	,	,	0
Esa.	Esa.	np1	Esa.	Esa.	0
lviii	lviii	crd	lviii	lviii	0
.	.	.	.	.	1
Crye	Crye	vvb	Cry	cry	0
cease	cease	vvb	cease	cease	0
not	not	xx	not	not	0
Lyfte	Lyfte	vvi	Lift	lift	0
vp	vp	a-acp	up	up	0
thy	thy	po21	thy	thy	0
voyce	voyce	n1	voice	voice	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
trompe	trompe	n1	trump	trump	0
,	,	,	,	,	0
and	and	cc	and	and	0
shew	shew	vvi	show	show	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
people	people	n1	people	people	0
theyr	theyr	po32	their	their	0
wickednes	wickednes	n1	wickedness	wickedness	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
y•	y•	n1	y•	y•	0
house	house	n1	house	house	0
of	of	pp-f	of	of	0
Iacob	Iacob	np1	Iacob	Jacob	0
theyesynnes	theyesynnes	vvz	theyesynnes	theyesynne	0
.	.	.	.	.	1
That	That	cst	That	that	0
this	this	d	this	this	0
is	is	vbz	is	be	0
chefelye	chefelye	av-jn	chiefly	chief	0
spoken	spoken	vvn	spoken	speak	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
Prechers	Prechers	n2	Preachers	preacher	0
&	&	cc	&	and	0
Ministers	Ministers	n2	Ministers	minister	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
worde	worde	n1	word	word	0
,	,	,	,	,	0
Ther	Ther	pc-acp	There	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
mā	mā	n1	man	man	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
but	but	cc-acp	but	but	0
meanely	meanely	av-j	meanly	mean	0
learned	learned	vvn	learned	learn	0
,	,	,	,	,	0
ignoraunt	ignoraunt	j	ignorant	ignorant	0
therof	therof	av	thereof	thereof	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
theyr	theyr	po32	their	their	0
du	du	fw-fr	du	du	0
¦	¦	sy	¦	¦	0
tye	tye	vvb	tie	tie	0
to	to	pc-acp	to	to	0
crye	crye	vvi	cry	cry	0
&	&	cc	&	and	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
cease	cease	vvi	cease	cease	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
theyr	theyr	po32	their	their	0
dutye	dutye	n1	duty	duty	0
to	to	pc-acp	to	to	0
exalte	exalte	vvi	exalt	exalt	0
&	&	cc	&	and	0
lyft	lyft	vvi	lift	lift	0
vp	vp	a-acp	up	up	0
theyr	theyr	po32	their	their	0
voyce	voyce	n1	voice	voice	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
trōpe	trōpe	n1	trump	trump	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
theyr	theyr	po32	their	their	0
duty	duty	n1	duty	duty	0
to	to	pc-acp	to	to	0
shew	shew	vvi	show	show	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
people	people	n1	people	people	0
theyr	theyr	po32	their	their	0
wyckednesses	wyckednesses	n2	wyckednesses	wyckedness	0
&	&	cc	&	and	0
synnes	synnes	n2	sins	sin	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
theyr	theyr	po32	their	their	0
duty	duty	n1	duty	duty	0
to	to	pc-acp	to	to	0
preach	preach	vvi	preach	preach	0
the	the	dt	the	the	0
Gospel	Gospel	n1	Gospel	gospel	0
to	to	p-acp	to	to	0
euery	euery	d	every	every	0
creature	creature	n1	creature	creature	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
theyr	theyr	po32	their	their	0
duty	duty	n1	duty	duty	0
to	to	pc-acp	to	to	0
preach	preach	vvi	preach	preach	0
Repentaunce	Repentaunce	n1	Repentance	repentance	0
&	&	cc	&	and	0
remission	remission	n1	remission	remission	0
of	of	pp-f	of	of	0
synnes	synnes	n2	sins	sin	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
vnto	vnto	p-acp	unto	unto	0
al	al	d	all	all	0
nacions	nacions	n2	nations	nation	0
.	.	.	.	.	0
at	at	p-acp	at	at	0
.	.	.	.	.	0
xxviii	xxviii	crd	xxviii	xxviii	0
It	It	pn31	It	it	0
is	is	vbz	is	be	0
theyr	theyr	po32	their	their	0
dutye	dutye	n1	duty	duty	0
to	to	pc-acp	to	to	0
gyue	gyue	vvi	gyve	give	0
meate	meate	n1	meat	meat	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Lordes	Lordes	ng1	Lords	lord	0
family	family	n1	family	family	0
&	&	cc	&	and	0
household	household	n1	household	household	0
in	in	p-acp	in	in	0
due	due	j-jn	due	due	0
tyme	tyme	n1	time	time	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
ther	ther	dt	there	the	0
duty	duty	n1	duty	duty	0
to	to	pc-acp	to	to	0
fede	fede	vvi	fede	feed	0
Christen	Christen	jp	christian	christian	0
people	people	n1	people	people	0
wt	wt	p-acp	with	with	0
doctrine	doctrine	n1	doctrine	doctrine	0
&	&	cc	&	and	0
knowledge	knowledge	n1	knowledge	knowledge	0
.	.	.	.	.	0
uke	uke	n1	uke	uke	0
.	.	.	.	.	0
xxiiii	xxiiii	crd	xxiiii	xxiiii	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
theyr	theyr	po32	their	their	0
duty	duty	n1	duty	duty	0
to	to	p-acp	to	to	0
conforte	conforte	n1	comfort	comfort	0
the	the	dt	the	the	0
weake	weake	j	weak	weak	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
.	.	.	.	.	0
xxiiii	xxiiii	crd	xxiiii	xxiiii	0
.	.	.	.	.	0
to	to	pc-acp	to	to	0
bynd	bynd	vvi	bind	bind	0
vp	vp	a-acp	up	up	0
that	that	d	that	that	0
is	is	vbz	is	be	0
broken	broken	vvn	broken	break	0
,	,	,	,	,	0
uke	uke	n1	uke	uke	0
.	.	.	.	.	0
xii	xii	crd	xii	twelve	0
.	.	.	.	.	0
to	to	pc-acp	to	to	0
bryng	bryng	vvi	bring	bring	0
