ear	ear	n1	ear	ear	0
elod	elod	n1	elod	elod	0
,	,	,	,	,	0
and	and	cc	and	and	0
longed-for	longed-for	j	longed-for	longed-for	0
,	,	,	,	,	0
my	my	po11	my	my	0
Joy	Joy	n1	Joy	joy	0
and	and	cc	and	and	0
Crown	Crown	n1	Crown	crown	0
;	;	;	;	;	0
THE	THE	dt	THE	the	0
serious	serious	j	serious	serious	0
consideration	consideration	n1	consideration	consideration	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
immorta	immorta	fw-la	immorta	immorta	0
∣	∣	sy	∣	∣	0
lity	lity	n1	lity	lity	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Souls	Souls	n2	Souls	soul	0
;	;	;	;	;	0
the	the	dt	the	the	0
captivity	captivity	n1	captivity	captivity	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
amongst	amongst	p-acp	among	among	0
you	you	pn22	you	you	0
to	to	p-acp	to	to	0
Satan	Satan	np1	Satan	Satan	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
sin	sin	n1	since	sin	0
;	;	;	;	;	0
the	the	dt	the	the	0
eternity	eternity	n1	eternity	eternity	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
approaching	approaching	vvg	approaching	approach	0
to	to	p-acp	to	to	0
;	;	;	;	;	0
the	the	dt	the	the	0
necessity	necessity	n1	necessity	necessity	0
of	of	pp-f	of	of	0
being	being	vbg	being	be	0
made	made	vvn	made	make	0
free	free	j	free	free	0
from	from	p-acp	from	from	0
spiritual	spiritual	j	spiritual	spiritual	0
bondage	bondage	n1	bondage	bondage	0
;	;	;	;	;	0
the	the	dt	the	the	0
shortness	shortness	n1	shortness	shortness	0
and	and	cc	and	and	0
uncertainty	uncertainty	n1	uncertainty	uncertainty	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
abode	abode	n1	abided	abode	0
upon	upon	p-acp	upon	upon	0
earth	earth	n1	earth	earth	0
;	;	;	;	;	0
your	your	po22	your	your	0
capacity	capacity	n1	capacity	capacity	0
of	of	pp-f	of	of	0
being	being	vbg	being	be	0
set	set	vvn	set	set	0
at	at	p-acp	at	at	0
liberty	liberty	n1	liberty	liberty	0
by	by	p-acp	by	by	0
Christ	Christ	np1	Christ	Christ	0
(	(	(	(	(	0
whilst	whilst	cs	while	while	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
on	on	p-acp	on	on	0
this	this	d	this	this	0
side	side	n1	side	side	0
the	the	dt	the	the	0
grave	grave	j	grave	grave	0
)	)	)	)	)	0
;	;	;	;	;	0
th	th	zz	th	th	0
impossibili	impossibili	fw-la	impossibili	impossibili	0
∣	∣	sy	∣	∣	0
ty	ty	zz	ty	ty	0
of	of	pp-f	of	of	0
redemption	redemption	n1	redemption	redemption	0
and	and	cc	and	and	0
deliverance	deliverance	n1	deliverance	deliverance	0
sinful	sinful	j	sinful	sinful	0
and	and	cc	and	and	0
hellish	hellish	j	hellish	hellish	0
raldom	raldom	n1	raldom	raldom	0
after	after	p-acp	after	after	0
death	death	n1	death	death	0
;	;	;	;	;	0
moved	moved	vvd	moved	move	0
me	me	pno11	me	i	0
at	at	p-acp	at	at	0
first	first	ord	first	first	0
tah	tah	uh	tah	tah	0
these	these	d	these	these	0
Sermons	Sermons	n2	Sermons	sermon	0
on	on	p-acp	on	on	0
this	this	d	this	this	0
Subject	Subject	j-jn	Subject	subject	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
,	,	,	,	,	0
and	and	cc	and	and	0
now	now	av	now	now	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
them	them	pno32	them	they	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
eyes	eyes	n2	eyes	eye	0
;	;	;	;	;	0
hoping	hoping	vvg	hoping	hope	0
that	that	cst	that	that	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
having	having	vhg	having	have	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
hands	hands	n2	hands	hand	0
to	to	pc-acp	to	to	0
view	view	vvi	view	view	0
what	what	r-crq	what	what	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
said	said	vvn	said	say	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
an	an	dt	and	a	0
help	help	n1	help	help	0
unto	unto	p-acp	unto	unto	0
your	your	po22	your	your	0
memories	memories	n2	memories	memory	0
,	,	,	,	,	0
so	so	av	so	so	0
also	also	av	also	also	0
a	a	dt	a	a	0
means	means	n2	means	mean	0
to	to	pc-acp	to	to	0
continue	continue	vvi	continue	continue	0
,	,	,	,	,	0
further	further	jc	further	further	0
,	,	,	,	,	0
and	and	cc	and	and	0
increase	increase	vvi	increase	increase	0
that	that	d	that	that	0
sense	sense	n1	sense	sense	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
evil	evil	n-jn	evil	evil	0
of	of	pp-f	of	of	0
Soul-captivity	Soul-captivity	n1	Soul-captivity	soul-captivity	0
,	,	,	,	,	0
that	that	cst	that	that	0
sorrow	sorrow	n1	sorrow	sorrow	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
had	had	vhd	had	have	0
been	been	vbn	been	be	0
Capti	Capti	fw-la	Capti	capti	0
o	o	fw-la	o	o	0
Satong	Satong	vvn	Satong	satong	0
▪	▪	▪	▪	▪	0
and	and	cc	and	and	0
those	those	d	those	those	0
desires	desires	n2	desires	desire	0
to	to	pc-acp	to	to	0
change	change	vvi	change	change	0
your	your	po22	your	your	0
Master	Master	n1	Master	master	0
,	,	,	,	,	0
and	and	cc	and	and	0
have	have	vhi	have	have	0
your	your	po22	your	your	0
fetters	fetters	n2	fetters	fetter	0
knocked	knocked	vvn	knocked	knock	0
off	off	a-acp	off	off	0
,	,	,	,	,	0
and	and	cc	and	and	0
be	be	vbi	be	be	0
brought	brought	vvn	brought	bring	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
liberty	liberty	n1	liberty	liberty	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Sons	Sons	n2	Sons	son	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
Christ	Christ	np1	Christ	Christ	0
the	the	dt	the	the	0
Son	Son	n1	Son	son	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
;	;	;	;	;	0
all	all	d	all	all	0
which	which	r-crq	which	which	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
(	(	(	(	(	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
work	work	n1	work	work	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
glo	glo	n1	glow	glow	0
∣	∣	sy	∣	∣	0
ry	ry	zz	ry	ry	0
thereof	thereof	av	thereof	thereof	0
is	is	vbz	is	be	0
due	due	j-jn	due	due	0
alone	alone	j	alone	alone	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
)	)	)	)	)	0
did	did	vdd	did	do	0
manifest	manifest	vvi	manifest	manifest	0
and	and	cc	and	and	0
declare	declare	vvi	declare	declare	0
;	;	;	;	;	0
ot	ot	zz	ot	ot	0
only	only	av-j	only	only	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
earnest	earnest	j	earnest	earnest	0
desires	desires	n2	desires	desire	0
for	for	p-acp	for	for	0
Gods	Gods	npg1	Gods	God	0
sake	sake	n1	sake	sake	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
Christs	Christs	npg1	Christs	Christ	0
sake	sake	n1	sake	sake	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Congregation	Congregation	n1	Congregation	congregation	0
,	,	,	,	,	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
had	had	vhd	had	have	0
any	any	d	any	any	0
le	le	zz	le	le	0
for	for	p-acp	for	for	0
,	,	,	,	,	0
oi	oi	uh	hey	oi	0
∣	∣	sy	∣	∣	0
ty	ty	zz	ty	ty	0
to	to	p-acp	to	to	0
miserable	miserable	j	miserable	miserable	0
enthralled	enthralled	j-vvn	enthralled	enthrall	0
Souls	Souls	n2	Souls	soul	0
,	,	,	,	,	0
would	would	vmd	would	will	0
son	son	n1	son	son	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
and	and	cc	and	and	0
fervently	fervently	av-j	fervently	fervent	0
pray	pray	vvb	pray	pray	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
