AFter	AFter	p-acp	AFter	after	0
many	many	d	many	many	0
thoughts	thoughts	n2	thoughts	thought	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
should	should	vmd	should	shall	0
more	more	av-dc	more	more	0
particularly	particularly	av-j	particularly	particular	0
dedicate	dedicate	vvi	dedicate	dedicate	0
this	this	d	this	this	0
my	my	po11	my	my	0
hoped	hoped	j-vvn	hoped	hope	0
Consolation	Consolation	n1	Consolation	consolation	0
,	,	,	,	,	0
(	(	(	(	(	0
right	right	av-jn	right	right	0
Honourable	Honourable	j	Honourable	honourable	0
able	able	j	able	able	0
and	and	cc	and	and	0
right	right	j-jn	right	right	0
Worship	Worship	n1	Worship	worship	0
∣	∣	sy	∣	∣	0
full	full	av-j	full	full	0
,	,	,	,	,	0
)	)	)	)	)	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
wisedome	wisedome	n1	wisdom	wisdom	0
and	and	cc	and	and	0
mercie	mercie	n1	mercy	mercy	0
(	(	(	(	(	0
I	I	pns11	I	i	0
trust	trust	vvb	trust	trust	0
)	)	)	)	)	0
directed	directed	vvd	directed	direct	0
me	me	pno11	me	i	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
selues	selues	n2	selves	self	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
those	those	d	those	those	0
whom	whom	r-crq	whom	who	0
it	it	pn31	it	it	0
doth	doth	vdz	does	do	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
peculiar	peculiar	j	peculiar	peculiar	0
manner	manner	n1	manner	manner	0
concerne	concerne	vvi	concern	concern	0
.	.	.	.	.	1
That	That	cst	That	that	0
like	like	av-j	like	like	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
appointed	appointed	vvn	appointed	appoint	0
you	you	pn22	you	you	0
to	to	p-acp	to	to	0
these	these	d	these	these	0
places	places	n2	places	place	0
,	,	,	,	,	0
so	so	av	so	so	0
ye	ye	pn22	you	you	0
may	may	vmb	may	may	0
euer	euer	av	ever	ever	0
haue	haue	vhi	have	have	0
before	before	p-acp	before	before	0
your	your	po22	your	your	0
eies	eies	n2	eyes	eye	0
,	,	,	,	,	0
the	the	dt	the	the	0
speciall	speciall	j	special	special	0
ends	ends	n2	ends	end	0
for	for	p-acp	for	for	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
assigned	assigned	vvn	assigned	assign	0
them	them	pno32	them	they	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
trust	trust	n1	trust	trust	0
,	,	,	,	,	0
&	&	cc	&	and	0
for	for	p-acp	for	for	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
answerable	answerable	j	answerable	answerable	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
hea	hea	zz	hea	hea	0
∣	∣	sy	∣	∣	0
uenly	uenly	j	uenly	uenly	0
Maiesty	Maiesty	n1	Majesty	majesty	0
.	.	.	.	.	1
The	The	dt	The	the	0
first	first	ord	first	first	0
and	and	cc	and	and	0
chiefe	chiefe	j-jn	chief	chief	0
whereof	whereof	c-crq	whereof	whereof	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
con	con	vvb	con	con	0
∣	∣	sy	∣	∣	0
ceiue	ceiue	vvb	ceiue	ceiue	0
)	)	)	)	)	0
is	is	vbz	is	be	0
this	this	d	this	this	0
,	,	,	,	,	0
That	That	cst	That	that	0
his	his	po31	his	his	0
pure	pure	j	pure	pure	0
religion	religion	n1	religion	religion	0
,	,	,	,	,	0
honour	honour	n1	honour	honour	0
,	,	,	,	,	0
and	and	cc	and	and	0
true	true	j	true	true	0
worship	worship	n1	worship	worship	0
,	,	,	,	,	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
set	set	vvn	set	set	0
vp	vp	a-acp	up	up	0
,	,	,	,	,	0
and	and	cc	and	and	0
aduaunced	aduaunced	vvn	advanced	advance	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
;	;	;	;	;	0
the	the	dt	the	the	0
next	next	ord	next	next	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
wealth	wealth	n1	wealth	wealth	0
and	and	cc	and	and	0
sauing	sauing	vvg	saving	save	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
his	his	po31	his	his	0
poore	poore	j	poor	poor	0
people	people	n1	people	people	0
in	in	p-acp	in	in	0
those	those	d	those	those	0
places	places	n2	places	place	0
,	,	,	,	,	0
both	both	d	both	both	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
soules	soules	n2	souls	soul	0
and	and	cc	and	and	0
bodies	bodies	n2	bodies	body	0
,	,	,	,	,	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
by	by	p-acp	by	by	0
you	you	pn22	you	you	0
procured	procured	vvd	procured	procure	0
,	,	,	,	,	0
so	so	av	so	so	0
farre	farre	av-j	far	far	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
power	power	n1	power	power	0
shall	shall	vmb	shall	shall	0
lie	lie	vvi	lie	lie	0
.	.	.	.	.	1
And	And	cc	And	and	0
these	these	d	these	these	0
things	things	n2	things	thing	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
effected	effected	vvn	effected	effect	0
principally	principally	av-jn	principally	principal	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
learned	learned	j	learned	learned	0
,	,	,	,	,	0
holie	holie	j	holy	holy	0
,	,	,	,	,	0
and	and	cc	and	and	0
faithfull	faithfull	j	faithful	faithful	0
Ministerie	Ministerie	n1	Ministry	ministry	0
,	,	,	,	,	0
protected	protected	vvn	protected	protect	0
and	and	cc	and	and	0
assisted	assisted	vvn	assisted	assist	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
godlie	godlie	j	godly	godly	0
Magistracie	Magistracie	n1	Magistracy	magistracy	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
propaga	propaga	fw-la	propaga	propaga	0
∣	∣	sy	∣	∣	0
ting	ting	n1	ting	thing	0
and	and	cc	and	and	0
spreading	spreading	vvg	spreading	spread	0
all	all	d	all	all	0
good	good	j	good	good	0
