Honourable	Honourable	j	Honourable	honourable	0
and	and	cc	and	and	0
honoured	honoured	j-vvn	honoured	honour	0
,	,	,	,	,	0
I	I	pns11	I	i	0
Hope	Hope	vvb	Hope	hope	0
it	it	pn31	it	it	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
impu	impu	vvn	impu	impu	0
∣	∣	sy	∣	∣	0
ted	ted	vvd	ted	t	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
crime	crime	n1	crime	crime	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
did	did	vdd	did	do	0
all	all	d	all	all	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
to	to	pc-acp	to	to	0
keep	keep	vvi	keep	keep	0
this	this	d	this	this	0
Sermon	Sermon	n1	Sermon	sermon	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Presse	Presse	vvb	Press	press	0
,	,	,	,	,	0
not	not	xx	not	not	0
fearing	fearing	vvg	fearing	fear	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
would	would	vmd	would	will	0
do	do	vdi	do	do	0
any	any	d	any	any	0
hurt	hurt	n1	hurt	hurt	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
rather	rather	av-c	rather	rather	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
might	might	vmd	might	may	0
do	do	vdi	do	do	0
little	little	j	little	little	0
,	,	,	,	,	0
if	if	cs	if	if	0
any	any	d	any	any	0
good	good	j	good	good	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
hard	hard	j	hard	hard	0
,	,	,	,	,	0
ve	ve	zz	ve	ve	0
∣	∣	sy	∣	∣	0
ry	ry	zz	ry	ry	0
hard-hearted	hard-hearted	j	hardhearted	hard-hearted	0
age	age	n1	age	age	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
seeing	seeing	vvg	seeing	see	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
pleased	pleased	vvn	pleased	please	0
(	(	(	(	(	0
I	I	pns11	I	i	0
think	think	vvb	think	think	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
without	without	p-acp	without	without	0
offence	offence	n1	offence	offence	0
say	say	vvi	say	say	0
)	)	)	)	)	0
God	God	np1	God	God	0
and	and	cc	and	and	0
you	you	pn22	you	you	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
call	call	vvi	call	call	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
remem	remem	fw-la	remem	remem	0
∣	∣	sy	∣	∣	0
brance	brance	n1	brance	brance	0
,	,	,	,	,	0
some	some	d	some	some	0
moneths	moneths	n2	months	month	0
