Mr.	Mr.	n1	Mr.	mr.	0
Wolfe	Wolfe	n1	Wolf	wolf	0
,	,	,	,	,	0
Good	Good	j	Good	good	0
Newes	Newes	n1	News	news	0
was	was	vbds	was	be	0
euer	euer	av	ever	ever	0
a	a	dt	a	a	0
wel	wel	av	well	well	0
∣	∣	sy	∣	∣	0
come	come	vvb	come	come	0
guest	guest	n1	guest	guest	0
vnto	vnto	p-acp	unto	unto	0
me	me	pno11	me	i	0
:	:	:	:	:	0
and	and	cc	and	and	0
you	you	pn22	you	you	0
do	do	vdb	do	do	0
well	well	av	well	well	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
current	current	n1	current	current	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
businesse	businesse	n1	business	business	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
member	member	n1	member	member	0
the	the	dt	the	the	0
Italian	Italian	jp	Italian	italian	0
Prouerbe	Prouerbe	n1	Proverb	proverb	0
;	;	;	;	;	0
Good	Good	j	Good	good	0
Ti	Ti	uh	Ti	ti	0
∣	∣	sy	∣	∣	0
dings	dings	vvz	dings	ding	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
dispatched	dispatched	vvn	dispatched	dispatch	0
to	to	pc-acp	to	to	0
ride	ride	vvi	ride	ride	0
post	post	n1	post	post	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Ill	Ill	j-jn	Ill	ill	0
Tidings	Tidings	n2	Tidings	tiding	0
may	may	vmb	may	may	0
haue	haue	vhi	have	have	0
good	good	j	good	good	0
leaue	leaue	n1	leave	leave	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
footeman	footeman	n1	footman	footman	0
.	.	.	.	.	1
The	The	dt	The	the	0
nimblest	nimblest	js	nimblest	nimble	0
Bee	Bee	n1	Bee	bee	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
slowworme	slowworme	n1	slowworm	slowworm	0
in	in	p-acp	in	in	0
expedi	expedi	n1	expedi	expedi	0
∣	∣	sy	∣	∣	0
tions	tions	n1	tions	tions	0
of	of	pp-f	of	of	0
importance	importance	n1	importance	importance	0
,	,	,	,	,	0
or	or	cc	or	or	0
cōgratulation	cōgratulation	n1	congratulation	congratulation	0
:	:	:	:	:	0
&	&	cc	&	and	0
the	the	dt	the	the	0
dullest	dullest	js	dullest	dull	0
Snaile	Snaile	n1	Snail	snail	0
the	the	dt	the	the	0
meetest	meetest	js	meetest	meet	0
Ambassadour	Ambassadour	n1	Ambassador	ambassador	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
employed	employed	vvn	employed	employ	0
in	in	p-acp	in	in	0
messages	messages	n2	messages	message	0
of	of	pp-f	of	of	0
damage	damage	n1	damage	damage	0
,	,	,	,	,	0
or	or	cc	or	or	0
condolement	condolement	n1	condolement	condolement	0
.	.	.	.	.	1
You	You	pn22	You	you	0
haue	haue	vhb	have	have	0
lately	lately	av-j	lately	late	0
,	,	,	,	,	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
appeareth	appeareth	vvz	appears	appear	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
Indices	Indices	n2	Indices	index	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sicknesse	sicknesse	n1	sickness	sickness	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
many	many	d	many	many	0
other	other	j-jn	other	other	0
No	No	av-dx	No	no	0
∣	∣	sy	∣	∣	0
uels	uels	n2-j	uels	uels	0
)	)	)	)	)	0
very	very	av	very	very	0
tidely	tidely	av-j	tidely	tide	0
playde	playde	vvd	played	play	0
the	the	dt	the	the	0
Bees	Bees	n2	Bees	bee	0
part	part	n1	part	part	0
:	:	:	:	:	0
and	and	cc	and	and	0
so	so	av	so	so	0
continue	continue	vvb	continue	continue	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
loue	loue	vvb	love	love	0
me	me	pno11	me	i	0
,	,	,	,	,	0
or	or	cc	or	or	0
your	your	po22	your	your	0
selfe	selfe	n1	self	self	0
:	:	:	:	:	0
vnto	vnto	p-acp	unto	unto	0
whom	whom	ro-crq	whom	who	0
I	I	pns11	I	i	0
wish	wish	vvb	wish	wish	0
a	a	dt	a	a	0
rich	rich	j	rich	rich	0
hiue	hiue	n1	hive	hive	0
,	,	,	,	,	0
and	and	cc	and	and	0
many	many	d	many	many	0
hony-moones	hony-moones	n2	honey-moons	honey-moon	0
.	.	.	.	.	1
Since	Since	p-acp	Since	since	0
I	I	pns11	I	i	0
receaued	receaued	vvd	received	receive	0
Parthenophil	Parthenophil	np1	Parthenophil	Parthenophil	0
,	,	,	,	,	0
Shores	Shores	np1	Shores	Shores	0
wife	wife	n1	wife	wife	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Articles	Articles	n2	Articles	article	0
of	of	pp-f	of	of	0
accorde	accorde	n1	accord	accord	0
,	,	,	,	,	0
or	or	cc	or	or	0
truce	truce	n1	truce	truce	0
in	in	p-acp	in	in	0
France	France	np1	France	France	0
,	,	,	,	,	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
render	render	vvb	render	render	0
you	you	pn22	you	you	0
as	as	p-acp	as	as	0
many	many	d	many	many	0
thankes	thankes	n2	thanks	thanks	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
there	there	pc-acp	there	there	0
be	be	vbi	be	be	0
Arti	Arti	fw-la	Arti	arti	0
∣	∣	sy	∣	∣	0
cles	cles	zz	cles	cles	0
)	)	)	)	)	0
:	:	:	:	:	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
now	now	av	now	now	0
also	also	av	also	also	0
this	this	d	this	this	0
instant	instant	n-jn	instant	instant	0
of	of	pp-f	of	of	0
September	September	np1	September	September	0
,	,	,	,	,	0
perused	perused	vvn	perused	peruse	0
your	your	po22	your	your	0
queint	queint	j	quaint	quaint	0
,	,	,	,	,	0
and	and	cc	and	and	0
cunning	cunning	j-jn	cunning	cunning	0
Discourse	Discourse	n1	Discourse	discourse	0
of	of	pp-f	of	of	0
Remonstrances	Remonstrances	n2	Remonstrances	remonstrance	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Duke	Duke	n1	Duke	duke	0
de	de	fw-fr	de	de	0
Maine	Maine	j	Main	main	0
:	:	:	:	:	0
with	with	p-acp	with	with	0
that	that	d	that	that	0
other	other	j-jn	other	other	0
new-new	new-new	j	new-new	new-new	0
Pamflet	Pamflet	np1	Pamflet	Pamflet	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
late	late	j	late	late	0
Turkish	Turkish	jp	Turkish	turkish	0
assiege	assiege	vvi	assiege	assiege	0
of	of	pp-f	of	of	0
Sysseck	Sysseck	np1	Sysseck	Sysseck	0
in	in	p-acp	in	in	0
Croatia	Croatia	np1	Croatia	Croatia	0
,	,	,	,	,	0
the	the	dt	the	the	0
old	old	j	old	old	0
Libur	Libur	np1	Libur	Libur	0
∣	∣	sy	∣	∣	0
nia	nia	n1	niam	niam	0
,	,	,	,	,	0
famous	famous	j	famous	famous	0
for	for	p-acp	for	for	0
seruiceable	seruiceable	j	serviceable	serviceable	0
Shippes	Shippes	n2	Ships	ship	0
.	.	.	.	.	1
And	And	cc	And	and	0
take	take	vvb	take	take	0
no	no	av-dx	no	no	0
lesse	lesse	dc	less	less	0
pleasure	pleasure	n1	pleasure	pleasure	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sounde	sounde	n1	sound	sound	0
Declaration	Declaration	n1	Declaration	declaration	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
plaine	plaine	n1	plain	plain	0
Ger	Ger	po31	Her	her	0
∣	∣	sy	∣	∣	0
mane	mane	n1	mane	mane	0
,	,	,	,	,	0
a	a	dt	a	a	0
credible	credible	j	credible	credible	0
Historicgrapher	Historicgrapher	n1	Historicgrapher	historicgrapher	0
,	,	,	,	,	0
then	then	av	then	then	0
delight	delight	vvb	delight	delight	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sly	sly	j	sly	sly	0
Information	Information	n1	Information	information	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
fine	fine	j	fine	fine	0
French	French	jp	French	french	0
,	,	,	,	,	0
a	a	dt	a	a	0
glicking	glicking	vvg	glicking	glick	0
Remembran	Remembran	np1	Remembran	Remembran	0
∣	∣	sy	∣	∣	0
cer	cer	n1	cer	cer	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
the	the	dt	the	the	0
externall	externall	j	external	external	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
internall	internall	j	internal	internal	0
forme	forme	n1	form	form	0
,	,	,	,	,	0
(	(	(	(	(	0
call	call	vvb	call	call	0
it	it	pn31	it	it	0
the	the	dt	the	the	0
Pith	Pith	n1	Pith	pith	0
,	,	,	,	,	0
or	or	cc	or	or	0
the	the	dt	the	the	0
marrow	marrow	n1	marrow	marrow	0
,	,	,	,	,	0
or	or	cc	or	or	0
the	the	dt	the	the	0
life-bloud	life-bloud	n1	lifeblood	lifeblood	0
,	,	,	,	,	0
or	or	cc	or	or	0
what	what	r-crq	what	what	0
you	you	pn22	you	you	0
list	list	vvb	list	listen	0
)	)	)	)	)	0
that	that	cst	that	that	0
edifieth	edifieth	vvz	edifieth	edifi	0
:	:	:	:	:	0
and	and	cc	and	and	0
vndoubtedly	vndoubtedly	av-j	undoubtedly	undoubted	0
the	the	dt	the	the	0
Christian	Christian	njp	Christian	christian	0
world	world	n1	world	world	0
hath	hath	vhz	hath	have	0
pregnant	pregnant	j	pregnant	pregnant	0
cause	cause	n1	cause	cause	0
to	to	pc-acp	to	to	0
prostrate	prostrate	vvi	prostrate	prostrate	0
the	the	dt	the	the	0
feruentest	feruentest	js	ferventest	fervent	0
Zeale	Zeale	n1	Zeal	zeal	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
de	de	fw-fr	de	de	0
∣	∣	sy	∣	∣	0
uotions	uotions	n2	uotions	uotion	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
almighty	almighty	j-jn	almighty	almighty	0
maiesty	maiesty	n1	majesty	majesty	0
,	,	,	,	,	0
