IT	IT	pn31	IT	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
ponderous	ponderous	j	ponderous	ponderous	0
speech	speech	n1	speech	speech	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
wise	wise	j	wise	wise	0
man	man	n1	man	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
worthy	worthy	j	worthy	worthy	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
wise	wise	j	wise	wise	0
mens	mens	ng2	men's	man	0
deep	deep	av-jn	deep	deep	0
∣	∣	sy	∣	∣	0
est	est	zz	est	est	0
consideration	consideration	n1	consideration	consideration	0
;	;	;	;	;	0
Eccles.	Eccles.	np1	Eccles.	Eccles.	1
8.6	8.6	crd	8.6	8.6	0
.	.	.	.	.	1
Because	Because	p-acp	Because	because	0
to	to	p-acp	to	to	0
every	every	d	every	every	0
purpose	purpose	n1	purpose	purpose	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
time	time	n1	time	time	0
and	and	cc	and	and	0
judgment	judgment	n1	judgement	judgement	0
;	;	;	;	;	0
therefore	therefore	av	therefore	therefore	0
the	the	dt	the	the	0
misery	misery	n1	misery	misery	0
of	of	pp-f	of	of	0
man	man	n1	man	man	0
is	is	vbz	is	be	0
great	great	j	great	great	0
upon	upon	p-acp	upon	upon	0
him	him	pno31	him	he	0
.	.	.	.	.	1
Jerom	Jerom	np1	Jerom	Jerom	0
tels	tels	vvz	tells	tell	0
us	us	pno12	us	we	0
that	that	d	that	that	0
the	the	dt	the	the	0
Septua	Septua	n1	Septua	septua	0
∣	∣	sy	∣	∣	0
gint	gint	zz	gint	gint	0
and	and	cc	and	and	0
Theodotio	Theodotio	np1	Theodotio	Theodotio	0
did	did	vdd	did	do	0
read	read	vvi	read	read	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
stead	stead	n1	stead	stead	0
of	of	pp-f	of	of	0
[	[	[	[	[	0
therefore	therefore	av	therefore	therefore	0
the	the	dt	the	the	0
misery	misery	n1	misery	misery	0
of	of	pp-f	of	of	0
man	man	n1	man	man	0
is	is	vbz	is	be	0
great	great	j	great	great	0
]	]	]	]	]	0
because	because	c-acp	because	because	0
the	the	dt	the	the	0
knowledg	knowledg	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
man	man	n1	man	man	0
is	is	vbz	is	be	0
great	great	j	great	great	0
upon	upon	p-acp	upon	upon	0
him	him	pno31	him	he	0
:	:	:	:	:	0
and	and	cc	and	and	0
he	he	pns31	he	he	0
conjectures	conjectures	n2	conjectures	conjecture	0
the	the	dt	the	the	0
difference	difference	n1	difference	difference	0
to	to	pc-acp	to	to	0
arise	arise	vvi	arise	arise	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
likeness	likeness	n1	likeness	likeness	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
two	two	crd	two	two	0
Hebrew	Hebrew	njp	Hebrew	hebrew	0
words	words	n2	words	word	0
&	&	cc	&	and	0
the	the	dt	the	the	0
one	one	crd	one	one	0
signifying	signifying	vvg	signifying	signify	0
knowledg	knowledg	n1	knowledge	knowledge	0
,	,	,	,	,	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
evil	evil	n-jn	evil	evil	0
or	or	cc	or	or	0
misery	misery	n1	misery	misery	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
is	is	vbz	is	be	0
,	,	,	,	,	0
the	the	dt	the	the	0
want	want	n1	want	want	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
knowledge	knowledge	n1	knowledge	knowledge	0
,	,	,	,	,	0
or	or	cc	or	or	0
wisdome	wisdome	n1	wisdom	wisdom	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
know	know	vvi	know	know	0
and	and	cc	and	and	0
judg	judg	n1	judge	judge	0
of	of	pp-f	of	of	0
times	times	n2	times	time	0
and	and	cc	and	and	0
seasons	seasons	n2	seasons	season	0
,	,	,	,	,	0
is	is	vbz	is	be	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
brings	brings	vvz	brings	bring	0
great	great	j	great	great	0
misery	misery	n1	misery	misery	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
sons	sons	n2	sons	son	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
:	:	:	:	:	0
And	And	cc	And	and	0
so	so	av	so	so	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
true	true	j	true	true	0
sense	sense	n1	sense	sense	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
words	words	n2	words	word	0
;	;	;	;	;	0
because	because	c-acp	because	because	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
time	time	n1	time	time	0
and	and	cc	and	and	0
judgment	judgment	n1	judgement	judgement	0
for	for	p-acp	for	for	0
every	every	d	every	every	0
purpose	purpose	n1	purpose	purpose	0
,	,	,	,	,	0
and	and	cc	and	and	0
but	but	p-acp	but	but	0
a	a	dt	a	a	0
time	time	n1	time	time	0
:	:	:	:	:	0
And	And	cc	And	and	0
men	men	n2	men	man	0
have	have	vhb	have	have	0
not	not	xx	not	not	0
judgment	judgment	n1	judgement	judgement	0
to	to	pc-acp	to	to	0
discern	discern	vvi	discern	discern	0
and	and	cc	and	and	0
take	take	vvi	take	take	0
that	that	d	that	that	0
time	time	n1	time	time	0
,	,	,	,	,	0
therefore	therefore	av	therefore	therefore	0
the	the	dt	the	the	0
misery	misery	n1	misery	misery	0
of	of	pp-f	of	of	0
man	man	n1	man	man	0
is	is	vbz	is	be	0
great	great	j	great	great	0
upon	upon	p-acp	upon	upon	0
him	him	pno31	him	he	0
;	;	;	;	;	0
men	men	n2	men	man	0
bring	bring	vvb	bring	bring	0
upon	upon	p-acp	upon	upon	0
themselves	themselves	px32	themselves	themselves	0
and	and	cc	and	and	0
others	others	ng2-jn	others	other	0
extream	extream	j-jn	extreme	extreme	0
trouble	trouble	n1	trouble	trouble	0
and	and	cc	and	and	0
misery	misery	n1	misery	misery	0
;	;	;	;	;	0
because	because	c-acp	because	because	0
they	they	pns32	they	they	0
do	do	vdb	do	do	0
not	not	xx	not	not	0
wisely	wisely	av-j	wisely	wise	0
discern	discern	vvi	discern	discern	0
,	,	,	,	,	0
Opportunity	Opportunity	n1	Opportunity	opportunity	0
is	is	vbz	is	be	0
time	time	n1	time	time	0
fitted	fitted	vvn	fitted	fit	0
and	and	cc	and	and	0
framed	framed	vvn	framed	frame	0
by	by	p-acp	by	by	0
God	God	np1	God	God	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
accom	accom	n1	accom	accom	0
∣	∣	sy	∣	∣	0
plishment	plishment	n1	plishment	plishment	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
designs	designs	n2	designs	design	0
.	.	.	.	.	0
and	and	cc	and	and	0
lay	lay	vvb	lay	lay	0
hold	hold	vvi	hold	hold	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
time	time	n1	time	time	0
and	and	cc	and	and	0
opportunity	opportunity	n1	opportunity	opportunity	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
so	so	av	so	so	0
sig	sig	vvb	sig	sig	0
∣	∣	sy	∣	∣	0
nifies	nifies	vvz	nifies	nify	0
opportunum	opportunum	fw-la	opportunum	opportunum	0
tempus	tempus	fw-la	tempus	tempus	0
;	;	;	;	;	0
)	)	)	)	)	0
which	which	r-crq	which	which	0
God	God	n1	God	god	0
doth	doth	vdz	does	do	0
give	give	vvi	give	give	0
them	them	pno32	them	they	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
bringing	bringing	vvg	bringing	bring	0
about	about	a-acp	about	about	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
lawfull	lawfull	j	lawful	lawful	0
and	and	cc	and	and	0
righ	righ	j-jn	righ	right	0
∣	∣	sy	∣	∣	0
teous	teous	j-u	teous	teous	0
purposes	purposes	n2	purposes	purpose	0
and	and	cc	and	and	0
designs	designs	n2	designs	design	0
:	:	:	:	:	0
Therefore	Therefore	av	Therefore	therefore	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
wisdom	wisdom	n1	wisdom	wisdom	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
blessed	blessed	j-vvn	blessed	bless	0
Lord	Lord	n1	Lord	lord	0
and	and	cc	and	and	0
Saviour	Saviour	n1	Saviour	saviour	0
Jesus	Jesus	np1	Jesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
that	that	cst	that	that	0
when	when	c-crq	when	when	0
he	he	pns31	he	he	0
came	came	vvd	came	come	0
about	about	p-acp	about	about	0
that	that	d	that	that	0
great	great	j	great	great	0
design	design	n1	design	design	0
of	of	pp-f	of	of	0
saving	saving	vvg	saving	save	0
souls	souls	n2	souls	soul	0
he	he	pns31	he	he	0
took	took	vvd	took	take	0
his	his	po31	his	his	0
fathers	fathers	ng1	father's	father	0
time	time	n1	time	time	0
;	;	;	;	;	0
So	So	av	So	so	0
you	you	pn22	you	you	0
hear	hear	vvb	hear	hear	0
his	his	po31	his	his	0
fa	fa	zz	fa	fa	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
bespeaking	bespeaking	vvg	bespeaking	bespeak	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
,	,	,	,	,	0
In	In	p-acp	In	in	0
an	an	dt	and	a	0
acceptable	acceptable	j	acceptable	acceptable	0
time	time	n1	time	time	0
have	have	vhb	have	have	0
I	I	pns11	I	i	0
heard	heard	vvn	herd	hear	0
thee	thee	pno21	thee	thou	0
,	,	,	,	,	0
Isa.	Isa.	np1	Isa.	Isa.	1
49.8	49.8	crd	49.8	49.8	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
tempare	tempare	n1	tempare	tempare	0
