To	To	p-acp	To	to	0
the	the	dt	the	the	0
Right	Right	n-jn	Right	right	0
Honourable	Honourable	j	Honourable	honourable	0
HENRY	HENRY	np1	HENRY	Henry	0
Earle	Earle	n1	Earl	earl	0
of	of	pp-f	of	of	0
Oxford	Oxford	np1	Oxford	Oxford	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Bulbeck	Bulbeck	np1	Bulbeck	Bulbeck	0
,	,	,	,	,	0
Samford	Samford	np1	Samford	Samford	0
,	,	,	,	,	0
Badlesmere	Badlesmere	np1	Badlesmere	Badlesmere	0
,	,	,	,	,	0
Scales	Scales	n2	Scales	scale	0
,	,	,	,	,	0
Knight	Knight	n1	Knight	knight	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Garter	Garter	n1	Garter	garter	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
ALGERNON	ALGERNON	np1	ALGERNON	Algernon	0
Earle	Earle	n1	Earl	earl	0
of	of	pp-f	of	of	0
Northumberland	Northumberland	np1	Northumberland	Northumberland	0
,	,	,	,	,	0
and	and	cc	and	and	0
Lord	Lord	n1	Lord	lord	0
Percy	Percy	np1	Percy	Percy	0
,	,	,	,	,	0
Lucy	Lucy	np1	Lucy	Lucy	0
,	,	,	,	,	0
Poynings	Poynings	np1	Poynings	Poynings	0
,	,	,	,	,	0
Fitz	Fitz	np1	Fitz	Fitz	0
Pain	Pain	n1	Pain	pain	0
,	,	,	,	,	0
Bryan	Bryan	np1	Bryan	Bryan	0
and	and	cc	and	and	0
Latimer	Latimer	np1	Latimer	Latimer	0
,	,	,	,	,	0
Knight	Knight	n1	Knight	knight	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Garter	Garter	n1	Garter	garter	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
JOHN	JOHN	np1	JOHN	John	0
Earle	Earle	n1	Earl	earl	0
of	of	pp-f	of	of	0
Shrewsbury	Shrewsbury	np1	Shrewsbury	Shrewsbury	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Talbot	Talbot	np1	Talbot	Talbot	0
,	,	,	,	,	0
Furnival	Furnival	np1	Furnival	Furnival	0
,	,	,	,	,	0
Verdon	Verdon	np1	Verdon	Verdon	0
,	,	,	,	,	0
and	and	cc	and	and	0
Lord	Lord	n1	Lord	lord	0
Strange	Strange	j	Strange	strange	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
Blackmore	Blackmore	np1	Blackmore	Blackmore	0
.	.	.	.	.	1
