YE	YE	pn22	you	you	0
haue	haue	vhb	have	have	0
heare	heare	av	hear	here	0
published	published	vvn	published	publish	0
in	in	p-acp	in	in	0
print	print	n1	print	print	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
Questions	Questions	n2	Questions	question	0
&	&	cc	&	and	0
Answeres	Answeres	n2	Answers	answer	0
,	,	,	,	,	0
(	(	(	(	(	0
beloued	beloued	vvn	beloved	belove	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
)	)	)	)	)	0
the	the	dt	the	the	0
Summe	Summe	n1	Sum	sum	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
exposition	exposition	n1	exposition	exposition	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lords	Lords	n2	Lords	lord	0
pray	pray	vvb	pray	pray	0
∣	∣	sy	∣	∣	0
er	er	fw-mi	er	er	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
edifying	edifying	n-vvg	edifying	edify	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
instruction	instruction	n1	instruction	instruction	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
families	families	n2	families	family	0
,	,	,	,	,	0
I	I	pns11	I	i	0
made	made	vvd	made	make	0
more	more	av-dc	more	more	0
at	at	p-acp	at	at	0
large	large	j	large	large	0
in	in	p-acp	in	in	0
forme	forme	n1	form	form	0
of	of	pp-f	of	of	0
Catechising	Catechising	n-vvg	Catechising	catechise	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Euening	Euening	n1	Evening	evening	0
pray	pray	vvb	pray	pray	0
∣	∣	sy	∣	∣	0
er	er	zz	er	er	0
exercise	exercise	n1	exercise	exercise	0
vppon	vppon	p-acp	upon	upon	0
the	the	dt	the	the	0
Sabboth	Sabboth	n1	Sabbath	sabbath	0
dayes	dayes	n2	days	day	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
suche	suche	d	such	such	0
sorte	sorte	n1	sort	sort	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
then	then	av	then	then	0
hearde	hearde	vvn	heard	hear	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	p-acp	as	as	0
God	God	np1	God	God	0
vouchsafed	vouchsafed	vvd	vouchsafed	vouchsafe	0
to	to	p-acp	to	to	0
inhable	inhable	j	inhable	inhable	0
mee	mee	pno11	me	i	0
.	.	.	.	.	1
It	It	pn31	It	it	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
obiected	obiected	vvn	objected	object	0
,	,	,	,	,	0
that	that	cst	that	that	0
many	many	d	many	many	0
godly	godly	j	godly	godly	0
writers	writers	n2	writers	writer	0
haue	haue	vhb	have	have	0
hād	hād	n1	hand	hand	0
∣	∣	sy	∣	∣	0
led	led	vvd	led	lead	0
this	this	d	this	this	0
argument	argument	n1	argument	argument	0
verye	verye	av	very	very	0
learned	learned	j	learned	learned	0
∣	∣	sy	∣	∣	0
lye	lye	vvb	lie	lie	0
,	,	,	,	,	0
and	and	cc	and	and	0
published	published	vvd	published	publish	0
the	the	dt	the	the	0
same	same	d	same	same	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
benefite	benefite	n1	benefit	benefit	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
catechismes	catechismes	n2	catechisms	catechism	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
forme	forme	n1	form	form	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
respecte	respecte	n1	respect	respect	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
,	,	,	,	,	0
it	it	pn31	it	it	0
might	might	vmd	might	may	0
well	well	av	well	well	0
haue	haue	vhi	have	have	0
beseemed	beseemed	vvd	beseemed	beseem	0
mee	mee	pno11	me	i	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
vsed	vsed	vvn	used	use	0
.	.	.	.	.	1
All	All	av-d	All	all	0
this	this	d	this	this	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
reuerence	reuerence	n1	reverence	reverence	0
both	both	av-d	both	both	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Objectors	Objectors	n2	Objectors	objector	0
and	and	cc	and	and	0
Wry	Wry	j	Wry	wry	0
∣	∣	sy	∣	∣	0
ters	ters	n1	ters	ters	0
,	,	,	,	,	0
I	I	pns11	I	i	0
acknowledge	acknowledge	vvb	acknowledge	acknowledge	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
moste	moste	av-ds	most	most	0
true	true	j	true	true	0
.	.	.	.	.	1
And	And	np1	And	And	0
,	,	,	,	,	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
contented	contented	vvn	contented	content	0
mee	mee	pno11	me	i	0
selfe	selfe	n1	self	self	0
therewith	therewith	av	therewith	therewith	0
,	,	,	,	,	0
it	it	pn31	it	it	0
woulde	woulde	vmd	would	will	0
haue	haue	vhi	have	have	0
made	made	vvn	made	make	0
more	more	av-dc	more	more	0
with	with	p-acp	with	with	0
myne	myne	po11	mine	my	0
ease	ease	n1	ease	ease	0
.	.	.	.	.	1
Not	Not	xx	Not	not	0
to	to	pc-acp	to	to	0
offende	offende	vvi	offend	offend	0
these	these	d	these	these	0
Wry	Wry	j	Wry	wry	0
∣	∣	sy	∣	∣	0
ters	ters	n1	ters	ters	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
to	to	pc-acp	to	to	0
satisfie	satisfie	vvi	satisfy	satisfy	0
these	these	d	these	these	0
Obje	Obje	fw-fr	Obje	obje	0
∣	∣	sy	∣	∣	0
ctors	ctors	n2	ctors	ctor	0
,	,	,	,	,	0
the	the	dt	the	the	0
reason	reason	n1	reason	reason	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
moo	moo	av	moo	moo	0
∣	∣	sy	∣	∣	0
ued	ued	zz	ued	ued	0
mee	mee	pno11	me	i	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
sort	sort	n1	sort	sort	0
to	to	pc-acp	to	to	0
collect	collect	vvi	collect	collect	0
both	both	d	both	both	0
the	the	dt	the	the	0
Questions	Questions	n2	Questions	question	0
and	and	cc	and	and	0
Aun	Aun	dt	An	an	0
∣	∣	sy	∣	∣	0
sweres	sweres	vvz	swears	swear	0
,	,	,	,	,	0
foorth	foorth	av	forth	forth	0
of	of	pp-f	of	of	0
learned	learned	j	learned	learned	0
Au	Au	fw-fr	Au	au	0
∣	∣	sy	∣	∣	0
thors	thors	n2	thors	thor	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
more	more	n1	more	moor	0
at	at	p-acp	at	at	0
large	large	j	large	large	0
haue	haue	vhi	have	have	0
interpreted	interpreted	vvn	interpreted	interpret	0
this	this	d	this	this	0
Prayer	Prayer	n1	Prayer	prayer	0
,	,	,	,	,	0
is	is	vbz	is	be	0
this	this	d	this	this	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
most	most	ds	most	most	0
Catechismes	Catechismes	n2	Catechisms	catechism	0
,	,	,	,	,	0
the	the	dt	the	the	0
Que	Que	fw-fr	Que	que	0
∣	∣	sy	∣	∣	0
stion	stion	n1	scion	scion	0
is	is	vbz	is	be	0
briefe	briefe	j	brief	brief	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Aunswere	Aunswere	n1	Answer	answer	0
is	is	vbz	is	be	0
large	large	j	large	large	0
:	:	:	:	:	0
So	So	av	So	so	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Childe	Childe	n1	Child	child	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
memorye	memorye	n1	memory	memory	0
is	is	vbz	is	be	0
short	short	j	short	short	0
,	,	,	,	,	0
and	and	cc	and	and	0
capacitye	capacitye	n1	capacity	capacity	0
weake	weake	j	weak	weak	0
,	,	,	,	,	0
doth	doth	vdz	does	do	0
hardlye	hardlye	av	hardly	hard	0
at	at	p-acp	at	at	0
once	once	a-acp	once	once	0
commit	commit	vvi	commit	commit	0
so	so	av	so	so	0
muche	muche	av-d	much	much	0
to	to	p-acp	to	to	0
remembraunce	remembraunce	n1	remembrance	remembrance	0
,	,	,	,	,	0
and	and	cc	and	and	0
heardeli	heardeli	fw-la	heardeli	heardeli	0
∣	∣	sy	∣	∣	0
er	er	zz	er	er	0
conceiue	conceiue	vvb	conceive	conceive	0
what	what	r-crq	what	what	0
hee	hee	pns31	he	he	0
rehear	rehear	vvb	rehear	rehear	0
∣	∣	sy	∣	∣	0
seth	seth	vvz	seth	se	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
ease	ease	n1	ease	ease	0
him	him	pno31	him	he	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
one	one	pi	one	one	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
helpe	helpe	vvi	help	help	0
him	him	pno31	him	he	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
indeuoured	indeuoured	vvd	endeavoured	endeavour	0
mee	mee	pno11	me	i	0
selfe	selfe	n1	self	self	0
to	to	pc-acp	to	to	0
vse	vse	vvi	use	use	0
breuitye	breuitye	n1	brevity	brevity	0
in	in	p-acp	in	in	0
both	both	d	both	both	0
.	.	.	.	.	1
And	And	cc	And	and	0
yet	yet	av	yet	yet	0
,	,	,	,	,	0
I	I	pns11	I	i	0
must	must	vmb	must	must	0
confesse	confesse	vvi	confess	confess	0
,	,	,	,	,	0
that	that	cst	that	that	0
a	a	dt	a	a	0
dutifull	dutifull	j	dutiful	dutiful	0
care	care	n1	care	care	0
to	to	pc-acp	to	to	0
deliuer	deliuer	vvi	deliver	deliver	0
effectuallye	effectuallye	av-j	effectually	effectual	0
and	and	cc	and	and	0
playne	playne	j	plain	plain	0
∣	∣	sy	∣	∣	0
lye	lye	vvb	lie	lie	0
the	the	pno32	thee	they	0
full	full	j	full	full	0
summe	summe	n1	sum	sum	0
and	and	cc	and	and	0
comfor	comfor	n1	comfort	comfort	0
∣	∣	sy	∣	∣	0
table	table	n1	table	table	0
sense	sense	n1	sense	sense	0
of	of	pp-f	of	of	0
euerye	euerye	d	every	every	0
woorde	woorde	n1	word	word	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
most	most	av-ds	most	most	0
diuine	diuine	j-jn	divine	divine	0
Prayer	Prayer	n1	Prayer	prayer	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
for	for	p-acp	for	for	0
∣	∣	sy	∣	∣	0
ced	ced	j-vvn	ced	ce	0
mee	mee	pno11	me	i	0
some-tymes	some-tymes	n2	sometimes	sometime	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Aun	Aun	dt	An	an	0
∣	∣	sy	∣	∣	0
swere	swere	vvb	swear	swear	0
to	to	pc-acp	to	to	0
lay	lay	vvi	lay	lay	0
downe	downe	a-acp	down	down	0
more	more	av-dc	more	more	0
wordes	wordes	n2	words	word	0
,	,	,	,	,	0
then	then	av	then	then	0
willinglye	willinglye	av-j	willingly	willing	0
I	I	pns11	I	i	0
woulde	woulde	vmd	would	will	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
how	how	q-crq	how	how	0
so	so	av	so	so	0
euer	euer	av	ever	ever	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
behaued	behaued	vvn	behaved	behave	0
mee	mee	pno11	me	i	0
selfe	selfe	n1	self	self	0
in	in	p-acp	in	in	0
Methode	Methode	n1	Method	method	0
,	,	,	,	,	0
since	since	c-acp	since	since	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
vsed	vsed	vvn	used	use	0
truethe	truethe	n1	truth	truth	0
and	and	cc	and	and	0
sinceritye	sinceritye	n1	sincerity	sincerity	0
in	in	p-acp	in	in	0
matter	matter	n1	matter	matter	0
,	,	,	,	,	0
I	I	pns11	I	i	0
truste	truste	vvi	trust	trust	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
ac	ac	fw-la	ac	ac	0
∣	∣	sy	∣	∣	0
cept	cept	n1	cept	cept	0
my	my	po11	my	my	0
good	good	j	good	good	0
will	will	n1	will	will	0
,	,	,	,	,	0
and	and	cc	and	and	0
ap	ap	fw-mi	ap	ap	0
∣	∣	sy	∣	∣	0
prooue	prooue	vvi	prove	prove	0
my	my	po11	my	my	0
laboure	laboure	n1	labour	labour	0
.	.	.	.	.	1
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
thought	thought	vvn	thought	think	0
good	good	j	good	good	0
to	to	pc-acp	to	to	0
publishe	publishe	vvi	publish	publish	0
this	this	d	this	this	0
my	my	po11	my	my	0
trauel	trauel	n1	travel	travel	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
satisfy	satisfy	vvi	satisfy	satisfy	0
the	the	dt	the	the	0
godly	godly	j	godly	godly	0
desire	desire	n1	desire	desire	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
parentes	parentes	n2	parents	parent	0
well	well	av	well	well	0
disposed	disposed	vvn	disposed	dispose	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
copies	copies	n2	copies	copy	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
multiplyed	multiplyed	vvn	multiplied	multiply	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
benefite	benefite	n1	benefit	benefit	0
of	of	pp-f	of	of	0
