DVTY	DVTY	n1	DVTY	dvty	0
binding	binding	vvg	binding	bind	0
me	me	pno11	me	i	0
(	(	(	(	(	0
Right	Right	av-jn	Right	right	0
onoura	onoura	fw-fr	onoura	onoura	0
∣	∣	sy	∣	∣	0
ble	ble	zz	ble	ble	0
)	)	)	)	)	0
to	to	p-acp	to	to	0
shew	shew	vvi	show	show	0
some	some	d	some	some	0
testimonie	testimonie	n1	testimony	testimony	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
thankfull	thankfull	j	thankful	thankful	0
mind	mind	n1	mind	mind	0
to	to	p-acp	to	to	0
∣	∣	sy	∣	∣	0
wards	wards	av	wards	ward	0
you	you	pn22	you	you	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
presumed	presumed	vvn	presumed	presume	0
so	so	av	so	so	0
farre	farre	av-j	far	far	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
offer	offer	vvi	offer	offer	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
good	good	j	good	good	0
Lordship	Lordship	n1	Lordship	lordship	0
this	this	d	this	this	0
small	small	j	small	small	0
exercise	exercise	n1	exercise	exercise	0
of	of	pp-f	of	of	0
mine	mine	png11	mine	i	0
,	,	,	,	,	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
taught	taught	vvn	taught	teach	0
and	and	cc	and	and	0
written	written	vvn	written	write	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
ability	ability	n1	ability	ability	0
that	that	cst	that	that	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
givē	givē	vvn	given	give	0
me	me	pno11	me	i	0
,	,	,	,	,	0
&	&	cc	&	and	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
charge	charge	n1	charge	charge	0
committed	committed	vvn	committed	commit	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
required	required	vvd	required	require	0
.	.	.	.	.	1
The	The	dt	The	the	0
Apostle	Apostle	n1	Apostle	apostle	0
Paule	Paule	np1	Paule	Paul	0
instructeth	instructeth	vvz	instructeth	instruct	0
his	his	po31	his	his	0
scholer	scholer	n1	scholar	scholar	0
Timotheus	Timotheus	np1	Timotheus	Timotheus	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
him	him	pno31	him	he	0
all	all	d	all	all	0
mini	mini	fw-la	mini	mini	0
∣	∣	sy	∣	∣	0
sters	sters	n2	sters	ster	0
that	that	cst	that	that	0
haue	haue	vhb	have	have	0
the	the	dt	the	the	0
charge	charge	n1	charge	charge	0
of	of	pp-f	of	of	0
teaching	teaching	vvg	teaching	teach	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
shew	shew	vvi	show	show	0
themselues	themselues	px32	themselves	themselves	0
approved	approved	vvn	approved	approve	0
vnto	vnto	p-acp	unto	unto	0
God	God	np1	God	God	0
,	,	,	,	,	0
.	.	.	.	.	1
Tim.	Tim.	np1	Tim.	Tim.	0
.	.	.	.	.	0
as	as	c-acp	as	as	0
workemen	workemen	n2	workmen	workman	0
that	that	cst	that	that	0
neede	neede	vvb	need	need	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
asha	asha	n1	asha	asha	0
∣	∣	sy	∣	∣	0
med	med	fw-mi	med	med	0
,	,	,	,	,	0
dividing	dividing	vvg	dividing	divide	0
the	the	dt	the	the	0
word	word	n1	word	word	0
of	of	pp-f	of	of	0
truth	truth	n1	truth	truth	0
aright	aright	av	aright	aright	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
in	in	p-acp	in	in	0
so	so	av	so	so	0
dividing	dividing	vvg	dividing	divide	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
word	word	n1	word	word	0
consisteth	consisteth	vvz	consisteth	consist	0
the	the	dt	the	the	0
life	life	n1	life	life	0
&	&	cc	&	and	0
force	force	n1	force	force	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
ministery	ministery	n1	ministry	ministry	0
,	,	,	,	,	0
that	that	cst	that	that	0
all	all	d	all	all	0
mē	mē	n2	men	man	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
age	age	n1	age	age	0
or	or	cc	or	or	0
conditiō	conditiō	n1	condition	condition	0
soever	soever	av	soever	soever	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
wilbe	wilbe	vmb|vbi	will	will|be	0
fed	fed	vvn	fed	feed	0
to	to	pc-acp	to	to	0
liue	liue	vvi	live	live	0
everlastingly	everlastingly	av-j	everlastingly	everlasting	0
,	,	,	,	,	0
may	may	vmb	may	may	0
haue	haue	vhi	have	have	0
their	their	po32	their	their	0
portiō	portiō	n1	portion	portion	0
of	of	pp-f	of	of	0
meate	meate	n1	meat	meat	0
givē	givē	vvn	given	give	0
thē	thē	pno32	them	they	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
word	word	n1	word	word	0
,	,	,	,	,	0
&	&	cc	&	and	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
season	season	n1	season	season	0
,	,	,	,	,	0
or	or	cc	or	or	0
cō	cō	fw-mi	cō	cō	0
∣	∣	sy	∣	∣	0
ueniently	ueniently	av-j	ueniently	uenient	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
savoury	savoury	j	savoury	savoury	0
&	&	cc	&	and	0
plea	plea	n1	plea	plea	0
∣	∣	sy	∣	∣	0
sant	sant	zz	sant	sant	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
venifon	venifon	n1	venifon	venifon	0
of	of	pp-f	of	of	0
Iacob	Iacob	np1	Iacob	Jacob	0
was	was	vbds	was	be	0
vnto	vnto	p-acp	unto	unto	0
his	his	po31	his	his	0
father	father	n1	father	father	0
Isaac	Isaac	np1	Isaac	Isaac	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
vnsavoury	vnsavoury	j	unsavoury	unsavoury	0
