THEY	THEY	pns32	THEY	they	0
who	who	r-crq	who	who	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Study	Study	n1	Study	study	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Holy	Holy	j	Holy	holy	0
Scri	Scri	np1	Scri	Scri	0
∣	∣	sy	∣	∣	0
ptures	ptures	n2	ptures	pture	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
na	na	fw-mi	na	na	0
∣	∣	sy	∣	∣	0
ture	ture	n1	ture	ture	0
of	of	pp-f	of	of	0
worldly	worldly	j	worldly	worldly	0
things	things	n2	things	thing	0
,	,	,	,	,	0
learn	learn	vvb	learn	learn	0
and	and	cc	and	and	0
do	do	vdb	do	do	0
confess	confess	vvi	confess	confess	0
that	that	cst	that	that	0
God	God	np1	God	God	0
takes	takes	vvz	takes	take	0
care	care	n1	care	care	0
of	of	pp-f	of	of	0
sublunary	sublunary	j	sublunary	sublunary	0
affairs	affairs	n2	affairs	affair	0
;	;	;	;	;	0
do	do	vdb	do	do	0
clear	clear	vvi	clear	clear	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
perceive	perceive	vvb	perceive	perceive	0
that	that	d	that	that	0
the	the	dt	the	the	0
rough	rough	j	rough	rough	0
Tempest	Tempest	n1	Tempest	tempest	0
wherein	wherein	c-crq	wherein	wherein	0
most	most	ds	most	most	0
Christian	Christian	njp	Christian	christian	0
People	People	n1	People	people	0
are	are	vbr	are	be	0
at	at	p-acp	at	at	0
present	present	j	present	present	0
tossed	tossed	vvn	tossed	toss	0
,	,	,	,	,	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
the	the	dt	the	the	0
effect	effect	n1	effect	effect	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
uncertain	uncertain	j	uncertain	uncertain	0
influences	influences	n2	influences	influence	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Stars	Stars	n2	Stars	star	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
raised	raised	vvn	raised	raise	0
by	by	p-acp	by	by	0
hidden	hidden	j-vvn	hidden	hide	0
and	and	cc	and	and	0
obscure	obscure	j	obscure	obscure	0
causes	causes	n2	causes	cause	0
.	.	.	.	.	1
None	None	pix	None	none	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
doubt	doubt	vvi	doubt	doubt	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
the	the	dt	the	the	0
publick	publick	j	public	public	0
Calamities	Calamities	n2	Calamities	calamity	0
of	of	pp-f	of	of	0
Kingdoms	Kingdoms	n2	Kingdoms	kingdom	0
,	,	,	,	,	0
People	People	n1	People	people	0
and	and	cc	and	and	0
Cities	Cities	n2	Cities	city	0
,	,	,	,	,	0
are	are	vbr	are	be	0
sent	sent	vvn	sent	send	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Judgment	Judgment	n1	Judgement	judgement	0
and	and	cc	and	and	0
Provi	Provi	fw-la	Provi	provi	0
∣	∣	sy	∣	∣	0
dence	dence	n1	dence	dence	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
the	the	dt	the	the	0
avenger	avenger	n1	avenger	avenger	0
of	of	pp-f	of	of	0
wick	wick	n1	wick	wick	0
∣	∣	sy	∣	∣	0
edness	edness	n1	edness	edness	0
;	;	;	;	;	0
and	and	cc	and	and	0
that	that	d	that	that	0
