ALbeit	ALbeit	cs	ALbeit	albeit	0
the	the	dt	the	the	0
houses	houses	n2	houses	house	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
poore	poore	j	poor	poor	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
at	at	p-acp	at	at	0
any	any	d	any	any	0
time	time	n1	time	time	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
rich	rich	j	rich	rich	0
,	,	,	,	,	0
alike	alike	av-j	alike	alike	0
ador	ador	n1	ador	ador	0
∣	∣	sy	∣	∣	0
ned	ned	zz	ned	ned	0
with	with	p-acp	with	with	0
gorgeous	gorgeous	j	gorgeous	gorgeous	0
furni	furni	fw-la	furni	furni	0
∣	∣	sy	∣	∣	0
ture	ture	n1	ture	ture	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
the	the	dt	the	the	0
gardens	gardens	n2	gardens	garden	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
poore	poore	j	poor	poor	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
rich	rich	j	rich	rich	0
,	,	,	,	,	0
are	are	vbr	are	be	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
spring-time	spring-time	n1	springtime	spring-time	0
,	,	,	,	,	0
a-like	a-like	av-j	alike	alike	0
couered	couered	vvn	covered	cover	0
with	with	p-acp	with	with	0
flowers	flowers	n2	flowers	flower	0
furniture	furniture	n1	furniture	furniture	0
.	.	.	.	.	1
That	That	cst	That	that	0
great	great	j	great	great	0
flower	flower	n1	flower	flower	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Sunne	Sunne	n1	Sun	sun	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
indeede	indeede	av	indeed	indeed	0
found	found	vvn	found	find	0
but	but	p-acp	but	but	0
amongst	amongst	p-acp	among	among	0
the	the	dt	the	the	0
