HAuing	HAuing	vhg	Having	have	0
duly	duly	av-jn	duly	due	0
and	and	cc	and	and	0
dutifully	dutifully	av-j	dutifully	dutiful	0
considered	considered	vvd	considered	consider	0
the	the	dt	the	the	0
powerfull	powerfull	j	powerful	powerful	0
prouidence	prouidence	n1	providence	providence	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Al	Al	d	All	all	0
∣	∣	sy	∣	∣	0
mighty	mighty	j	mighty	mighty	0
,	,	,	,	,	0
I	I	pns11	I	i	0
finde	finde	vvb	find	find	0
of	of	pp-f	of	of	0
al	al	d	all	all	0
creatures	creatures	n2	creatures	creature	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
earth	earth	n1	earth	earth	0
,	,	,	,	,	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
humble	humble	j	humble	humble	0
and	and	cc	and	and	0
harmeles	harmeles	j	harmless	harmless	0
his	his	po31	his	his	0
Maiesty	Maiesty	n1	Majesty	majesty	0
hath	hath	vhz	hath	have	0
recommended	recommended	vvn	recommended	recommend	0
vnto	vnto	p-acp	unto	unto	0
vs	vs	pno12	us	we	0
the	the	dt	the	the	0
Lambe	Lambe	n1	Lamb	lamb	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
signifie	signifie	vvi	signify	signify	0
Iesus	Iesus	np1	Iesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
our	our	po12	our	our	0
Redeemer	Redeemer	n1	Redeemer	redeemer	0
:	:	:	:	:	0
Of	Of	pp-f	Of	of	0
all	all	d	all	all	0
Creatures	Creatures	n2	Creatures	creature	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Ayre	Ayre	n1	Air	air	0
,	,	,	,	,	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
mylde	mylde	j	mild	mild	0
and	and	cc	and	and	0
chast	chast	j	chaste	chaste	0
,	,	,	,	,	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
recommended	recommended	vvn	recommended	recommend	0
vnto	vnto	p-acp	unto	unto	0
vs	vs	pno12	us	we	0
the	the	av	the	then	0
the	the	dt	the	the	0
Doue	Doue	n1	Dove	dove	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
signifie	signifie	vvi	signify	signify	0
the	the	dt	the	the	0
Holy	Holy	j	Holy	holy	0
ghost	ghost	n1	ghost	ghost	0
,	,	,	,	,	0
our	our	po12	our	our	0
sanctifier	sanctifier	n1	sanctifier	sanctifier	0
.	.	.	.	.	1
Euen	Euen	np1	Euen	Even	0
so	so	av	so	so	0
(	(	(	(	(	0
right	right	j-jn	right	right	0
Ho	Ho	uh	Ho	ho	0
:	:	:	:	:	0
Lady	Lady	np1	Lady	Lady	0
)	)	)	)	)	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
bookes	bookes	n2	books	book	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
Authenti	Authenti	fw-la	Authenti	authenti	0
∣	∣	sy	∣	∣	0
call	call	n1	call	call	0
and	and	cc	and	and	0
ancient	ancient	j	ancient	ancient	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
books	books	n2	books	book	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
profitable	profitable	j	profitable	profitable	0
and	and	cc	and	and	0
true	true	j	true	true	0
,	,	,	,	,	0
this	this	d	this	this	0
maiestical	maiestical	j	majestical	majestical	0
Creator	Creator	n1	Creator	creator	0
hath	hath	vhz	hath	have	0
