WHen	WHen	c-crq	WHen	when	0
it	it	pn31	it	it	0
came	came	vvd	came	come	0
neere	neere	av-j	near	near	0
my	my	po11	my	my	0
turne	turne	n1	turn	turn	0
to	to	pc-acp	to	to	0
reade	reade	vvi	read	read	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
entred	entred	vvn	entered	enter	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
choice	choice	n1	choice	choice	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Statute	Statute	n1	Statute	statute	0
,	,	,	,	,	0
euen	euen	av	even	even	0
then	then	av	then	then	0
my	my	po11	my	my	0
body	body	n1	body	body	0
(	(	(	(	(	0
wasted	wasted	vvn	wasted	waste	0
with	with	p-acp	with	with	0
long	long	j	long	long	0
sicknes	sicknes	n1	sickness	sickness	0
and	and	cc	and	and	0
disease	disease	n1	disease	disease	0
)	)	)	)	)	0
called	called	vvd	called	call	0
vp	vp	p-acp	up	up	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
consider	consider	vvi	consider	consider	0
rather	rather	av	rather	rather	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
death	death	n1	death	death	0
;	;	;	;	;	0
and	and	cc	and	and	0
that	that	cst	that	that	0
so	so	av	so	so	0
withdrew	withdrew	vvd	withdrew	withdraw	0
my	my	po11	my	my	0
minde	minde	n1	mind	mind	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
positiue	positiue	j	positive	positive	0
Lawe	Lawe	n1	Law	law	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
in	in	p-acp	in	in	0
hand	hand	n1	hand	hand	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
setled	setled	vvd	settled	settle	0
my	my	po11	my	my	0
thoughts	thoughts	n2	thoughts	thought	0
vpon	vpon	p-acp	upon	upon	0
that	that	d	that	that	0
eternall	eternall	j	eternal	eternal	0
law	law	n1	law	law	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
wherby	wherby	c-crq	whereby	whereby	0
Statutum	Statutum	np1	Statutum	Statutum	0
est	est	fw-la	est	est	0
hminibus	hminibus	fw-la	hminibus	hminibus	0
&c.	&c.	av	etc.	etc	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
appoynted	appoynted	vvn	appointed	appoint	0
vnto	vnto	p-acp	unto	unto	0
men	men	n2	men	man	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
shall	shall	vmb	shall	shall	0
once	once	a-acp	once	once	0
dye	dye	vvi	die	dye	0
,	,	,	,	,	0
and	and	cc	and	and	0
afterward	afterward	av	afterwards	afterward	0
come	come	vvb	come	come	0
to	to	pc-acp	to	to	0
iudge	iudge	vvi	judge	judge	0
∣	∣	sy	∣	∣	0
ment	ment	vvd	meant	mean	0
;	;	;	;	;	0
and	and	cc	and	and	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
spent	spent	vvn	spent	spend	0
some	some	d	some	some	0
time	time	n1	time	time	0
thereon	thereon	av	thereon	thereon	0
,	,	,	,	,	0
it	it	pn31	it	it	0
did	did	vdd	did	do	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
disswade	disswade	vvi	dissuade	dissuade	0
me	me	pno11	me	i	0
from	from	p-acp	from	from	0
mine	mine	po11	mine	my	0
intended	intended	j-vvn	intended	intend	0
enterprise	enterprise	n1	enterprise	enterprise	0
to	to	pc-acp	to	to	0
