DEarely	DEarely	av-jn	Dearly	dear	0
beloved	beloved	vvn	beloved	belove	0
and	and	cc	and	and	0
longed	longed	vvn	longed	long	0
for	for	p-acp	for	for	0
,	,	,	,	,	0
Phil.	Phil.	np1	Phil.	Phil.	1
4.	4.	crd	4.	4.	0
1.	1.	crd	1.	1.	1
Rom.	Rom.	np1	Rom.	Rom.	0
9.1	9.1	crd	9.1	9.1	0
.	.	.	.	.	0
my	my	po11	my	my	0
joy	joy	n1	joy	joy	0
and	and	cc	and	and	0
crown	crown	n1	crown	crown	0
of	of	pp-f	of	of	0
rejoycing	rejoycing	vvg	rejoicing	rejoice	0
,	,	,	,	,	0
I	I	pns11	I	i	0
speake	speake	vvb	speak	speak	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
Christ	Christ	np1	Christ	Christ	0
and	and	cc	and	and	0
lye	lye	vvb	lie	lie	0
not	not	xx	not	not	0
,	,	,	,	,	0
,	,	,	,	,	0
my	my	po11	my	my	0
conscience	conscience	n1	conscience	conscience	0
also	also	av	also	also	0
bearing	bearing	vvg	bearing	bear	0
me	me	pno11	me	i	0
witnesse	witnesse	n1	witness	witness	0
,	,	,	,	,	0
that	that	cst	that	that	0
my	my	po11	my	my	0
hearty	hearty	j	hearty	hearty	0
desire	desire	n1	desire	desire	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
all	all	d	all	all	0
is	is	vbz	is	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
saved	saved	vvn	saved	save	0
,	,	,	,	,	0
Ch.	Ch.	np1	Ch.	Ch.	1
10.	10.	crd	10.	10.	0
1.	1.	crd	1.	1.	1
Acts	Acts	np1	Acts	Acts	0
20.20	20.20	crd	20.20	20.20	0
.	.	.	.	.	0
and	and	cc	and	and	0
that	that	cst	that	that	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
end	end	n1	end	end	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
both	both	d	both	both	0
publikely	publikely	av-j	publicly	public	0
,	,	,	,	,	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
house	house	n1	house	house	0
to	to	p-acp	to	to	0
house	house	n1	house	house	0
testified	testified	vvd	testified	testify	0
both	both	d	both	both	0
to	to	p-acp	to	to	0
small	small	j	small	small	0
and	and	cc	and	and	0
great	great	j	great	great	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
sorts	sorts	n2	sorts	sort	0
of	of	pp-f	of	of	0
people	people	n1	people	people	0
repentance	repentance	n1	repentance	repentance	0
towards	towards	p-acp	towards	towards	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
faith	faith	n1	faith	faith	0
towards	towards	p-acp	towards	towards	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
Iesus	Iesus	np1	Iesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
.	.	.	.	.	1
How	How	q-crq	How	how	0
weighty	weighty	j	weighty	weighty	0
a	a	dt	a	a	0
burden	burden	n1	burden	burden	0
hath	hath	vhz	hath	have	0
layen	layen	vvn	lain	lie	0
upon	upon	p-acp	upon	upon	0
my	my	po11	my	my	0
Shoulders	Shoulders	n2	Shoulders	shoulder	0
,	,	,	,	,	0
and	and	cc	and	and	0
how	how	c-crq	how	how	0
long	long	av-j	long	long	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
what	what	r-crq	what	what	0
cheerefulnesse	cheerefulnesse	n1	cheerfulness	cheerfulness	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
borne	borne	vvn	born	bear	0
it	it	pn31	it	it	0
,	,	,	,	,	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
unknown	unknown	j	unknown	unknown	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
neither	neither	av-dx	neither	neither	0
doe	doe	vdb	do	do	0
I	I	pns11	I	i	0
yet	yet	av	yet	yet	0
shrinke	shrinke	vvi	shrink	shrink	0
from	from	p-acp	from	from	0
it	it	pn31	it	it	0
,	,	,	,	,	0
or	or	cc	or	or	0
sinke	sinke	vvi	sink	sink	0
under	under	p-acp	under	under	0
it	it	pn31	it	it	0
.	.	.	.	.	1
I	I	pns11	I	i	0
have	have	vhb	have	have	0
often	often	av	often	often	0
said	said	vvn	said	say	0
with	with	p-acp	with	with	0
S.	S.	n1	S.	saint	0
Paul	Paul	np1	Paul	Paul	0
,	,	,	,	,	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
heart	heart	n1	heart	heart	0
to	to	pc-acp	to	to	0
live	live	vvi	live	live	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
dye	dye	vvi	die	dye	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
2	2	crd	2	2	0
Cor.	Cor.	np1	Cor.	Cor.	1
7.3	7.3	crd	7.3	7.3	0
.	.	.	.	.	1
Though	Though	cs	Though	though	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
same	same	d	same	same	0
Apostle	Apostle	n1	Apostle	apostle	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
Epistle	Epistle	n1	Epistle	epistle	0
complaineth	complaineth	vvz	complaineth	complain	0
,	,	,	,	,	0
2	2	crd	2	2	0
Cor.	Cor.	np1	Cor.	Cor.	1
12.15	12.15	crd	12.15	12.15	0
.	.	.	.	.	0
)	)	)	)	)	1
The	The	dt	The	the	0
more	more	av-dc	more	more	0
aboundantly	aboundantly	av-j	abundantly	abundant	0
I	I	pns11	I	i	0
love	love	vvb	love	love	0
you	you	pn22	you	you	0
,	,	,	,	,	0
the	the	dt	the	the	0
lesse	lesse	av-dc	less	less	0
I	I	pns11	I	i	0
be	be	vbi	be	be	0
loved	loved	vvn	loved	love	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
among	among	p-acp	among	among	0
you	you	pn22	you	you	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
I	I	pns11	I	i	0
intend	intend	vvb	intend	intend	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
accuse	accuse	vvi	accuse	accuse	0
my	my	po11	my	my	0
owne	owne	d	own	own	0
Nation	Nation	n1	Nation	nation	0
,	,	,	,	,	0
neither	neither	av-dx	neither	neither	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
equall	equall	j-jn	equal	equal	0
that	that	cst	that	that	0
J	J	pns11	J	i	0
should	should	vmd	should	shall	0
charge	charge	vvi	charge	charge	0
the	the	dt	the	the	0
petulant	petulant	j	petulant	petulant	0
miscarriages	miscarriages	n2	miscarriages	miscarriage	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
few	few	d	few	few	0
prejudicate	prejudicate	vvb	prejudicate	prejudicate	0
Spirits	Spirits	n2	Spirits	spirit	0
upon	upon	p-acp	upon	upon	0
a	a	dt	a	a	0
whole	whole	j-jn	whole	whole	0
parish	parish	n1	parish	parish	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
found	found	vvn	found	find	0
so	so	av	so	so	0
much	much	d	much	much	0
true	true	j	true	true	0
hearted	hearted	j-vvn	hearted	heart	0
affection	affection	n1	affection	affection	0
,	,	,	,	,	0
so	so	av	so	so	0
many	many	d	many	many	0
reall	reall	j	real	real	0
and	and	cc	and	and	0
royall	royall	j	royal	royal	0
expressions	expressions	n2	expressions	expression	0
of	of	pp-f	of	of	0
love	love	n1	love	love	0
,	,	,	,	,	0
and	and	cc	and	and	0
wherein	wherein	c-crq	wherein	wherein	0
there	there	pc-acp	there	there	0
are	are	vbr	are	be	0
many	many	d	many	many	0
