SIR	SIR	n1	SIR	sir	0
,	,	,	,	,	0
The	The	dt	The	the	0
Apostle	Apostle	n1	Apostle	apostle	0
S.	S.	np1	S.	S.	0
Paule	Paule	np1	Paule	Paul	0
,	,	,	,	,	0
that	that	cst	that	that	0
chosen	chosen	j-vvn	chosen	choose	0
vessell	vessell	n1	vessel	vessel	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
Act.	Act.	n1	Act.	act	0
9.	9.	crd	9.	9	0
15.	15.	crd	15.	15.	0
and	and	cc	and	and	0
his	his	png31	his	he	0
ambassadour	ambassadour	n1	ambassador	ambassador	0
sent	sent	vvd	sent	send	0
forth	forth	av	forth	forth	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
world	world	n1	world	world	0
to	to	pc-acp	to	to	0
bring	bring	vvi	bring	bring	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
house	house	n1	house	house	0
of	of	pp-f	of	of	0
Iapheth	Iapheth	vvz	Japheth	japh	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
tents	tents	n2	tents	tent	0
of	of	pp-f	of	of	0
Sem	Sem	np1	Sem	Sem	0
,	,	,	,	,	0
Gen.	Gen.	np1	Gen.	Gen.	1
9.	9.	crd	9.	9	0
27.	27.	crd	27.	27.	0
hauing	hauing	j-vvg	having	have	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
peregrination	peregrination	n1	peregrination	peregrination	0
(	(	(	(	(	0
vn	vn	fw-it	vn	un	0
∣	∣	sy	∣	∣	0
dertaken	dertaken	vvn	dertaken	dertaken	0
for	for	p-acp	for	for	0
preaching	preaching	vvg	preaching	preach	0
)	)	)	)	)	0
from	from	p-acp	from	from	0
Ie	Ie	fw-fr	Ie	je	0
∣	∣	sy	∣	∣	0
rusalem	rusalem	fw-la	rusalem	rusalem	0
vnto	vnto	p-acp	unto	unto	0
Illyricum	Illyricum	np1	Illyricum	Illyricum	0
,	,	,	,	,	0
Rom.	Rom.	np1	Rom.	Rom.	1
15.	15.	crd	15.	15.	0
19	19	crd	19	19	0
seene	seene	vvn	seen	see	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
pleasant	pleasant	j	pleasant	pleasant	0
parts	parts	n2	parts	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
an	an	dt	and	a	0
extasie	extasie	n1	ecstasy	ecstasy	0
transported	transported	vvn	transported	transport	0
from	from	p-acp	from	from	0
earth	earth	n1	earth	earth	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
third	third	ord	third	three	0
heauen	heauen	n1	heaven	heaven	0
,	,	,	,	,	0
seene	seene	vvn	seen	see	0
also	also	av	also	also	0
the	the	dt	the	the	0
pleasures	pleasures	n2	pleasures	pleasure	0
of	of	pp-f	of	of	0
Paradise,2	Paradise,2	np1	Paradise,2	Paradise,2	0
.	.	.	.	.	1
Cor.	Cor.	np1	Cor.	Cor.	0
12.	12.	crd	12.	12.	0
as	as	p-acp	as	as	0
one	one	crd	one	one	0
who	who	r-crq	who	who	0
knew	knew	vvd	knew	know	0
both	both	d	both	both	0
,	,	,	,	,	0
not	not	xx	not	not	0
by	by	p-acp	by	by	0
naked	naked	j	naked	naked	0
speculation	speculation	n1	speculation	speculation	0
but	but	p-acp	but	but	0
experience	experience	n1	experience	experience	0
,	,	,	,	,	0
giues	giues	vvz	gives	give	0
out	out	av	out	out	0
his	his	po31	his	his	0
iudge	iudge	n1	judge	judge	0
∣	∣	sy	∣	∣	0
ment	ment	vvd	meant	mean	0
of	of	pp-f	of	of	0
both	both	d	both	both	0
,	,	,	,	,	0
Philip	Philip	np1	Philip	Philip	0
.	.	.	.	.	1
3.	3.	crd	3.	3.	0
8.	8.	crd	8.	8.	0
that	that	d	that	that	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
excellent	excellent	j	excellent	excellent	0
things	things	n2	things	thing	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
world	world	n1	world	world	0
were	were	vbdr	were	be	0
but	but	p-acp	but	but	0
dung	dung	n1	dung	dung	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Iesus	Iesus	np1	Iesus	Jesus	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
whatsoeuer	whatsoeuer	r-crq	whatsoever	whatsoever	0
pleasure	pleasure	n1	pleasure	pleasure	0
on	on	p-acp	on	on	0
earth,1	earth,1	n1	earth,1	earth,1	0
.	.	.	.	.	1
Cor.	Cor.	np1	Cor.	Cor.	0
2.	2.	crd	2.	2.	0
9.	9.	crd	9.	9	0
may	may	vmb	may	may	0
delight	delight	vvi	delight	delight	0
the	the	dt	the	the	0
eye	eye	n1	eye	eye	0
,	,	,	,	,	0
or	or	cc	or	or	0
eare	eare	n1	ear	ear	0
they	they	pns32	they	they	0
haue	haue	vhb	have	have	0
vnto	vnto	p-acp	unto	unto	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
it	it	pn31	it	it	0
shalbe	shalbe	vmb|vbi	shall	shall|be	0
no	no	xx	not	not	0
small	small	j	small	small	0
comfort	comfort	n1	comfort	comfort	0
vnto	vnto	p-acp	unto	unto	0
me	me	pno11	me	i	0
,	,	,	,	,	0
and	and	cc	and	and	0
my	my	po11	my	my	0
greatest	greatest	js	greatest	great	0
thankefulnesse	thankefulnesse	n1	thankfulness	thankfulness	0
shalbe	shalbe	vmb|vbi	shall	shall|be	0
declared	declared	vvn	declared	declare	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
dayly	dayly	j	daily	daily	0
prayers	prayers	n2	prayers	prayer	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
God	God	np1	God	God	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
Maiestie	Maiestie	n1	Majesty	majesty	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
Iacobs	Iacobs	npg1	Iacobs	Jacob	0
God	God	n1	God	god	0
may	may	vmb	may	may	0
defend	defend	vvi	defend	defend	0
you	you	pn22	you	you	0
from	from	p-acp	from	from	0
all	all	d	all	all	0
euill	euill	n-jn	evil	evil	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
may	may	vmb	may	may	0
send	send	vvi	send	send	0
you	you	pn22	you	you	0
helpe	helpe	vvb	help	help	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Sanctuarie	Sanctuarie	n1	Sanctuary	sanctuary	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
your	your	po22	your	your	0
need	need	n1	need	need	0
,	,	,	,	,	0
Psal.	Psal.	np1	Psal.	Psal.	1
20.	20.	crd	20.	20.	0
1.	1.	crd	1.	1.	0
according	according	p-acp	according	according	0
as	as	c-acp	as	as	0
hee	hee	pns31	he	he	0
hath	hath	vhz	hath	have	0
done	done	vdn	done	do	0
.	.	.	.	.	1
O	O	sy	O	o	0
King	King	n1	King	king	0
beloued	beloued	j-vvn	beloved	belove	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
Psal.	Psal.	np1	Psal.	Psal.	1
21.	21.	crd	21.	21.	0
1.	1.	crd	1.	1.	0
hated	hated	vvn	hated	hate	0
of	of	pp-f	of	of	0
none	none	pix	none	none	0
but	but	cc-acp	but	but	0
for	for	p-acp	for	for	0
Gods	Gods	ng1	Gods	god	0
sake	sake	n1	sake	sake	0
,	,	,	,	,	0
keepe	keepe	vvb	keep	keep	0
still	still	av	still	still	0
your	your	po22	your	your	0
heart	heart	n1	heart	heart	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
loue	loue	n1	love	love	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
Reioyce	Reioyce	vvb	Rejoice	rejoice	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
strength	strength	n1	strength	strength	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
God	God	n1	God	god	0
,	,	,	,	,	0
Psal.	Psal.	np1	Psal.	Psal.	1
56	56	crd	56	56	0
4.	4.	crd	4.	4.	0
and	and	cc	and	and	0
feare	feare	vvb	fear	fear	0
not	not	xx	not	not	0
what	what	r-crq	what	what	0
flesh	flesh	n1	flesh	flesh	0
can	can	vmb	can	can	0
doe	doe	vdi	do	do	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
.	.	.	.	.	1
Is	Is	vbz	Is	be	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
set	set	vvd	set	set	0
your	your	po22	your	your	0
Highnesse	Highnesse	n1	Highness	highness	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
throne	throne	n1	throne	throne	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
a	a	dt	a	a	0
feeder	feeder	n1	feeder	feeder	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
people	people	n1	people	people	0
Israel	Israel	np1	Israel	Israel	0
?	?	?	?	?	1
Psal.	Psal.	np1	Psal.	Psal.	0
18.	18.	crd	18.	18.	0
43	43	crd	43	43	1
Is	Is	vbz	Is	be	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
who	who	r-crq	who	who	0
hath	hath	vhz	hath	have	0
deliuered	deliuered	vvn	delivered	deliver	0
your	your	po22	your	your	0
Maiestie	Maiestie	n1	Majesty	majesty	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
contentions	contentions	n2	contentions	contention	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
people	people	n1	people	people	0
,	,	,	,	,	0
and	and	cc	and	and	0
se	se	zz	se	se	0
∣	∣	sy	∣	∣	0
cret	cret	zf	cret	great	0
snares	snares	n2	snares	snare	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
cursed	cursed	j-vvn	cursed	curse	0
enimies	enimies	n2	enemies	enemy	0
?	?	?	?	?	1
Gen.	Gen.	np1	Gen.	Gen.	0
49.	49.	crd	49.	49.	0
23.	23.	crd	23.	23.	0
though	though	c-acp	though	though	0
the	the	dt	the	the	0
Archers	Archers	n2	Archers	archer	0
grieued	grieued	vvd	grieved	grieve	0
you	you	pn22	you	you	0
,	,	,	,	,	0
hated	hated	vvd	hated	hate	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
shot	shot	vvn	shot	shoot	0
at	at	p-acp	at	at	0
you	you	pn22	you	you	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
not	not	xx	not	not	0
the	the	dt	the	the	0
hands	hands	n2	hands	hand	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
armes	armes	n2	arms	arm	0
strengthened	strengthened	vvn	strengthened	strengthen	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
hands	hands	n2	hands	hand	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
mightie	mightie	j	mighty	mighty	0
God	God	n1	God	god	0
of	of	pp-f	of	of	0
Iacob	Iacob	np1	Iacob	Jacob	0
?	?	?	?	?	1
Gen.	Gen.	np1	Gen.	Gen.	0
49.	49.	crd	49.	49.	0
25.	25.	crd	25.	25.	1
Is	Is	vbz	Is	be	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
the	the	dt	the	the	0
almightie	almightie	j-jn	almighty	almighty	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
hath	hath	vhz	hath	have	0
blessed	blessed	vvn	blessed	bless	0
your	your	po22	your	your	0
Maiesty	Maiesty	n1	Majesty	majesty	0
with	with	p-acp	with	with	0
heauenly	heauenly	j	heavenly	heavenly	0
blessings	blessings	n2	blessings	blessing	0
from	from	p-acp	from	from	0
aboue	aboue	a-acp	above	above	0
,	,	,	,	,	0
Psal.	Psal.	np1	Psal.	Psal.	1
21.	21.	crd	21.	21.	0
3.	3.	crd	3.	3.	0
with	with	p-acp	with	with	0
blessings	blessings	n2	blessings	blessing	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
depth	depth	n1	depth	depth	0
that	that	cst	that	that	0
lyes	lyes	vvz	lies	lie	0
beneath	beneath	a-acp	beneath	beneath	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
bles	bles	n2	bles	ble	0
∣	∣	sy	∣	∣	0
sings	sings	vvz	sings	sing	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
breast	breast	n1	breast	breast	0
and	and	cc	and	and	0
wombe	wombe	n1	womb	womb	0
?	?	?	?	?	1
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
let	let	vvb	let	let	0
his	his	po31	his	his	0
liberall	liberall	j	liberal	liberal	0
blessings	blessings	n2	blessings	blessing	0
wherewith	wherewith	c-crq	wherewith	wherewith	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
your	your	po22	your	your	0
God	God	n1	God	god	0
hath	hath	vhz	hath	have	0
preuented	preuented	vvn	prevented	prevent	0
you	you	pn22	you	you	0
,	,	,	,	,	0
Psal.	Psal.	np1	Psal.	Psal.	1
