YOVR	YOVR	po22	YOUR	your	0
MAIESTIE	MAIESTIE	n1	MAIESTIE	majesty	0
,	,	,	,	,	0
MAY	MAY	vmb	MAY	may	0
please	please	vvi	please	please	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
informed	informed	vvn	informed	inform	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
dedi	dedi	fw-la	dedi	dedi	0
∣	∣	sy	∣	∣	0
cation	cation	n1	cation	cation	0
deliuered	deliuered	vvd	delivered	deliver	0
you	you	pn22	you	you	0
that	that	d	that	that	0
right	right	n-jn	right	right	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
durst	durst	vvd	durst	dare	0
not	not	xx	not	not	0
with-hold	with-hold	vvi	withhold	withhold	0
from	from	p-acp	from	from	0
you	you	pn22	you	you	0
:	:	:	:	:	0
your	your	po22	your	your	0
challenge	challenge	n1	challenge	challenge	0
hath	hath	vhz	hath	have	0
so	so	av	so	so	0
manie	manie	d	many	many	0
iust	iust	j	just	just	0
titles	titles	n2	titles	title	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
had	had	vhd	had	have	0
I	I	pns11	I	i	0
giuen	giuen	vvn	given	give	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
anie	anie	d	any	any	0
others	others	ng1-jn	others	other	0
protection	protection	n1	protection	protection	0
,	,	,	,	,	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
done	done	vdn	done	do	0
your	your	po22	your	your	0
Maiestie	Maiestie	n1	Majesty	majesty	0
a	a	dt	a	a	0
palpable	palpable	j	palpable	palpable	0
iniu	iniu	fw-la	iniu	iniu	0
∣	∣	sy	∣	∣	0
tie	tie	n1	tie	tie	0
.	.	.	.	.	1
You	You	pn22	You	you	0
are	are	vbr	are	be	0
a	a	dt	a	a	0
daughter	daughter	n1	daughter	daughter	0
of	of	pp-f	of	of	0
France	France	np1	France	France	0
,	,	,	,	,	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
fittest	fittest	js	fittest	fit	0
to	to	p-acp	to	to	0
owne	owne	d	own	own	0
his	his	po31	his	his	0
worke	worke	n1	work	work	0
who	who	r-crq	who	who	0
was	was	vbds	was	be	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
time	time	n1	time	time	0
,	,	,	,	,	0
an	an	dt	and	a	0
Ornament	Ornament	n1	Ornament	ornament	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
countrie	countrie	n1	country	country	0
.	.	.	.	.	1
You	You	pn22	You	you	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
Queene	Queene	n1	Queen	queen	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
fittest	fittest	js	fittest	fit	0
to	to	p-acp	to	to	0
patronize	patronize	vvi	patronise	patronize	0
the	the	dt	the	the	0
making	making	vvg	making	make	0
him	him	pno31	him	he	0
an	an	dt	and	a	0
English	English	jp	English	english	0
man	man	n1	man	man	0
,	,	,	,	,	0
that	that	cst	that	that	0
,	,	,	,	,	0
was	was	vbds	was	be	0
before	before	a-acp	before	before	0
so	so	av	so	so	0
famous	famous	j	famous	famous	0
a	a	dt	a	a	0
French	French	jp	French	french	0
∣	∣	sy	∣	∣	0
man	man	n1	man	man	0
.	.	.	.	.	1
You	You	pn22	You	you	0
are	are	vbr	are	be	0
Kinge	Kinge	n1	King	king	0
Iames	Iames	np1	Iames	Iames	0
his	his	po31	his	his	0
Sonns	Sonns	n2	Sons	son	0
wife	wife	n1	wife	wife	0
,	,	,	,	,	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
,	,	,	,	,	0
since	since	c-acp	since	since	0
the	the	dt	the	the	0
misfortune	misfortune	n1	misfortune	misfortune	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
times	times	n2	times	time	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
made	made	vvn	made	make	0
it	it	pn31	it	it	0
a	a	dt	a	a	0
presumption	presumption	n1	presumption	presumption	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
giue	giue	vvi	give	give	0
the	the	dt	the	the	0
Inheritance	Inheritance	n1	Inheritance	inheritance	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
worke	worke	n1	work	work	0
(	(	(	(	(	0
that	that	cst	that	that	0
was	was	vbds	was	be	0
sent	sent	vvn	sent	send	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Father	Father	n1	Father	father	0
in	in	p-acp	in	in	0
Frēch	Frēch	jp	French	french	0
)	)	)	)	)	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Sonne	Sonne	n1	Son	son	0
in	in	p-acp	in	in	0
English	English	np1	English	English	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
proper	proper	j	proper	proper	0
right	right	n-jn	right	right	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
,	,	,	,	,	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
fittest	fittest	js	fittest	fit	0
to	to	pc-acp	to	to	0
receiue	receiue	vvi	receive	receive	0
it	it	pn31	it	it	0
for	for	p-acp	for	for	0
him	him	pno31	him	he	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
are	are	vbr	are	be	0
