I	I	pns11	I	i	0
Vndertake	Vndertake	vvb	Undertake	undertake	0
(	(	(	(	(	0
Right	Right	j-jn	Right	right	0
Worshipfull	Worshipfull	j	Worshipful	worshipful	0
)	)	)	)	)	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Work	Work	n1	Work	work	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
expound	expound	vvi	expound	expound	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Bookes	Bookes	n2	Books	book	0
of	of	pp-f	of	of	0
Moses	Moses	np1	Moses	Moses	0
,	,	,	,	,	0
a	a	dt	a	a	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Churches	Churches	ng1	Churches	church	0
Treasury	Treasury	n1	Treasury	treasury	0
,	,	,	,	,	0
committed	committed	vvn	committed	commit	0
to	to	p-acp	to	to	0
writing	writing	vvg	writing	write	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
hand	hand	n1	hand	hand	0
of	of	pp-f	of	of	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
best	best	js	best	best	0
Worke-men	Worke-men	n2	Workmen	workman	0
,	,	,	,	,	0
and	and	cc	and	and	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
greatest	greatest	js	greatest	great	0
Pro	Pro	fw-la	Pro	pro	0
∣	∣	sy	∣	∣	0
phets	phets	ng1	phets	phets	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
.	.	.	.	.	1
And	And	cc	And	and	0
howsoeuer	howsoeuer	c-acp	howsoever	howsoever	0
sundry	sundry	j	sundry	sundry	0
parcels	parcels	n2	parcels	parcel	0
thereof	thereof	av	thereof	thereof	0
may	may	vmb	may	may	0
seeme	seeme	vvi	seem	seem	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
first	first	ord	first	first	0
view	view	n1	view	view	0
to	to	pc-acp	to	to	0
offer	offer	vvi	offer	offer	0
vnto	vnto	p-acp	unto	unto	0
vs	vs	pno12	us	we	0
little	little	j	little	little	0
profit	profit	n1	profit	profit	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
containing	containing	vvg	containing	contain	0
onely	onely	av-j	only	only	0
sundry	sundry	j	sundry	sundry	0
names	names	n2	names	name	0
of	of	pp-f	of	of	0
persons	persons	n2	persons	person	0
and	and	cc	and	and	0
places	places	n2	places	place	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
thought	thought	vvn	thought	think	0
little	little	av-j	little	little	0
to	to	pc-acp	to	to	0
concerne	concerne	vvi	concern	concern	0
vs	vs	pno12	us	we	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Scripture	Scripture	n1	Scripture	scripture	0
giuen	giuen	vvn	given	give	0
by	by	p-acp	by	by	0
inspiration	inspiration	n1	inspiration	inspiration	0
,	,	,	,	,	0
is	is	vbz	is	be	0
profitable	profitable	j	profitable	profitable	0
for	for	p-acp	for	for	0
Doctrine	Doctrine	n1	Doctrine	doctrine	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
reproofe	reproofe	n1	reproof	reproof	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
correction	correction	n1	correction	correction	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
instruction	instruction	n1	instruction	instruction	0
righteousnesse	righteousnesse	n1	righteousness	righteousness	0
,	,	,	,	,	0
that	that	cst	that	that	0
wee	wee	pns12	we	we	0
thorough	thorough	p-acp	through	through	0
patience	patience	n1	patience	patience	0
and	and	cc	and	and	0
comfort	comfort	n1	comfort	comfort	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Scriptures	Scriptures	n2	Scriptures	scripture	0
might	might	vmd	might	may	0
haue	haue	vhi	have	have	0
hope,2	hope,2	n1	hope,2	hope,2	0
Tim.	Tim.	np1	Tim.	Tim.	1
3	3	crd	3	3	0
,	,	,	,	,	0
16	16	crd	16	16	0
Rom.	Rom.	np1	Rom.	Rom.	0
1	1	vvn	1	encage	0
,	,	,	,	,	0
4	4	crd	4	4	0
:	:	:	:	:	0
so	so	av	so	so	0
if	if	cs	if	if	0
we	we	pns12	we	we	0
looke	looke	vvb	look	look	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
present	present	j	present	present	0
parcell	parcell	n1	parcel	parcel	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
single	single	j	single	single	0
eye	eye	n1	eye	eye	0
and	and	cc	and	and	0
a	a	dt	a	a	0
pure	pure	j	pure	pure	0
heart	heart	n1	heart	heart	0
voide	voide	j	void	void	0
of	of	pp-f	of	of	0
partiality	partiality	n1	partiality	partiality	0
and	and	cc	and	and	0
a	a	dt	a	a	0
preiudicate	preiudicate	j-vvn	prejudicate	prejudicate	0
