RIGHT	RIGHT	np1	RIGHT	Right	0
WORSIPFVL	WORSIPFVL	np1	WORSIPFVL	WORSIPFVL	0
,	,	,	,	,	0
THat	THat	cst	THat	that	0
which	which	r-crq	which	which	0
the	the	av	the	then	0
Apo	Apo	p-acp	Upon	upon	0
∣	∣	sy	∣	∣	0
stle	stle	n1	stle	stle	0
Paul	Paul	np1	Paul	Paul	0
speakes	speakes	vvz	speaks	speak	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
mans	mans	ng1	men	man	0
desire	desire	n1	desire	desire	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
office	office	n1	office	office	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Bishop	Bishop	n1	Bishop	bishop	0
,	,	,	,	,	0
may	may	vmb	may	may	0
bee	bee	vbi	be	be	0
truely	truely	av-j	truly	true	0
spo	spo	zz	spo	spo	0
∣	∣	sy	∣	∣	0
ken	ken	n1	ken	ken	0
of	of	pp-f	of	of	0
euery	euery	d	every	every	0
one	one	crd	one	one	0
who	who	r-crq	who	who	0
desires	desires	vvz	desires	desire	0
to	to	pc-acp	to	to	0
gaine	gaine	vvi	gain	gain	0
men	men	n2	men	man	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
loue	loue	n1	love	love	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
good	good	j	good	good	0
Cōscience	Cōscience	n1	Conscience	conscience	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
desires	desires	vvz	desires	desire	0
a	a	dt	a	a	0
worthy	worthy	j	worthy	worthy	0
work	work	n1	work	work	0
.	.	.	.	.	1
Yea	Yea	uh	Yea	yea	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
work	work	n1	work	work	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
,	,	,	,	,	0
&	&	cc	&	and	0
ought	ought	pi	ought	aught	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
made	made	vvn	made	make	0
the	the	dt	the	the	0
scope	scope	n1	scope	scope	0
&	&	cc	&	and	0
drift	drift	n1	drift	drift	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
worthy	worthy	j	worthy	worthy	0
worke	worke	n1	work	work	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Ministry	Ministry	n1	Ministry	ministry	0
.	.	.	.	.	1
And	And	cc	And	and	0
therefore	therefore	av	therefore	therefore	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
,	,	,	,	,	0
that	that	cst	that	that	0
desires	desires	vvz	desires	desire	0
the	the	dt	the	the	0
calling	calling	n-vvg	calling	call	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Ministry	Ministry	n1	Ministry	ministry	0
,	,	,	,	,	0
desires	desires	vvz	desires	desire	0
a	a	dt	a	a	0
worthy	worthy	j	worthy	worthy	0
work	work	n1	work	work	0
because	because	c-acp	because	because	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
worthy	worthy	j	worthy	worthy	0
worke	worke	n1	work	work	0
of	of	pp-f	of	of	0
bringing	bringing	vvg	bringing	bring	0
men	men	n2	men	man	0
to	to	p-acp	to	to	0
good	good	j	good	good	0
Con	Con	vvb	Con	con	0
∣	∣	sy	∣	∣	0
science	science	n1	science	science	0
.	.	.	.	.	1
A	A	dt	A	a	0
worke	worke	n1	work	work	0
at	at	p-acp	at	at	0
which	which	r-crq	which	which	0
all	all	d	all	all	0
worke	worke	n1	work	work	0
and	and	cc	and	and	0
bookes	bookes	n2	books	book	0
,	,	,	,	,	0
should	should	vmd	should	shall	0
spe	spe	fw-la	spe	spe	0
∣	∣	sy	∣	∣	0
cially	cially	av-j	cially	cial	0
ayme	ayme	n1	aim	aim	0
:	:	:	:	:	0
Conscience	Conscience	n1	Conscience	conscience	0
is	is	vbz	is	be	0
aVnicuique	aVnicuique	fw-la	aVnicuique	avnicuique	0
liber	liber	fw-la	liber	libre	0
est	est	fw-la	est	est	0
pro	pro	fw-la	pro	pro	0
pria	pria	fw-la	pria	pria	0
consci	consci	fw-la	consci	consci	0
∣	∣	sy	∣	∣	0
entia	entia	fw-la	entia	entia	0
,	,	,	,	,	0
et	et	fw-la	et	et	0
ad	ad	fw-la	ad	ad	0
hunc	hunc	fw-la	hunc	hunc	0
librū	librū	fw-la	librū	librū	0
discutiendū	discutiendū	n1	discutiendun	discutiendun	0
et	et	fw-la	et	et	0
emendā	emendā	n1	emendan	emendan	0
∣	∣	sy	∣	∣	0
dum	dum	fw-la	dum	dum	0
omnes	omnes	fw-la	omnes	omnes	0
alii	alii	fw-la	alii	alii	0
inventi	inventi	fw-la	inventi	inventi	0
sunt	sunt	fw-la	sunt	sunt	0
Bern.	Bern.	np1	Bern.	Bern.	0
de	de	fw-fr	de	de	0
Cons.	Cons.	np1	Cons.	Cons.	0
booke	booke	n1	book	book	0
,	,	,	,	,	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
bookes	bookes	n2	books	book	0
that	that	cst	that	that	0
shall	shall	vmb	shall	shall	0
bee	bee	vbi	be	be	0
opened	opened	vvn	opened	open	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
last	last	ord	last	last	0
day	day	n1	day	day	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
which	which	r-crq	which	which	0
men	men	n2	men	man	0
