LOVING	LOVING	vvg	LOVING	love	0
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
yf	yf	cs	if	if	0
my	my	po11	my	my	0
former	former	j	former	former	0
letters	letters	n2	letters	letter	0
written	written	vvn	written	write	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
from	from	p-acp	from	from	0
Midleburg	Midleburg	np1	Midleburg	Midleburg	0
,	,	,	,	,	0
Co	Co	zz	Co	co	0
∣	∣	sy	∣	∣	0
len	len	fw-mi	len	len	0
,	,	,	,	,	0
Heid	Heid	np1	Heid	Heid	0
leberg	leberg	n1	leberg	leberg	0
,	,	,	,	,	0
&	&	cc	&	and	0
Franckford	Franckford	np1	Franckford	Franckford	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
passed	passed	vvd	passed	pass	0
by	by	p-acp	by	by	0
those	those	d	those	those	0
places	places	n2	places	place	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
come	come	vvn	come	come	0
safely	safely	av-j	safely	safe	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
handes	handes	n2	hands	hand	0
,	,	,	,	,	0
then	then	av	then	then	0
haue	haue	vhb	have	have	0
you	you	pn22	you	you	0
vnderstood	vnderstood	vvn	understood	understand	0
by	by	p-acp	by	by	0
thē	thē	pno32	them	they	0
the	the	dt	the	the	0
estate	estate	n1	estate	estate	0
of	of	pp-f	of	of	0
affayres	affayres	n2	affairs	affair	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
coulde	coulde	vmd	could	can	0
learne	learne	vvi	learn	learn	0
thē	thē	pno32	them	they	0
in	in	p-acp	in	in	0
so	so	av	so	so	0
shorte	shorte	j	short	short	0
a	a	dt	a	a	0
stay	stay	n1	stay	stay	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
continuance	continuance	n1	continuance	continuance	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
iourney	iourney	n1	journey	journey	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
mitted	mitted	j-vvn	mitted	mit	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
in	in	p-acp	in	in	0
euery	euery	d	every	every	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
cityes	cityes	n2	cities	city	0
:	:	:	:	:	0
especially	especially	av-j	especially	especial	0
I	I	pns11	I	i	0
wrote	wrote	vvd	wrote	write	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
my	my	po11	my	my	0
former	former	j	former	former	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
great	great	j	great	great	0
variety	variety	n1	variety	variety	0
of	of	pp-f	of	of	0
bookes	bookes	n2	books	book	0
both	both	av-d	both	both	0
in	in	p-acp	in	in	0
Inglishe	Inglishe	jp	English	english	0
and	and	cc	and	and	0
Latyn	Latyn	jp	Latin	latin	0
,	,	,	,	,	0
and	and	cc	and	and	0
other	other	n-jn	other	other	0
lan	lan	zz	lan	lan	0
∣	∣	sy	∣	∣	0
guages	guages	n1	guages	guages	0
already	already	av	already	already	0
come	come	vvn	come	come	0
forth	forth	av	forth	forth	0
,	,	,	,	,	0
or	or	cc	or	or	0
in	in	p-acp	in	in	0
makinge	makinge	vvg	making	make	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
by	by	p-acp	by	by	0
good	good	j	good	good	0
meanes	meanes	n2	means	mean	0
I	I	pns11	I	i	0
vnderstoode	vnderstoode	vvd	understood	understand	0
)	)	)	)	)	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
laste	laste	ord	laste	last	0
proclamation	proclamation	n1	proclamation	proclamation	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
Maiestie	Maiestie	n1	Majesty	majesty	0
published	published	vvn	published	publish	0
in	in	p-acp	in	in	0
Nouember	Nouember	np1	Nouember	November	0
for	for	p-acp	for	for	0
searching	searching	vvg	searching	search	0
1591.	1591.	crd	1591.	1591.	0
out	out	av	out	out	0
,	,	,	,	,	0
apprehendinge	apprehendinge	vvg	apprehending	apprehend	0
and	and	cc	and	and	0
punishing	punishing	vvg	punishing	punish	0
of	of	pp-f	of	of	0
Seminarie	Seminarie	n1	Seminary	seminary	0
priestes	priestes	n2	priests	priest	0
,	,	,	,	,	0
and	and	cc	and	and	0
Iesuites	Iesuites	np2	Iesuites	Jesuit	0
,	,	,	,	,	0
and	and	cc	and	and	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
receaue	receaue	vvi	receive	receive	0
or	or	cc	or	or	0
fauoure	fauoure	n1	favour	favour	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
Ingland	Ingland	np1	Ingland	Ingland	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
proclamation	proclamation	n1	proclamation	proclamation	0
seemeth	seemeth	vvz	seems	seem	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
so	so	av	so	so	0
netled	netled	vvn	nettled	nettle	0
the	the	dt	the	the	0
papistes	papistes	njp2	papists	papist	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
call	call	vvb	call	call	0
here	here	av	here	here	0
Catholiques	Catholiques	njp2	Catholics	catholic	0
,	,	,	,	,	0
(	(	(	(	(	0
and	and	cc	and	and	0
so	so	av	so	so	0
muste	muste	vmb	must	must	0
I	I	pns11	I	i	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
reste	reste	n1	rest	rest	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
letters	letters	n2	letters	letter	0
,	,	,	,	,	0
especially	especially	av-j	especially	especial	0
those	those	d	those	those	0
that	that	cst	that	that	0
shal	shal	vmb	shall	shall	0
come	come	vvi	come	come	0
from	from	p-acp	from	from	0
Italie	Italie	np1	Italie	Italy	0
,	,	,	,	,	0
)	)	)	)	)	0
that	that	cst	that	that	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
o	o	sy	oh	o	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
talke	talke	n1	talk	talk	0
almoste	almoste	av	almost	almost	0
now	now	av	now	now	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
partes	partes	n2	parts	part	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
matters	matters	n2	matters	matter	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
combate	combate	n1	combat	combat	0
of	of	pp-f	of	of	0
Englande	Englande	np1	Englande	England	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
countrie	countrie	n1	country	country	0
here	here	av	here	here	0
of	of	pp-f	of	of	0
Germanie	Germanie	np1	Germanie	Germany	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
both	both	d	both	both	0
parties	parties	n2	parties	party	0
liue	liue	vvb	live	live	0
in	in	p-acp	in	in	0
peace	peace	n1	peace	peace	0
together	together	av	together	together	0
,	,	,	,	,	0
our	our	po12	our	our	0
course	course	n1	course	course	0
of	of	pp-f	of	of	0
Ingland	Ingland	np1	Ingland	Ingland	0
hath	hath	vhz	hath	have	0
diuerse	diuerse	j	diverse	diverse	0
that	that	d	that	that	0
approue	approue	vvb	approve	approve	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
,	,	,	,	,	0
though	though	cs	though	though	0
otherwise	otherwise	av	otherwise	otherwise	0
no	no	dx	no	no	0
papistes	papistes	njp2	papists	papist	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
thincke	thincke	vvb	think	think	0
it	it	pn31	it	it	0
both	both	d	both	both	0
troublesome	troublesome	j	troublesome	troublesome	0
,	,	,	,	,	0
and	and	cc	and	and	0
daungerous	daungerous	j	dangerous	dangerous	0
,	,	,	,	,	0
whereof	whereof	c-crq	whereof	whereof	0
at	at	p-acp	at	at	0
an	an	dt	and	a	0
other	other	j-jn	other	other	0
time	time	n1	time	time	0
I	I	pns11	I	i	0
shal	shal	vmb	shall	shall	0
write	write	vvi	write	write	0
more	more	av-dc	more	more	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
yf	yf	cs	if	if	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
perceaue	perceaue	vvi	perceive	perceive	0
that	that	cst	that	that	0
my	my	po11	my	my	0
letters	letters	n2	letters	letter	0
doe	doe	vdb	do	do	0
come	come	vvi	come	come	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
handes	handes	n2	hands	hand	0
safely	safely	av-j	safely	safe	0
,	,	,	,	,	0
whereof	whereof	c-crq	whereof	whereof	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
greate	greate	j	great	great	0
feare	feare	n1	fear	fear	0
and	and	cc	and	and	0
doubt	doubt	n1	doubt	doubt	0
,	,	,	,	,	0
consideringe	consideringe	vvg	considering	consider	0
the	the	dt	the	the	0
difficulties	difficulties	n2	difficulties	difficulty	0
of	of	pp-f	of	of	0
passages	passages	n2	passages	passage	0
,	,	,	,	,	0
and	and	cc	and	and	0
manifolde	manifolde	j	manifold	manifold	0
interception	interception	n1	interception	interception	0
of	of	pp-f	of	of	0
letters	letters	n2	letters	letter	0
,	,	,	,	,	0
whereof	whereof	c-crq	whereof	whereof	0
I	I	pns11	I	i	0
vnderstande	vnderstande	vvb	understand	understand	0
daily	daily	av-j	daily	daily	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
warres	warres	n2	wars	war	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
,	,	,	,	,	0
I	I	pns11	I	i	0
sent	sent	vvd	sent	send	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
for	for	c-acp	for	for	0
∣	∣	sy	∣	∣	0
mer	mer	uh	mere	mer	0
letters	letters	n2	letters	letter	0
while	while	cs	while	while	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
in	in	p-acp	in	in	0
flandres	flandres	n2	flandres	flandre	0
two	two	crd	two	two	0
or	or	cc	or	or	0
three	three	crd	three	three	0
diuers	diuers	j	diverse	diverse	0
kindes	kindes	n2	kinds	kind	0
of	of	pp-f	of	of	0
answers	answers	n2	answers	answer	0
made	made	vvn	made	make	0
and	and	cc	and	and	0
printed	printed	vvn	printed	print	0
in	in	p-acp	in	in	0
Inglishe	Inglishe	jp	English	english	0
with	with	p-acp	with	with	0
∣	∣	sy	∣	∣	0
out	out	av	out	out	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
authours	authours	n2	authors	author	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
late	late	j	late	late	0
proclama	proclama	n1	proclama	proclama	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
,	,	,	,	,	0
and	and	cc	and	and	0
some	some	d	some	some	0
others	others	n2-jn	others	other	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
told	told	vvd	told	tell	0
were	were	vbdr	were	be	0
in	in	p-acp	in	in	0
coming	coming	vvg	coming	come	0
foorth	foorth	av	forth	forth	0
though	though	cs	though	though	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
learne	learne	vvi	learn	learn	0
by	by	p-acp	by	by	0
whome	whome	ro-crq	whom	who	0
.	.	.	.	.	1
Afterward	Afterward	av	Afterwards	afterwards	0
frō	frō	p-acp	from	from	0
Colen	Colen	np1	Colen	Colen	0
I	I	pns11	I	i	0
sente	sente	vvd	sent	send	0
you	you	pn22	you	you	0
one	one	crd	one	one	0
written	written	vvn	written	write	0
in	in	p-acp	in	in	0
Latine	Latine	jp	Latin	latin	0
by	by	p-acp	by	by	0
Ihon	Ihon	np1	Ihon	Ihon	0
Perne	Perne	np1	Perne	Perne	0
In	In	p-acp	In	in	0
∣	∣	sy	∣	∣	0
glis	glis	fw-la	glis	glis	0
he	he	pns31	he	he	0
man	man	n1	man	man	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
nameth	nameth	vvz	names	name	0
himself	himself	px31	himself	himself	0
,	,	,	,	,	0
&	&	cc	&	and	0
it	it	pn31	it	it	0
goeth	goeth	vvz	goes	go	0
by	by	p-acp	by	by	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
letter	letter	n1	letter	letter	0
,	,	,	,	,	0
or	or	cc	or	or	0
discourse	discourse	n1	discourse	discourse	0
,	,	,	,	,	0
written	written	vvn	written	write	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
frinde	frinde	n1	friend	friend	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
that	that	d	that	that	0
desi	desi	n1	desi	desi	0
∣	∣	sy	∣	∣	0
red	red	j-jn	read	red	0
his	his	po31	his	his	0
opinion	opinion	n1	opinion	opinion	0
and	and	cc	and	and	0
judgemente	judgemente	n1	judgement	judgement	0
aboute	aboute	p-acp	about	about	0
the	the	dt	the	the	0
saide	saide	j-vvn	said	say	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
clamatiō	clamatiō	n1	clamation	clamation	0
,	,	,	,	,	0
and	and	cc	and	and	0
