REmēbring	REmēbring	vvg	Remembering	remember	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
(	(	(	(	(	0
right	right	n-jn	right	right	0
Reuerend	Reuerend	j-jn	Reverend	reverend	0
)	)	)	)	)	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
cōiunc	cōiunc	fw-la	cōiunc	cōiunc	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
or	or	cc	or	or	0
knitting	knitting	vvg	knitting	knit	0
togither	togither	av	together	together	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
members	members	n2	members	member	0
in	in	p-acp	in	in	0
one	one	crd	one	one	0
perfect	perfect	j	perfect	perfect	0
body	body	n1	body	body	0
,	,	,	,	,	0
and	and	cc	and	and	0
finding	finding	vvg	finding	find	0
that	that	cst	that	that	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
health	health	n1	health	health	0
some	some	d	some	some	0
health	health	n1	health	health	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
had	had	vhn	had	have	0
in	in	p-acp	in	in	0
eue	eue	n1	eve	eve	0
∣	∣	sy	∣	∣	0
rie	rie	n1	rye	rye	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
they	they	pns32	they	they	0
haue	haue	vhb	have	have	0
the	the	dt	the	the	0
greater	greater	jc	greater	great	0
ioy	ioy	n1	joy	joy	0
togither	togither	av	together	together	0
vvith	vvith	p-acp	with	with	0
their	their	po32	their	their	0
head	head	n1	head	head	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
plūged	plūged	vvn	plunged	plunge	0
in	in	p-acp	in	in	0
mule	mule	n1	mule	mule	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
I	I	pns11	I	i	0
called	called	vvd	called	call	0
to	to	pc-acp	to	to	0
mind	mind	vvi	mind	mind	0
the	the	dt	the	the	0
maimed	maimed	j-vvn	maimed	maim	0
&	&	cc	&	and	0
bruised	bruised	j-vvn	bruised	bruise	0
bodie	bodie	n1	body	body	0
of	of	pp-f	of	of	0
Iesus	Iesus	np1	Iesus	Jesus	0
Christ	Christ	np1	Christ	Christ	0
(	(	(	(	(	0
vvhereof	vvhereof	c-crq	whereof	whereof	0
vve	vve	pns12	we	we	0
all	all	d	all	all	0
are	are	vbr	are	be	0
members	members	n2	members	member	0
)	)	)	)	)	0
And	And	cc	And	and	0
vvhen	vvhen	c-crq	when	when	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
vvel	vvel	av	well	well	0
considered	considered	vvn	considered	consider	0
the	the	dt	the	the	0
goodnes	goodnes	n1	goodness	goodness	0
of	of	pp-f	of	of	0
almigh	almigh	n1	almigh	almigh	0
∣	∣	sy	∣	∣	0
tie	tie	vvb	tie	tie	0
God	God	np1	God	God	0
our	our	po12	our	our	0
purest	purest	js	purest	pure	0
and	and	cc	and	and	0
principallest	principallest	js	principallest	principall	0
Phisiti	Phisiti	n1	Phisiti	phisiti	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
,	,	,	,	,	0
&	&	cc	&	and	0
seene	seene	vvn	seen	see	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
ministred	ministred	vvn	ministered	minister	0
such	such	d	such	such	0
me	me	pno11	me	i	0
∣	∣	sy	∣	∣	0
dicine	dicine	n1	dicine	dicine	0
therevnto	therevnto	av	thereunto	thereunto	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
made	made	vvn	made	make	0
suche	suche	d	such	such	0
true	true	j	true	true	0
health	health	n1	health	health	0
so	so	av	so	so	0
flantingly	flantingly	av-vvg	flantingly	flant	0
to	to	pc-acp	to	to	0
florish	florish	vvi	flourish	flourish	0
in	in	p-acp	in	in	0
so	so	av	so	so	0
many	many	d	many	many	0
and	and	cc	and	and	0
such	such	d	such	such	0
a	a	dt	a	a	0
number	number	n1	number	number	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
members	members	n2	members	member	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
I	I	pns11	I	i	0
vvas	vvas	vbds	was	be	0
moued	moued	vvn	moved	move	0
to	to	p-acp	to	to	0
an	an	dt	and	a	0
exceeding	exceeding	j-vvg	exceeding	exceed	0
delight	delight	n1	delight	delight	0
:	:	:	:	:	0
And	And	cc	And	and	0
as	as	p-acp	as	as	0
one	one	crd	one	one	0
delight	delight	n1	delight	delight	0
oftentimes	oftentimes	av	oftentimes	oftentimes	0
bringeth	bringeth	vvz	brings	bring	0
in	in	p-acp	in	in	0
an	an	dt	and	a	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
so	so	av	so	so	0
did	did	vdd	did	do	0
it	it	pn31	it	it	0
happē	happē	vvi	happen	happen	0
vnto	vnto	p-acp	unto	unto	0
me	me	pno11	me	i	0
,	,	,	,	,	0
bicause	bicause	c-acp	because	because	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
perfect	perfect	j	perfect	perfect	0
health	health	n1	health	health	0
and	and	cc	and	and	0
soundnesse	soundnesse	n1	soundness	soundness	0
(	(	(	(	(	0
vvhich	vvhich	r-crq	which	which	0
I	I	pns11	I	i	0
assured	assured	vvd	assured	assure	0
my	my	po11	my	my	0
self	self	n1	self	self	0
of	of	pp-f	of	of	0
by	by	p-acp	by	by	0
faith	faith	n1	faith	faith	0
)	)	)	)	)	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
vvith	vvith	p-acp	with	with	0
all	all	d	all	all	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
shuld	shuld	vmd	should	shall	0
see	see	vvi	see	see	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
end	end	n1	end	end	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
and	and	cc	and	and	0
be	be	vbb	be	be	0
vppon	vppon	p-acp	upon	upon	0
euerie	euerie	d	every	every	0
perfect	perfect	j	perfect	perfect	0
limme	limme	n1	limb	limb	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sayde	sayde	j-vvn	said	say	0
spirituall	spirituall	j	spiritual	spiritual	0
bodie	bodie	n1	body	body	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
head	head	n1	head	head	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
foote	foote	n1	foot	foot	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
vvhen	vvhen	c-crq	when	when	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
perused	perused	vvn	perused	peruse	0
and	and	cc	and	and	0
perfectly	perfectly	av-j	perfectly	perfect	0
beheld	beheld	vvd	beheld	behold	0
,	,	,	,	,	0
hovv	hovv	c-crq	how	how	0
our	our	po12	our	our	0
most	most	av-ds	most	most	0
mercifull	mercifull	j	merciful	merciful	0
father	father	n1	father	father	0
vvas	vvas	vbds	was	be	0
glorified	glorified	vvn	glorified	glorify	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
that	that	cst	that	that	0
Sodo	Sodo	fw-la	Sodo	sodo	0
∣	∣	sy	∣	∣	0
mitticall	mitticall	j	mitticall	mitticall	0
countrey	countrey	n1	country	country	0
,	,	,	,	,	0
so	so	av	so	so	0
sinfull	sinfull	j	sinful	sinful	0
a	a	dt	a	a	0
sincke	sincke	n1	sink	sink	0
of	of	pp-f	of	of	0
sin	sin	n1	since	sin	0
,	,	,	,	,	0
the	the	dt	the	the	0
countrey	countrey	n1	country	country	0
of	of	pp-f	of	of	0
Spayne	Spayne	np1	Spayne	Spain	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
so	so	av	so	so	0
faithfull	faithfull	j	faithful	faithful	0
a	a	dt	a	a	0
fel	fel	vvd	fell	fall	0
∣	∣	sy	∣	∣	0
lovv	lovv	j	low	low	0
as	as	c-acp	as	as	0
vvas	vvas	vbds	was	be	0
and	and	cc	and	and	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
Aucthor	Aucthor	n1	Author	author	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
my	my	po11	my	my	0
trauaile	trauaile	n1	travail	travail	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
vvhom	vvhom	ro-crq	whom	who	0
so	so	av	so	so	0
valiantly	valiantly	av-j	valiantly	valiant	0
the	the	dt	the	the	0
fountain	fountain	n1	fountain	fountain	0
of	of	pp-f	of	of	0
faith	faith	n1	faith	faith	0
dyd	dyd	vdd	did	do	0
flovve	flovve	vvi	flow	flow	0
,	,	,	,	,	0
I	I	pns11	I	i	0
vvas	vvas	vbds	was	be	0
vvholy	vvholy	av-jn	wholly	whole	0
rauyshed	rauyshed	vvn	ravished	ravish	0
vvith	vvith	p-acp	with	with	0
ioyes	ioyes	n2	joys	joy	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
foote	foote	n1	foot	foot	0
helpeth	helpeth	vvz	helpeth	help	0
the	the	dt	the	the	0
left	left	j	left	left	0
hand	hand	n1	hand	hand	0
,	,	,	,	,	0
the	the	dt	the	the	0
left	left	j	left	left	0
hande	hande	n1	hand	hand	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
hande	hande	n1	hand	hand	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
all	all	d	all	all	0
togither	togither	av	together	together	0
do	do	vdb	do	do	0
help	help	vvi	help	help	0
their	their	po32	their	their	0
head	head	n1	head	head	0
:	:	:	:	:	0
Euen	Euen	av	Even	even	0
so	so	av	so	so	0
I	I	pns11	I	i	0
an	an	dt	and	a	0
inferior	inferior	j-jn	inferior	inferior	0
