MErcies	MErcies	ng1	MErcies	mercy	0
are	are	vbr	are	be	0
obligations	obligations	n2	obligations	obligation	0
to	to	p-acp	to	to	0
dutie	dutie	n1	duty	duty	0
;	;	;	;	;	0
Eve	Eve	n1	Eve	eve	0
∣	∣	sy	∣	∣	0
ry	ry	zz	ry	ry	0
Deliverance	Deliverance	n1	Deliverance	deliverance	0
writes	writes	vvz	writes	write	0
us	us	pno12	us	we	0
Debtor	Debtor	n1	Debtor	debtor	0
,	,	,	,	,	0
and	and	cc	and	and	0
victorie	victorie	n1	victory	victory	0
over	over	p-acp	over	over	0
our	our	po12	our	our	0
Enemies	Enemies	n2	Enemies	enemy	0
,	,	,	,	,	0
ser	ser	zz	ser	ser	0
∣	∣	sy	∣	∣	0
vants	vants	vvz	vaunts	vaunt	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
living	living	j-vvg	living	live	0
God	God	np1	God	God	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
good	good	j	good	good	0
to	to	pc-acp	to	to	0
receive	receive	vvi	receive	receive	0
a	a	dt	a	a	0
blessing	blessing	n1	blessing	blessing	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
bet	bet	n1	bet	bet	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
to	to	p-acp	to	to	0
use	use	vvi	use	use	0
it	it	pn31	it	it	0
well	well	av	well	well	0
;	;	;	;	;	0
And	And	cc	And	and	0
a	a	dt	a	a	0
thankfull	thankfull	j	thankful	thankful	0
heart	heart	n1	heart	heart	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
greater	greater	jc	greater	great	0
Favour	Favour	n1	Favour	favour	0
,	,	,	,	,	0
then	then	cs	then	than	0
any	any	d	any	any	0
outward	outward	j	outward	outward	0
Favour	Favour	n1	Favour	favour	0
for	for	p-acp	for	for	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
give	give	vvb	give	give	0
thankes	thankes	n2	thanks	thanks	0
.	.	.	.	.	1
When	When	c-crq	When	when	0
the	the	dt	the	the	0
hand	hand	n1	hand	hand	0
of	of	pp-f	of	of	0
provi	provi	fw-la	provi	provi	0
∣	∣	sy	∣	∣	0
dence	dence	n1	dence	dence	0
workes	workes	vvz	works	work	0
gloriously	gloriously	av-j	gloriously	glorious	0
with	with	p-acp	with	with	0
us	us	pno12	us	we	0
,	,	,	,	,	0
our	our	po12	our	our	0
Tongues	Tongues	n2	Tongues	tongue	0
should	should	vmd	should	shall	0
ren	ren	fw-it	ren	ren	0
∣	∣	sy	∣	∣	0
der	der	zf	der	there	0
the	the	dt	the	the	0
providence	providence	n1	providence	providence	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
glorious	glorious	j	glorious	glorious	0
.	.	.	.	.	1
Successes	Successes	n2	Successes	success	0
and	and	cc	and	and	0
E	E	sy	E	e	0
∣	∣	sy	∣	∣	0
vents	vents	vvz	vents	vent	0
cannot	cannot	vmbx	cannot	can	0
make	make	vvi	make	make	0
a	a	dt	a	a	0
bad	bad	j	bad	bad	0
Cause	Cause	n1	Cause	cause	0
just	just	j	just	just	0
or	or	cc	or	or	0
good	good	j	good	good	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
they	they	pns32	they	they	0
make	make	vvb	make	make	0
a	a	dt	a	a	0
good	good	j	good	good	0
Cause	Cause	n1	Cause	cause	0
beautifull	beautifull	j	beautiful	beautiful	0
,	,	,	,	,	0
and	and	cc	and	and	0
adde	adde	vvi	add	add	0
lustre	lustre	n1	lustre	lustre	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Iu	Iu	p-acp	Ju	in	0
∣	∣	sy	∣	∣	0
stice	stice	n1	stice	stice	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
.	.	.	.	.	1
Though	Though	cs	Though	though	0
God	God	np1	God	God	0
should	should	vmd	should	shall	0
not	not	xx	not	not	0
goe	goe	vvi	go	go	0
forth	forth	av	forth	forth	0
with	with	p-acp	with	with	0
our	our	po12	our	our	0
Armies	Armies	n2	Armies	army	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
sometimes	sometimes	av	sometime	sometime	0
he	he	pns31	he	he	0
did	did	vdd	did	do	0
not	not	xx	not	not	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Armies	Armies	n2	Armies	army	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
people	people	n1	people	people	0
)	)	)	)	)	0
but	but	cc-acp	but	but	0
should	should	vmd	should	shall	0
make	make	vvi	make	make	0
them	them	pno32	them	they	0
turne	turne	vvi	turn	turn	0
their	their	po32	their	their	0
back	back	n1	back	back	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
enemie	enemie	n1	enemy	enemy	0
:	:	:	:	:	0
though	though	cs	though	though	0
he	he	pns31	he	he	0
should	should	vmd	should	shall	0
make	make	vvi	make	make	0
us	us	pno12	us	we	0
a	a	dt	a	a	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
proachPsal	proachPsal	np1	proachPsal	proachPsal	0
44.	44.	crd	44.	44.	0
to	to	pc-acp	to	to	0
our	our	po12	our	our	0
neighbours	neighbours	n2	neighbours	neighbour	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
derision	derision	n1	derision	derision	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
round	round	av-j	round	round	0
about	about	p-acp	about	about	0
us	us	pno12	us	we	0
,	,	,	,	,	0
though	though	cs	though	though	0
he	he	pns31	he	he	0
should	should	vmd	should	shall	0
smite	smite	vvi	smite	smite	0
us	us	pno12	us	we	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
place	place	n1	place	place	0
of	of	pp-f	of	of	0
