OUR	OUR	po12	OUR	our	0
Lord	Lord	n1	Lord	lord	0
and	and	cc	and	and	0
Sauiour	Sauiour	n1	Saviour	saviour	0
Christ	Christ	np1	Christ	Christ	0
Iesus	Iesus	np1	Iesus	Jesus	0
(	(	(	(	(	0
right	right	n-jn	right	right	0
reuerend	reuerend	j-jn	reverend	reverend	0
Father	Father	n1	Father	father	0
in	in	p-acp	in	in	0
God	God	np1	God	God	0
,	,	,	,	,	0
honorable	honorable	j	honourable	honourable	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
Iohn	Iohn	np1	Iohn	John	0
.	.	.	.	.	1
14.	14.	crd	14.	14.	0
6	6	crd	6	6	0
and	and	cc	and	and	0
right	right	n-jn	right	right	0
worshipful	worshipful	j	worshipful	worshipful	0
Patrons	Patrons	n2	Patrons	patron	0
)	)	)	)	)	0
as	as	c-acp	as	as	0
hee	hee	pns31	he	he	0
rightly	rightly	av-jn	rightly	right	0
called	called	vvd	called	call	0
himselfe	himselfe	px31	himself	himself	0
the	the	dt	the	the	0
way	way	n1	way	way	0
,	,	,	,	,	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
life	life	n1	life	life	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
faithfull	faithfull	j	faithful	faithful	0
beleeuers	beleeuers	n2	believers	believer	0
and	and	cc	and	and	0
good	good	j	good	good	0
liuers	liuers	n2	livers	liver	0
,	,	,	,	,	0
and	and	cc	and	and	0
was	was	vbds	was	be	0
so	so	av	so	so	0
in	in	p-acp	in	in	0
deed	deed	n1	deed	deed	0
:	:	:	:	:	0
the	the	dt	the	the	0
way	way	n1	way	way	0
by	by	p-acp	by	by	0
example	example	n1	example	example	0
not	not	xx	not	not	0
er	er	p-acp	er	ere	0
∣	∣	sy	∣	∣	0
ring	ring	n1	ring	ring	0
;	;	;	;	;	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
promise	promise	n1	promise	promise	0
not	not	xx	not	not	0
failing	failing	vvg	failing	fail	0
;	;	;	;	;	0
and	and	cc	and	and	0
the	the	dt	the	the	0
life	life	n1	life	life	0
by	by	p-acp	by	by	0
reward	reward	n1	reward	reward	0
neuer	neuer	av	never	never	0
en	en	fw-fr	en	en	0
∣	∣	sy	∣	∣	0
ding	ding	uh	ding	ding	0
:	:	:	:	:	0
so	so	av	so	so	0
on	on	p-acp	on	on	0
a	a	dt	a	a	0
time	time	n1	time	time	0
ascending	ascending	vvg	ascending	ascend	0
up	up	a-acp	up	up	0
a	a	dt	a	a	0
certaine	certaine	j	certain	certain	0
hill	hill	n1	hill	hill	0
(	(	(	(	(	0
after	after	c-acp	after	after	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
prolix	prolix	j	prolix	prolix	0
sermon	sermon	n1	sermon	sermon	0
instructed	instructed	vvn	instructed	instruct	0
his	his	po31	his	his	0
Disciples	Disciples	n2	Disciples	disciple	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
multitude	multitude	n1	multitude	multitude	0
of	of	pp-f	of	of	0
others	others	n2-jn	others	other	0
his	his	po31	his	his	0
follow	follow	n1	follow	follow	0
∣	∣	sy	∣	∣	0
ers	ers	uh	ers	ers	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
way	way	n1	way	way	0
,	,	,	,	,	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
and	and	cc	and	and	0
life	life	n1	life	life	0
of	of	pp-f	of	of	0
perfect	perfect	j	perfect	perfect	0
blessednesse	blessednesse	n1	blessedness	blessedness	0
vpon	vpon	p-acp	upon	upon	0
earth	earth	n1	earth	earth	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
fruitfull	fruitfull	j	fruitful	fruitful	0
effects	effects	n2	effects	effect	0
thereof	thereof	av	thereof	thereof	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
life	life	n1	life	life	0
euerlasting	euerlasting	j	everlasting	everlasting	0
)	)	)	)	)	0
said	said	vvd	said	say	0
vnto	vnto	p-acp	unto	unto	0
them	them	pno32	them	they	0
;	;	;	;	;	0
yee	yee	pn22	ye	you	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
salt	salt	n1	salt	salt	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
earth	earth	n1	earth	earth	0
,	,	,	,	,	0
&	&	cc	&	and	0
the	the	dt	the	the	0
light	light	n1	light	light	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
:	:	:	:	:	0
Matth.	Matth.	np1	Matth.	Matth.	1
5.	5.	crd	5.	5.	0
13	13	crd	13	13	0
14	14	crd	14	14	1
As	As	p-acp	As	as	0
it	it	pn31	it	it	0
might	might	vmd	might	may	0
well	well	av	well	well	0
seeme	seeme	vvi	seem	seem	0
attributing	attributing	vvg	attributing	attribute	0
the	the	dt	the	the	0
first	first	ord	first	first	0
title	title	n1	title	title	0
(	(	(	(	(	0
salt	salt	n1	salt	salt	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
earth	earth	n1	earth	earth	0
)	)	)	)	)	0
vnto	vnto	p-acp	unto	unto	0
his	his	po31	his	his	0
disciples	disciples	n2	disciples	disciple	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
which	which	r-crq	which	which	0
(	(	(	(	(	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
table	table	n1	table	table	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Testament	Testament	n1	Testament	testament	0
)	)	)	)	)	0
deliuering	deliuering	vvg	delivering	deliver	0
sincere	sincere	j	sincere	sincere	0
doctrine	doctrine	n1	doctrine	doctrine	0
,	,	,	,	,	0
&	&	cc	&	and	0
it	it	pn31	it	it	0
(	(	(	(	(	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
pot	pot	n1	pot	pot	0
of	of	pp-f	of	of	0
Manna	Manna	n1	Manna	manna	0
)	)	)	)	)	0
ministring	ministring	j-vvg	ministering	minister	0
the	the	dt	the	the	0
sacraments	sacraments	n2	sacraments	sacrament	0
by	by	p-acp	by	by	0
Christs	Christs	npg1	Christs	Christ	0
insti	insti	n1	insti	insti	0
∣	∣	sy	∣	∣	0
tution	tution	n1	tution	tution	0
(	(	(	(	(	0
seasoning	seasoning	vvg	seasoning	season	0
the	the	dt	the	the	0
soules	soules	n2	souls	soul	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
seruants	seruants	n2	servants	servant	0
)	)	)	)	)	0
and	and	cc	and	and	0
(	(	(	(	(	0
with	with	p-acp	with	with	0
Aarons	Aarons	npg1	Aarons	Aaron	0
rod	rod	n1	rod	rod	0
)	)	)	)	)	0
executing	executing	vvg	executing	execute	0
discipline	discipline	n1	discipline	discipline	0
vpon	vpon	p-acp	upon	upon	0
disordered	disordered	j-vvn	disordered	disorder	0
liuers	liuers	n2	livers	liver	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
:	:	:	:	:	0
And	And	cc	And	and	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
second	second	ord	second	second	0
title	title	n1	title	title	0
,	,	,	,	,	0
light	light	n1	light	light	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
fully	fully	av-j	fully	full	0
attributing	attributing	vvg	attributing	attribute	0
vnto	vnto	p-acp	unto	unto	0
temporal	temporal	j	temporal	temporal	0
magistrates	magistrates	n2	magistrates	magistrate	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
learned	learned	j	learned	learned	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
lawes	lawes	n2	laws	law	0
divine	divine	j-jn	divine	divine	0
&	&	cc	&	and	0
humane	humane	j	humane	humane	0
)	)	)	)	)	0
the	the	dt	the	the	0
light	light	n1	light	light	0
of	of	pp-f	of	of	0
righteousnes	righteousnes	n1	righteousness	righteousness	0
,	,	,	,	,	0
sword	sword	n1	sword	sword	0
of	of	pp-f	of	of	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
and	and	cc	and	and	0
ballance	ballance	n1	balance	balance	0
of	of	pp-f	of	of	0
iustice	iustice	n1	justice	justice	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
iudgement	iudgement	n1	judgement	judgement	0
to	to	pc-acp	to	to	0
cherish	cherish	vvi	cherish	cherish	0
the	the	dt	the	the	0
good	good	j	good	good	0
and	and	cc	and	and	0
punish	punish	vvi	punish	punish	0
the	the	dt	the	the	0
euill	euill	j-jn	evil	evil	0
liuers	liuers	n2	livers	liver	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
common	common	j	common	common	0
wealth	wealth	n1	wealth	wealth	0
.	.	.	.	.	1
And	And	cc	And	and	0
so	so	av	so	so	0
making	making	vvg	making	make	0
of	of	pp-f	of	of	0
both	both	d	both	both	0
a	a	dt	a	a	0
blessed	blessed	j-vvn	blessed	bless	0
and	and	cc	and	and	0
happy	happy	j	happy	happy	0
coniunction	coniunction	n1	conjunction	conjunction	0
or	or	cc	or	or	0
incorporati	incorporati	fw-la	incorporati	incorporati	0
∣	∣	sy	∣	∣	0
on	on	pi	on	one	0
of	of	pp-f	of	of	0
good	good	j	good	good	0
gouernement	gouernement	n1	government	government	0
,	,	,	,	,	0
hee	hee	pns31	he	he	0
added	added	vvd	added	add	0
hereunto	hereunto	av	hereunto	hereunto	0
this	this	d	this	this	0
rare	rare	j	rare	rare	0
