Honourable	Honourable	j	Honourable	honourable	0
Sirs	Sirs	n2	Sirs	sir	0
,	,	,	,	,	0
IF	IF	cs	IF	if	0
the	the	dt	the	the	0
publication	publication	n1	publication	publication	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Sermon	Sermon	n1	Sermon	sermon	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
supposed	supposed	vvn	supposed	suppose	0
to	to	pc-acp	to	to	0
contribute	contribute	vvi	contribute	contribute	0
nothing	nothing	pix	nothing	nothing	0
,	,	,	,	,	0
that	that	cst	that	that	0
may	may	vmb	may	may	0
advance	advance	vvi	advance	advance	0
the	the	dt	the	the	0
Interest	Interest	n1	Interest	interest	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
and	and	cc	and	and	0
his	his	po31	his	his	0
People	People	n1	People	people	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
to	to	pc-acp	to	to	0
prove	prove	vvi	prove	prove	0
rather	rather	av-c	rather	rather	0
an	an	dt	and	a	0
unnecessary	unnecessary	j	unnecessary	unnecessary	0
addition	addition	n1	addition	addition	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
Nauseus	Nauseus	npg1	Nauseus	nauseus	0
disease	disease	n1	disease	disease	0
of	of	pp-f	of	of	0
Pamphlets	Pamphlets	n2	Pamphlets	pamphlet	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
stomack	stomack	n1	stomach	stomach	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Nation	Nation	n1	Nation	nation	0
is	is	vbz	is	be	0
already	already	av	already	already	0
sick	sick	j	sick	sick	0
of	of	pp-f	of	of	0
:	:	:	:	:	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
are	are	vbr	are	be	0
my	my	po11	my	my	0
witnesses	witnesses	n2	witnesses	witness	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
many	many	d	many	many	0
Hono	Hono	fw-la	Hono	hono	0
∣	∣	sy	∣	∣	0
rable	rable	n1	rabble	rabble	0
persons	persons	n2	persons	person	0
are	are	vbr	are	be	0
bound	bound	vvn	bound	bind	0
to	to	pc-acp	to	to	0
divide	divide	vvi	divide	divide	0
the	the	dt	the	the	0
in	in	n1	in	inn	0
∣	∣	sy	∣	∣	0
convenience	convenience	n1	convenience	convenience	0
(	(	(	(	(	0
or	or	cc	or	or	0
guilt	guilt	n1	guilt	guilt	0
)	)	)	)	)	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
amongst	amongst	p-acp	among	among	0
them	them	pno32	them	they	0
.	.	.	.	.	1
This	This	np1	This	This	0
yet	yet	av	yet	yet	0
,	,	,	,	,	0
I	I	pns11	I	i	0
confoss	confoss	vvb	confoss	confoss	0
,	,	,	,	,	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
supposition	supposition	n1	supposition	supposition	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
expect	expect	vvb	expect	expect	0
no	no	dx	no	no	0
entertainment	entertainment	n1	entertainment	entertainment	0
for	for	c-acp	for	for	0
but	but	p-acp	but	but	0
with	with	p-acp	with	with	0
that	that	d	that	that	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Nation	Nation	n1	Nation	nation	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
at	at	p-acp	at	at	0
enmity	enmity	n1	enmity	enmity	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Happiness	Happiness	n1	Happiness	happiness	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
.	.	.	.	.	1
And	And	cc	And	and	0
even	even	av	even	even	0
into	into	p-acp	into	into	0
these	these	d	these	these	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
untooth	untooth	n1	untooth	untooth	0
some	some	d	some	some	0
sovr	sovr	j	sour	sour	0
i	i	pns11	i	i	0
prove	prove	vvb	prove	prove	0
,	,	,	,	,	0
et	et	fw-la	et	et	0
who	who	zz	who	who	0
cantel	cantel	n1	cantel	cantel	0
but	but	p-acp	but	but	0
tra	tra	fw-la	tra	tra	0
wholesome	wholesome	j	wholesome	wholesome	0
?	?	?	?	?	1
God	God	np1	God	God	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
sure	sure	j	sure	sure	0
is	is	vbz	is	be	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
swade	swade	vvi	suade	suade	0
them	them	pno32	them	they	0
by	by	p-acp	by	by	0
as	as	p-acp	as	as	0
mean	mean	j	mean	mean	0
a	a	dt	a	a	0
moagelas	moagelas	n1	moagelas	moagelas	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
by	by	p-acp	by	by	0
no	no	dx	no	no	0
meanes	meanes	n2	means	mean	0
advieable	advieable	j	advieable	advieable	0
to	to	pc-acp	to	to	0
lay	lay	vvi	lay	lay	0
a	a	dt	a	a	0
mine	mine	png11	mine	i	0
under	under	p-acp	under	under	0
thoe	thoe	n1	thoe	thoe	0
founaatons	founaatons	n2	founaatons	founaaton	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
must	must	vmb	must	must	0
perish	perish	vvi	perish	perish	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
ruines	ruines	n2	ruins	ruin	0
o	o	uh	oh	oh	0
;	;	;	;	;	0
