MAnie	MAnie	av-d	Many	many	0
and	and	cc	and	and	0
sundrie	sundrie	j	sundry	sundry	0
fauours	fauours	n2	favours	favour	0
and	and	cc	and	and	0
kindnesses	kindnesses	n2	kindnesses	kindness	0
(	(	(	(	(	0
Right	Right	j-jn	Right	right	0
Honorable	Honorable	j	Honourable	honourable	0
and	and	cc	and	and	0
right	right	n-jn	right	right	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
uerende	uerende	j-jn	uerende	uerende	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
)	)	)	)	)	0
for	for	p-acp	for	for	0
these	these	d	these	these	0
twentie	twentie	crd	twentie	twenty	0
yeares	yeares	ng2	years	year	0
space	space	n1	space	space	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
knowne	knowne	vvn	known	know	0
yow	yow	pn22	you	you	0
,	,	,	,	,	0
receiued	receiued	vvn	received	receive	0
at	at	p-acp	at	at	0
your	your	po22	your	your	0
Graces	Graces	ng1	Graces	grace	0
hands	hands	n2	hands	hand	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
alwaies	alwaies	av	always	always	0
made	made	vvn	made	make	0
me	me	pno11	me	i	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
to	to	pc-acp	to	to	0
loue	loue	vvi	love	love	0
and	and	cc	and	and	0
reuerence	reuerence	vvi	reverence	reverence	0
yow	yow	pn22	you	you	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
alsoe	alsoe	av	also	also	0
to	to	pc-acp	to	to	0
thinke	thinke	vvi	think	think	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
vnfainedly	vnfainedly	av-j	unfeignedly	unfeigned	0
soe	soe	av	so	so	0
much	much	av-d	much	much	0
bounde	bounde	vvn	bound	bind	0
and	and	cc	and	and	0
beholden	beholden	vvi	beholden	behold	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
Grace	Grace	n1	Grace	grace	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
a	a	dt	a	a	0
long	long	j	long	long	0
time	time	n1	time	time	0
beene	beene	vbn	been	be	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
minde	minde	n1	mind	mind	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
suf	suf	fw-fr	suf	suf	0
∣	∣	sy	∣	∣	0
ficient	ficient	j	ficient	ficient	0
to	to	pc-acp	to	to	0
discharge	discharge	vvi	discharge	discharge	0
me	me	pno11	me	i	0
of	of	pp-f	of	of	0
vnthankful	vnthankful	j	unthankful	unthankful	0
∣	∣	sy	∣	∣	0
nesse	nesse	n1	ness	ness	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
bare	bare	j	bore	bare	0
wordes	wordes	n2	words	word	0
(	(	(	(	(	0
though	though	cs	though	though	0
neuer	neuer	av-x	never	never	0
so	so	av	so	so	0
ful	ful	j	full	full	0
of	of	pp-f	of	of	0
kindnesse	kindnesse	n1	kindness	kindness	0
&	&	cc	&	and	0
thankefulnesse	thankefulnesse	n1	thankfulness	thankfulness	0
)	)	)	)	)	0
both	both	d	both	both	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
absence	absence	n1	absence	absence	0
and	and	cc	and	and	0
presence	presence	n1	presence	presence	0
to	to	pc-acp	to	to	0
testifie	testifie	vvi	testify	testify	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
(	(	(	(	(	0
whereof	whereof	c-crq	whereof	whereof	0
yet	yet	av	yet	yet	0
euer	euer	av	ever	ever	0
since	since	c-acp	since	since	0
I	I	pns11	I	i	0
first	first	ord	first	first	0
knew	knew	vvd	knew	know	0
you	you	pn22	you	you	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
beene	beene	vbn	been	be	0
carefull	carefull	j	careful	careful	0
and	and	cc	and	and	0
mindefull	mindefull	j	mindful	mindful	0
)	)	)	)	)	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
long	long	av-j	long	long	0
agoe	agoe	av	ago	ago	0
resolued	resolued	vvn	resolved	resolve	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
(	(	(	(	(	0
hauing	hauing	vhg	having	have	0
no	no	dx	no	no	0
bet	bet	n1	bet	bet	0
∣	∣	sy	∣	∣	0
ter	ter	zz	ter	ter	0
meanes	meanes	vvz	means	mean	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
it	it	pn31	it	it	0
by	by	p-acp	by	by	0
,	,	,	,	,	0
)	)	)	)	)	0
by	by	p-acp	by	by	0
dedicating	dedicating	j-vvg	dedicating	dedicate	0
some	some	d	some	some	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
poore	poore	j	poor	poor	0
labours	labours	n2	labours	labour	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
giue	giue	vvi	give	give	0
you	you	pn22	you	you	0
and	and	cc	and	and	0
all	all	d	all	all	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
the	the	dt	the	the	0
sight	sight	n1	sighed	sight	0
thereof	thereof	av	thereof	thereof	0
shall	shall	vmb	shall	shall	0
come	come	vvi	come	come	0
,	,	,	,	,	0
some	some	d	some	some	0
pub	pub	fw-la	pub	pub	0
∣	∣	sy	∣	∣	0
like	like	j	like	like	0
and	and	cc	and	and	0
assured	assured	j-vvn	assured	assure	0
testimonie	testimonie	n1	testimony	testimony	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
due	due	j-jn	due	due	0
∣	∣	sy	∣	∣	0
tifull	tifull	j	tifull	tifull	0
and	and	cc	and	and	0
thankefull	thankefull	j	thankful	thankful	0
heart	heart	n1	heart	heart	0
towardes	towardes	p-acp	towards	towards	0
you	you	pn22	you	you	0
.	.	.	.	.	1
Whereupon	Whereupon	c-crq	Whereupon	whereupon	0
hauing	hauing	vhg	having	have	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
earnest	earnest	n1	earnest	earnest	0
and	and	cc	and	and	0
importunate	importunate	j	importunate	importunate	0
sute	sute	n1	suit	suit	0
and	and	cc	and	and	0
request	request	n1	request	request	0
of	of	pp-f	of	of	0
diuers	diuers	j	diverse	diverse	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
worshipfull	worshipfull	j	worshipful	worshipful	0
and	and	cc	and	and	0
good	good	j	good	good	0
friendes	friendes	n2	friends	friend	0
,	,	,	,	,	0
not	not	xx	not	not	0
long	long	av-j	long	long	0
since	since	a-acp	since	since	0
committed	committed	vvn	committed	commit	0
to	to	p-acp	to	to	0
writing	writing	vvg	writing	write	0
the	the	dt	the	the	0
Treatise	Treatise	n1	Treatise	treatise	0
following	following	vvg	following	follow	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
in	in	p-acp	in	in	0
effect	effect	n1	effect	effect	0
they	they	pns32	they	they	0
first	first	ord	first	first	0
heard	heard	vvd	herd	hear	0
me	me	pno11	me	i	0
from	from	p-acp	from	from	0
point	point	n1	point	point	0
to	to	pc-acp	to	to	0
point	point	vvi	point	point	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
manner	manner	n1	manner	manner	0
deliuer	deliuer	vvi	deliver	deliver	0
vnto	vnto	p-acp	unto	unto	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
certeine	certeine	j	certain	certain	0
sermons	sermons	n2	sermons	sermon	0
)	)	)	)	)	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
now	now	av	now	now	0
thought	thought	vvn	thought	think	0
it	it	pn31	it	it	0
good	good	j	good	good	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
sort	sort	n1	sort	sort	0
somewhat	somewhat	av	somewhat	somewhat	0
enlarged	enlarged	vvn	enlarged	enlarge	0
to	to	pc-acp	to	to	0
publish	publish	vvi	publish	publish	0
it	it	pn31	it	it	0
,	,	,	,	,	0
the	the	dt	the	the	0
better	better	jc	better	better	0
to	to	p-acp	to	to	0
sa	sa	fw-fr	sa	sa	0
∣	∣	sy	∣	∣	0
tisfie	tisfie	vvi	tisfie	tisfie	0
their	their	po32	their	their	0
desires	desires	n2	desires	desire	0
:	:	:	:	:	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
end	end	n1	end	end	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
foresaid	foresaid	zz	foresaid	foresaid	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
made	made	vvn	made	make	0
bolde	bolde	j	bold	bold	0
to	to	pc-acp	to	to	0
dedicate	dedicate	vvi	dedicate	dedicate	0
the	the	dt	the	the	0
same	same	d	same	same	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
Grace	Grace	n1	Grace	grace	0
,	,	,	,	,	0
beseeching	beseeching	vvg	beseeching	beseech	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
accept	accept	vvi	accept	accept	0
therof	therof	av	thereof	thereof	0
rather	rather	av	rather	rather	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
minde	minde	n1	mind	mind	0
