My	My	po11	My	my	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
'TIs	'TIs	pn31|vbz	It's	it|be	0
not	not	xx	not	not	0
of	of	a-acp	of	off	0
to	to	p-acp	to	to	0
day	day	n1	day	day	0
,	,	,	,	,	0
that	that	cst	that	that	0
those	those	d	those	those	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
leave	leave	vvb	leave	leave	0
the	the	dt	the	the	0
party	party	n1	party	party	0
of	of	pp-f	of	of	0
Error	Error	n1	Error	error	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
embrace	embrace	vvi	embrace	embrace	0
Truth	Truth	n1	Truth	truth	0
,	,	,	,	,	0
find	find	vvb	find	find	0
them	them	pno32	them	they	0
∣	∣	sy	∣	∣	0
selves	selves	n2	selves	self	0
exposed	exposed	vvn	exposed	expose	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Persecu	Persecu	n1	Persecu	persecu	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
World	World	n1	World	world	0
;	;	;	;	;	0
And	And	cc	And	and	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
of	of	a-acp	of	off	0
to	to	p-acp	to	to	0
day	day	n1	day	day	0
neither	neither	av-dx	neither	neither	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
need	need	n1	need	need	0
of	of	pp-f	of	of	0
dowerful	dowerful	j	dowerful	dowerful	0
Protectors	Protectors	n2	Protectors	protector	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
defend	defend	vvi	defend	defend	0
them	them	pno32	them	they	0
against	against	p-acp	against	against	0
Injustice	Injustice	n1	Injustice	injustice	0
.	.	.	.	.	1
Your	Your	po22	Your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
knows	knows	vvz	knows	know	0
,	,	,	,	,	0
that	that	cst	that	that	0
St.	St.	n1	St.	saint	1
Paul	Paul	np1	Paul	Paul	0
had	had	vhd	had	have	0
no	no	av-dx	no	no	0
sooner	sooner	av-c	sooner	soon	0
the	the	dt	the	the	0
title	title	n1	title	title	0
and	and	cc	and	and	0
the	the	dt	the	the	0
quality	quality	n1	quality	quality	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Man	Man	n1	Man	man	0
newly	newly	av-j	newly	new	0
Converted	Converted	vvn	Converted	convert	0
,	,	,	,	,	0
Act.	Act.	n1	Act.	act	0
9.	9.	crd	9.	9	0
but	but	cc-acp	but	but	0
presently	presently	av-j	presently	present	0
he	he	pns31	he	he	0
saw	saw	vvd	saw	see	0
himself	himself	px31	himself	himself	0
Forsaken	Forsaken	j-vvn	Forsaken	forsake	0
and	and	cc	and	and	0
Persecuted	Persecuted	vvn	Persecuted	persecute	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
the	the	dt	the	the	0
Earth	Earth	n1	Earth	earth	0
.	.	.	.	.	1
He	He	pns31	He	he	0
doth	doth	vdz	does	do	0
but	but	p-acp	but	but	0
lose	lose	vvi	loose	lose	0
his	his	po31	his	his	0
la	la	fw-fr	la	la	0
∣	∣	sy	∣	∣	0
bour	bour	uh	bour	bour	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
alledging	alledging	vvg	alleging	allege	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Jews	Jews	np2	Jews	Jew	0
the	the	pno32	thee	they	0
Motives	Motives	n2	Motives	motive	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Conversion	Conversion	n1	Conversion	conversion	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
Disputing	Disputing	vvg	Disputing	dispute	0
against	against	p-acp	against	against	0
them	them	pno32	them	they	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
Confounding	Confounding	j-vvg	Confounding	confound	0
them	them	pno32	them	they	0
;	;	;	;	;	0
the	the	dt	the	the	0
Jews	Jews	np2	Jews	Jew	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
yet	yet	av	yet	yet	0
for	for	p-acp	for	for	0
all	all	d	all	all	0
that	that	d	that	that	0
,	,	,	,	,	0
less	less	av-dc	less	less	0
mad	mad	j	mad	mad	0
,	,	,	,	,	0
or	or	cc	or	or	0
less	less	av-dc	less	less	0
furious	furious	j	furious	furious	0
against	against	p-acp	against	against	0
him	him	pno31	him	he	0
.	.	.	.	.	1
These	These	np1	These	Theise	0
wicked	wicked	j	wicked	wicked	0
men	men	n2	men	man	0
do	do	vdb	do	do	0
still	still	av	still	still	0
imagine	imagine	vvi	imagine	imagine	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Motives	Motives	n2	Motives	motive	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
have	have	vhb	have	have	0
obliged	obliged	vvn	obliged	oblige	0
Paul	Paul	np1	Paul	Paul	0
to	to	pc-acp	to	to	0
leave	leave	vvi	leave	leave	0
the	the	dt	the	the	0
Religion	Religion	n1	Religion	religion	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Fathers	Fathers	n2	Father's	father	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
to	to	pc-acp	to	to	0
embrace	embrace	vvi	embrace	embrace	0
the	the	dt	the	the	0
Purity	Purity	n1	Purity	purity	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Gospel	Gospel	n1	Gospel	gospel	0
,	,	,	,	,	0
are	are	vbr	are	be	0
no	no	dx	no	no	0
others	others	n2-jn	others	other	0
but	but	p-acp	but	but	0
the	the	dt	the	the	0
Inconstancy	Inconstancy	n1	Inconstancy	inconstancy	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
mind	mind	n1	mind	mind	0
,	,	,	,	,	0
or	or	cc	or	or	0
the	the	dt	the	the	0
desire	desire	n1	desire	desire	0
of	of	pp-f	of	of	0
Novelty	Novelty	n1	Novelty	novelty	0
:	:	:	:	:	0
And	And	cc	And	and	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
perswasion	perswasion	n1	persuasion	persuasion	0
,	,	,	,	,	0
they	they	pns32	they	they	0
look	look	vvb	look	look	0
upon	upon	p-acp	upon	upon	0
him	him	pno31	him	he	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
Runaway	Runaway	n1	Runaway	runaway	0
,	,	,	,	,	0
and	and	cc	and	and	0
an	an	dt	and	a	0
Apostata	Apostata	fw-la	Apostata	apostata	0
;	;	;	;	;	0
they	they	pns32	they	they	0
lay	lay	vvd	lay	lie	0
wait	wait	vvi	wait	wait	0
for	for	p-acp	for	for	0
him	him	pno31	him	he	0
;	;	;	;	;	0
Ver.	Ver.	np1	Ver.	Ver.	1
23	23	crd	23	23	0
,	,	,	,	,	0
24.	24.	crd	24.	24.	0
they	they	pns32	they	they	0
frame	frame	vvb	frame	frame	0
Plots	Plots	n2	Plots	plot	0
and	and	cc	and	and	0
Conspiracies	Conspiracies	n2	Conspiracies	conspiracy	0
to	to	pc-acp	to	to	0
kill	kill	vvi	kill	kill	0
him	him	pno31	him	he	0
;	;	;	;	;	0
and	and	cc	and	and	0
think	think	vvb	think	think	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
cannot	cannot	vmbx	cannot	can	0
render	render	vvi	render	render	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
Almighty	Almighty	j-jn	Almighty	almighty	0
a	a	dt	a	a	0
ser	ser	zz	ser	ser	0
∣	∣	sy	∣	∣	0
vice	vice	n1	vice	vice	0
more	more	av-dc	more	more	0
Religious	Religious	j	Religious	religious	0
,	,	,	,	,	0
than	than	cs	than	than	0
to	to	pc-acp	to	to	0
bind	bind	vvi	bind	bind	0
them	them	pno32	them	they	0
∣	∣	sy	∣	∣	0
selves	selves	n2	selves	self	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
solemn	solemn	j	solemn	solemn	0
Vow	Vow	vvb	Vow	vow	0
,	,	,	,	,	0
saying	saying	vvg	saying	say	0
;	;	;	;	;	0
Act.	Act.	n1	Act.	act	0
23.	23.	crd	23.	23.	0
v.	v.	n1	v.	v.	0
12.14	12.14	crd	12.14	12.14	0
.	.	.	.	.	1
That	That	cst	That	that	0
they	they	pns32	they	they	0
would	would	vmd	would	will	0
neither	neither	av-dx	neither	neither	0
eat	eat	vvi	eat	eat	0
nor	nor	ccx	nor	nor	0
drink	drink	n1	drink	drink	0
till	till	c-acp	till	till	0
they	they	pns32	they	they	0
had	had	vhd	had	have	0
killed	killed	vvn	killed	kill	0
Paul	Paul	np1	Paul	Paul	0
.	.	.	.	.	1
St.	St.	n1	St.	saint	0
Paul	Paul	np1	Paul	Paul	0
is	is	vbz	is	be	0
obliged	obliged	vvn	obliged	oblige	0
to	to	pc-acp	to	to	0
run	run	vvi	run	run	0
away	away	av	away	away	0
;	;	;	;	;	0
Act.	Act.	n1	Act.	act	0
9.	9.	crd	9.	9	0
v.	v.	n1	v.	v.	0
25.	25.	crd	25.	25.	0
he	he	pns31	he	he	0
must	must	vmb	must	must	0
go	go	vvi	go	go	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
Damascus	Damascus	np1	Damascus	Damascus	0
over	over	p-acp	over	over	0
the	the	dt	the	the	0
Walls	Walls	n2	Walls	wall	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
avoid	avoid	vvi	avoid	avoid	0
the	the	dt	the	the	0
fury	fury	n1	fury	fury	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Enemies	Enemies	n2	Enemies	enemy	0
;	;	;	;	;	0
he	he	pns31	he	he	0
must	must	vmb	must	must	0
retire	retire	vvi	retire	retire	0
to	to	p-acp	to	to	0
Jerusalem	Jerusalem	np1	Jerusalem	Jerusalem	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
more	more	av-dc	more	more	0
safe	safe	j	safe	safe	0
;	;	;	;	;	0
and	and	cc	and	and	0
there	there	pc-acp	there	there	0
St.	St.	n1	St.	saint	1
Paul	Paul	np1	Paul	Paul	0
,	,	,	,	,	0
though	though	cs	though	though	0
a	a	dt	a	a	0
Chosen	Chosen	j-vvn	Chosen	choose	0
Vessel	Vessel	n1	Vessel	vessel	0
,	,	,	,	,	0
has	has	vhz	has	have	0
the	the	dt	the	the	0
trouble	trouble	n1	trouble	trouble	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
very	very	j	very	very	0
Disciples	Disciples	n2	Disciples	disciple	0
shun	shun	vvb	shun	shun	0
his	his	po31	his	his	0
society	society	n1	society	society	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
all	all	d	all	all	0
affraid	affraid	j	afraid	afraid	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
trust	trust	vvi	trust	trust	0
him	him	pno31	him	he	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
suspitious	suspitious	j	suspicious	suspicious	0
,	,	,	,	,	0
least	least	cs	lest	lest	0
his	his	po31	his	his	0
Conversion	Conversion	n1	Conversion	conversion	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
counterfeited	counterfeited	vvn	counterfeited	counterfeit	0
,	,	,	,	,	0
imperfect	imperfect	j	imperfect	imperfect	0
,	,	,	,	,	0
and	and	cc	and	and	0
dissimu	dissimu	uh-n	dissimu	dissimu	0
∣	∣	sy	∣	∣	0
lated	lated	vvn	lated	late	0
.	.	.	.	.	1
And	And	cc	And	and	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
reason	reason	n1	reason	reason	0
,	,	,	,	,	0
he	he	pns31	he	he	0
must	must	vmb	must	must	0
have	have	vhi	have	have	0
recourse	recourse	n1	recourse	recourse	0
unto	unto	p-acp	unto	unto	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Apostles	Apostles	n2	Apostles	apostle	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
his	his	po31	his	his	0
Protector	Protector	n1	Protector	protector	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
him	him	pno31	him	he	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Disci	Disci	np1	Disci	Disci	0
∣	∣	sy	∣	∣	0
ples	ples	fw-fr	ples	ples	0
,	,	,	,	,	0
and	and	cc	and	and	0
declare	declare	vvi	declare	declare	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
after	after	a-acp	after	after	0
how	how	c-crq	how	how	0
mar	mar	vvi	mar	mar	0
∣	∣	sy	∣	∣	0
vellous	vellous	j	vellous	vellous	0
a	a	dt	a	a	0
manner	manner	n1	manner	manner	0
,	,	,	,	,	0
God	God	np1	God	God	0
had	had	vhd	had	have	0
been	been	vbn	been	be	0
pleased	pleased	vvn	pleased	please	0
to	to	pc-acp	to	to	0
accomplish	accomplish	vvi	accomplish	accomplish	0
his	his	po31	his	his	0
Conversion	Conversion	n1	Conversion	conversion	0
.	.	.	.	.	1
This	This	d	This	this	0
was	was	vbds	was	be	0
