IN	IN	p-acp	IN	in	0
reading	reading	vvg	reading	read	0
of	of	pp-f	of	of	0
Authors	Authors	n2	Authors	author	0
either	either	d	either	either	0
divine	divine	j-jn	divine	divine	0
or	or	cc	or	or	0
hu	hu	uh	hu	hu	0
∣	∣	sy	∣	∣	0
mane	mane	n1	mane	mane	0
,	,	,	,	,	0
Deare	Deare	j-jn	Dear	dear	0
Madame	Madame	n1	Madame	madam	0
,	,	,	,	,	0
men	men	n2	men	man	0
haue	haue	vhb	have	have	0
ever	ever	av	ever	ever	0
propoū	propoū	j	propon	propon	0
∣	∣	sy	∣	∣	0
ded	ded	j	dead	dead	0
to	to	p-acp	to	to	0
themselues	themselues	px32	themselves	themselves	0
diffe	diffe	n1	diffe	diffe	0
∣	∣	sy	∣	∣	0
rent	rent	n1	rend	rent	0
endes	endes	n2	ends	end	0
according	according	vvg	according	accord	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
haue	haue	vhb	have	have	0
beene	beene	vbn	been	be	0
divers	divers	j	diverse	diverse	0
∣	∣	sy	∣	∣	0
ly	ly	vvb	lie	lie	0
affected	affected	vvn	affected	affect	0
;	;	;	;	;	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
wondred	wondred	vvn	wondered	wonder	0
at	at	p-acp	at	at	0
,	,	,	,	,	0
saithSenee	saithSenee	np1	saithSenee	saithSenee	0
ep	ep	vvb	ep	ep	0
.	.	.	.	.	1
109.	109.	crd	109.	109.	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
sage	sage	j-jn	sage	sage	0
heathen	heathen	j-jn	heathen	heathen	0
,	,	,	,	,	0
sith	sith	c-acp	sith	sith	0
in	in	p-acp	in	in	0
one	one	crd	one	one	0
and	and	cc	and	and	0
the	the	dt	the	the	0
same	same	d	same	same	0
meddow	meddow	n1	meadow	meadow	0
the	the	dt	the	the	0
oxe	oxe	n1	ox	ox	0
seekes	seekes	vvz	seeks	seek	0
grasse	grasse	n1	grass	grass	0
,	,	,	,	,	0
the	the	dt	the	the	0
dogge	dogge	n1	dog	dog	0
a	a	dt	a	a	0
hare	hare	n1	hare	hare	0
,	,	,	,	,	0
the	the	dt	the	the	0
storke	storke	n1	stork	stork	0
a	a	dt	a	a	0
snake	snake	n1	snake	snake	0
or	or	cc	or	or	0
lizard	lizard	n1	lizard	lizard	0
.	.	.	.	.	1
Bernard	Bernard	np1	Bernard	Bernard	0
.	.	.	.	.	0
in	in	p-acp	in	in	0
Cantie	Cantie	np1	Cantie	Cantie	0
.	.	.	.	.	0
serm	serm	n1	sermon	sermon	0
.	.	.	.	.	1
36.	36.	crd	36.	36.	1
Bernard	Bernard	np1	Bernard	Bernard	0
the	the	dt	the	the	0
best	best	js	best	best	0
author	author	n1	author	author	0
that	that	cst	that	that	0
lived	lived	vvd	lived	live	0
in	in	p-acp	in	in	0
so	so	av	so	so	0
bad	bad	j	bad	bad	0
a	a	dt	a	a	0
time	time	n1	time	time	0
,	,	,	,	,	0
reduceth	reduceth	vvz	reduceth	reduce	0
these	these	d	these	these	0
endes	endes	n2	ends	end	0
to	to	p-acp	to	to	0
fiue	fiue	crd	fiue	five	0
.	.	.	.	.	1
There	There	pc-acp	There	there	0
are	are	vbr	are	be	0
,	,	,	,	,	0
