ALTHOVGH	ALTHOVGH	cs	ALTHOUGH	although	0
(	(	(	(	(	0
Right	Right	j-jn	Right	right	0
Honorable	Honorable	j	Honourable	honourable	0
)	)	)	)	)	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
one	one	crd	one	one	0
side	side	n1	side	side	0
the	the	dt	the	the	0
excellency	excellency	n1	excellency	excellency	0
and	and	cc	and	and	0
wor	wor	zz	wor	wor	0
∣	∣	sy	∣	∣	0
thinesse	thinesse	n1	thinesse	thinesse	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
cal	cal	vvb	call	call	0
∣	∣	sy	∣	∣	0
ling	ling	n1	ling	ling	0
telleth	telleth	vvz	telleth	tell	0
me	me	pno11	me	i	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
not	not	xx	not	not	0
presume	presume	vvi	presume	presume	0
to	to	pc-acp	to	to	0
craue	craue	vvi	crave	crave	0
defence	defence	n1	defence	defence	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
my	my	po11	my	my	0
poore	poore	j	poor	poor	0
tra	tra	fw-la	tra	tra	0
∣	∣	sy	∣	∣	0
uaile	uaile	n1	vail	vail	0
at	at	p-acp	at	at	0
your	your	po22	your	your	0
Lord	Lord	n1	Lord	lord	0
∣	∣	sy	∣	∣	0
ships	ships	n2	ships	ship	0
hands	hands	n2	hands	hand	0
:	:	:	:	:	0
and	and	cc	and	and	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
otherside	otherside	n1	otherside	otherside	0
,	,	,	,	,	0
the	the	dt	the	the	0
meanes	meanes	n2	means	mean	0
&	&	cc	&	and	0
basenesse	basenesse	n1	baseness	baseness	0
of	of	pp-f	of	of	0
mine	mine	po11	mine	my	0
owne	owne	d	own	own	0
estate	estate	n1	estate	estate	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
sort	sort	n1	sort	sort	0
feare	feare	vvb	fear	fear	0
me	me	pno11	me	i	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
without	without	p-acp	without	without	0
red	red	j-jn	read	red	0
cheekes	cheekes	n2	cheeks	cheek	0
offer	offer	vvb	offer	offer	0
so	so	av	so	so	0
small	small	j	small	small	0
a	a	dt	a	a	0
Mite	Mite	n1	Mite	mite	0
vnto	vnto	p-acp	unto	unto	0
so	so	av	so	so	0
Noble	Noble	j	Noble	noble	0
a	a	dt	a	a	0
personage	personage	n1	personage	personage	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
the	the	dt	the	the	0
common	common	j	common	common	0
report	report	n1	report	report	0
and	and	cc	and	and	0
opinion	opinion	n1	opinion	opinion	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
singuler	singuler	j	singular	singular	0
clemency	clemency	n1	clemency	clemency	0
and	and	cc	and	and	0
maruellous	maruellous	j	marvelous	marvelous	0
affection	affection	n1	affection	affection	0
towards	towards	p-acp	towards	towards	0
the	the	dt	the	the	0
aduauncement	aduauncement	n1	advancement	advancement	0
of	of	pp-f	of	of	0
good	good	j	good	good	0
letters	letters	n2	letters	letter	0
and	and	cc	and	and	0
godly	godly	j	godly	godly	0
exercises	exercises	n2	exercises	exercise	0
,	,	,	,	,	0
doe	doe	vdb	do	do	0
not	not	xx	not	not	0
a	a	dt	a	a	0
little	little	j	little	little	0
mooue	mooue	n1	move	move	0
and	and	cc	and	and	0
prouoke	prouoke	vvi	provoke	provoke	0
mee	mee	pno11	me	i	0
to	to	pc-acp	to	to	0
commit	commit	vvi	commit	commit	0
this	this	d	this	this	0
my	my	po11	my	my	0
simple	simple	j	simple	simple	0
translation	translation	n1	translation	translation	0
vnto	vnto	p-acp	unto	unto	0
your	your	po22	your	your	0
Honorable	Honorable	j	Honourable	honourable	0
protection	protection	n1	protection	protection	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
Souldier	Souldier	n1	Soldier	soldier	0
which	which	r-crq	which	which	0
hath	hath	vhz	hath	have	0
beene	beene	vbn	been	be	0
trayned	trayned	vvn	trained	train	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
long	long	j	long	long	0
time	time	n1	time	time	0
practised	practised	vvn	practised	practise	0
in	in	p-acp	in	in	0
martiall	martiall	j	martial	martial	0
feates	feates	n2	feats	feat	0
,	,	,	,	,	0
&	&	cc	&	and	0
warlike	warlike	j	warlike	warlike	0
affayres	affayres	n2	affairs	affair	0
seeketh	seeketh	vvz	seeks	seek	0
commonly	commonly	av-j	commonly	common	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
credite	credite	n1	credit	credit	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
serue	serue	vvi	serve	serve	0
vnder	vnder	p-acp	under	under	0
some	some	d	some	some	0
noble	noble	j	noble	noble	0
and	and	cc	and	and	0
valiaunt	valiaunt	j	valiant	valiant	0
Capitayne	Capitayne	n1	Captain	captain	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
experience	experience	n1	experience	experience	0
excelleth	excelleth	vvz	excels	excel	0
therein	therein	av	therein	therein	0
:	:	:	:	:	0
euen	euen	av	even	even	0
so	so	av	so	so	0
he	he	pns31	he	he	0
that	that	cst	that	that	0
hath	hath	vhz	hath	have	0
beene	beene	vbn	been	be	0
brought	brought	vvn	brought	bring	0
vp	vp	a-acp	up	up	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
studie	studie	n1	study	study	0
of	of	pp-f	of	of	0
knowlege	knowlege	n1	knowledge	knowledge	0
,	,	,	,	,	0
and	and	cc	and	and	0
meaneth	meaneth	vvz	means	mean	0
by	by	p-acp	by	by	0
manifesting	manifesting	vvg	manifesting	manifest	0
some	some	d	some	some	0
proofe	proofe	n1	proof	proof	0
to	to	p-acp	to	to	0
benefite	benefite	n1	benefit	benefit	0
his	his	po31	his	his	0
Countrie	Countrie	n1	Country	country	0
therby	therby	av	thereby	thereby	0
,	,	,	,	,	0
endeuoreth	endeuoreth	vvz	endeavoureth	endeavour	0
to	to	pc-acp	to	to	0
procure	procure	vvi	procure	procure	0
the	the	dt	the	the	0
pratronage	pratronage	n1	pratronage	pratronage	0
and	and	cc	and	and	0
defence	defence	n1	defence	defence	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
are	are	vbr	are	be	0
knowne	knowne	vvn	known	know	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
fa	fa	zz	fa	fa	0
