CHildren	CHildren	n2	CHildren	child	0
are	are	vbr	are	be	0
Parents	Parents	n2	Parents	parent	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
new	new	j	new	new	0
Edition	Edition	n1	Edition	edition	0
,	,	,	,	,	0
and	and	cc	and	and	0
who	who	r-crq	who	who	0
but	but	p-acp	but	but	0
they	they	pns32	they	they	0
should	should	vmd	should	shall	0
endeavour	endeavour	vvi	endeavour	endeavour	0
to	to	pc-acp	to	to	0
prevent	prevent	vvi	prevent	prevent	0
the	the	dt	the	the	0
Errata	Errata	fw-la	Errata	errata	0
,	,	,	,	,	0
and	and	cc	and	and	0
who	who	r-crq	who	who	0
(	(	(	(	(	0
under	under	p-acp	under	under	0
God	God	np1	God	God	0
)	)	)	)	)	0
better	better	jc	better	better	0
may	may	vmb	may	may	0
,	,	,	,	,	0
being	being	vbg	being	be	0
always	always	av	always	always	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
Minority	Minority	n1	Minority	minority	0
,	,	,	,	,	0
and	and	cc	and	and	0
ha	ha	uh	would	ha	0
∣	∣	sy	∣	∣	0
ving	ving	vhg	ving	ve	0
a	a	dt	a	a	0
Power	Power	n1	Power	power	0
over	over	p-acp	over	over	0
them	them	pno32	them	they	0
.	.	.	.	.	1
They	They	pns32	They	they	0
are	are	vbr	are	be	0
parts	parts	n2	parts	part	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
∣	∣	sy	∣	∣	0
selves	selves	n2	selves	self	0
,	,	,	,	,	0
therefore	therefore	av	therefore	therefore	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
as	as	c-acp	as	as	0
much	much	av-d	much	much	0
concern'd	concern'd	vvn	concerned	concern	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
Welfare	Welfare	n1	Welfare	welfare	0
as	as	c-acp	as	as	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
own	own	d	own	own	0
.	.	.	.	.	1
They	They	pns32	They	they	0
are	are	vbr	are	be	0
committed	committed	vvn	committed	commit	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
care	care	n1	care	care	0
,	,	,	,	,	0
and	and	cc	and	and	0
they	they	pns32	they	they	0
as	as	p-acp	as	as	0
Trustees	Trustees	n2	Trustees	trustee	0
there	there	a-acp	there	there	0
∣	∣	sy	∣	∣	0
by	by	p-acp	by	by	0
oblig'd	oblig'd	vvn	obliged	oblige	0
,	,	,	,	,	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
to	to	pc-acp	to	to	0
restore	restore	vvi	restore	restore	0
them	them	pno32	them	they	0
upon	upon	p-acp	upon	upon	0
demand	demand	n1	demand	demand	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
better	better	jc	better	better	0
than	than	cs	than	than	0
when	when	c-crq	when	when	0
receiv'd	receiv'd	vvn	received	receive	0
.	.	.	.	.	1
They	They	pns32	They	they	0
are	are	vbr	are	be	0
begot	begot	vvn	begotten	beget	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
own	own	d	own	own	0
sinful	sinful	j	sinful	sinful	0
likeness	likeness	n1	likeness	likeness	0
,	,	,	,	,	0
and	and	cc	and	and	0
derive	derive	vvb	derive	derive	0
that	that	cst	that	that	0
from	from	p-acp	from	from	0
them	them	pno32	them	they	0
which	which	r-crq	which	which	0
inclines	inclines	vvz	inclines	incline	0
and	and	cc	and	and	0
disposes	disposes	vvz	disposes	dispose	0
them	them	pno32	them	they	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
Evil	Evil	n-jn	Evil	evil	0
;	;	;	;	;	0
there	there	a-acp	there	there	0
∣	∣	sy	∣	∣	0
fore	fore	n1	before	fore	0
it	it	pn31	it	it	0
ought	ought	vmd	ought	ought	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
matter	matter	n1	matter	matter	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Sorrow	Sorrow	n1	Sorrow	sorrow	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
so	so	av	so	so	0
,	,	,	,	,	0
and	and	cc	and	and	0
no	no	dx	no	no	0
less	less	dc	less	less	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
care	care	n1	care	care	0
(	(	(	(	(	0
so	so	av	so	so	0
far	far	av-j	far	far	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
can	can	vmb	can	can	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
prevent	prevent	vvi	prevent	prevent	0
it	it	pn31	it	it	0
:	:	:	:	:	0
Did	Did	vdd	Did	do	0
they	they	pns32	they	they	0
behold	behold	vvi	behold	behold	0
the	the	dt	the	the	0
filth	filth	n1	filth	filth	0
on	on	p-acp	on	on	0
their	their	po32	their	their	0
Souls	Souls	n2	Souls	soul	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
bring	bring	vvb	bring	bring	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
World	World	n1	World	world	0
,	,	,	,	,	0
they	they	pns32	they	they	0
