INgratitude	INgratitude	n1	INgratitude	ingratitude	0
or	or	cc	or	or	0
vnthankefulnes	vnthankefulnes	n1	unthankfulness	unthankfulness	0
for	for	p-acp	for	for	0
be	be	vbi	be	be	0
∣	∣	sy	∣	∣	0
nefits	nefits	n2	nefits	nefit	0
receiued	receiued	vvd	received	receive	0
(	(	(	(	(	0
right	right	j-jn	right	right	0
worshipfull	worshipfull	j	worshipful	worshipful	0
)	)	)	)	)	0
is	is	vbz	is	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
euer	euer	av	ever	ever	0
hath	hath	vhz	hath	have	0
beene	beene	vbn	been	be	0
a	a	dt	a	a	0
thing	thing	n1	thing	thing	0
so	so	av	so	so	0
lothsom	lothsom	j	loathsome	loathsome	0
and	and	cc	and	and	0
vile	vile	j	vile	vile	0
to	to	p-acp	to	to	0
men	men	n2	men	man	0
of	of	pp-f	of	of	0
good	good	j	good	good	0
minds	minds	n2	minds	mind	0
,	,	,	,	,	0
that	that	cst	that	that	0
(	(	(	(	(	0
among	among	p-acp	among	among	0
some	some	d	some	some	0
nations	nations	n2	nations	nation	0
)	)	)	)	)	0
they	they	pns32	they	they	0
haue	haue	vhb	have	have	0
set	set	vvn	set	set	0
downe	downe	a-acp	down	down	0
lawes	lawes	n2	laws	law	0
and	and	cc	and	and	0
ordinances	ordinances	n2	ordinances	ordinance	0
to	to	pc-acp	to	to	0
punish	punish	vvi	punish	punish	0
the	the	dt	the	the	0
offenders	offenders	n2	offenders	offender	0
therein	therein	av	therein	therein	0
,	,	,	,	,	0
so	so	av	so	so	0
hard	hard	j	hard	hard	0
and	and	cc	and	and	0
sharpe	sharpe	j	sharp	sharp	0
,	,	,	,	,	0
that	that	cst	that	that	0
those	those	d	those	those	0
that	that	cst	that	that	0
haue	haue	vhb	have	have	0
beene	beene	vbn	been	be	0
found	found	vvn	found	find	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
compasse	compasse	n1	compass	compass	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
haue	haue	vhb	have	have	0
suffered	suffered	vvn	suffered	suffer	0
no	no	dx	no	no	0
lesse	lesse	dc	less	less	0
then	then	cs	then	than	0
losse	losse	n1	loss	loss	0
of	of	pp-f	of	of	0
life	life	n1	life	life	0
:	:	:	:	:	0
yea	yea	uh	yea	yea	0
more	more	dc	more	more	0
then	then	av	then	then	0
this	this	d	this	this	0
,	,	,	,	,	0
the	the	dt	the	the	0
verie	verie	j	very	very	0
brute	brute	n1	brutus	brute	0
beasts	beasts	n2	beasts	beast	0
haue	haue	vhb	have	have	0
so	so	av	so	so	0
much	much	av-d	much	much	0
loathed	loathed	vvn	loathed	loathe	0
this	this	d	this	this	0
horrible	horrible	j	horrible	horrible	0
vice	vice	n1	vice	vice	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
instincti	instincti	fw-la	instincti	instincti	0
∣	∣	sy	∣	∣	0
on	on	pi	on	one	0
