GOD	GOD	np1	GOD	God	0
requireth	requireth	vvz	requires	require	0
of	of	pp-f	of	of	0
euerie	euerie	d	every	every	0
man	man	n1	man	man	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
calling	calling	n-vvg	calling	call	0
(	(	(	(	(	0
prudent	prudent	j	prudent	prudent	0
Senators	Senators	n2	Senators	senator	0
,	,	,	,	,	0
)	)	)	)	)	0
both	both	d	both	both	0
a	a	dt	a	a	0
knowledge	knowledge	n1	knowledge	knowledge	0
&	&	cc	&	and	0
a	a	dt	a	a	0
setting	setting	n-vvg	setting	set	0
forth	forth	av	forth	forth	0
,	,	,	,	,	0
a	a	dt	a	a	0
con	con	vvi	con	con	0
∣	∣	sy	∣	∣	0
fession	fession	n1	fession	fession	0
&	&	cc	&	and	0
a	a	dt	a	a	0
protection	protection	n1	protection	protection	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
especiallie	especiallie	av-j	especially	especial	0
beecause	beecause	c-acp	because	because	0
nothing	nothing	pix	nothing	nothing	0
is	is	vbz	is	be	0
more	more	av-dc	more	more	0
excellent	excellent	j	excellent	excellent	0
than	than	cs	than	than	0
the	the	dt	the	the	0
trueth	trueth	n1	truth	truth	0
,	,	,	,	,	0
and	and	cc	and	and	0
no	no	dx	no	no	0
∣	∣	sy	∣	∣	0
thing	thing	n1	thing	thing	0
more	more	av-dc	more	more	0
pernicious	pernicious	j	pernicious	pernicious	0
than	than	cs	than	than	0
falsehode	falsehode	n1	falsehood	falsehood	0
.	.	.	.	.	1
Wherefore	Wherefore	c-crq	Wherefore	wherefore	0
in	in	p-acp	in	in	0
as	as	c-acp	as	as	0
much	much	d	much	much	0
as	as	c-acp	as	as	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
word	word	n1	word	word	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
learned	learned	vvn	learned	learn	0
,	,	,	,	,	0
what	what	q-crq	what	what	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
thought	thought	vvn	thought	think	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
exacting	exacting	vvg	exacting	exact	0
of	of	pp-f	of	of	0
Vsurie	Vsurie	n1	Usury	usury	0
