YOur	YOur	po22	YOur	your	0
late	late	j	late	late	0
respects	respects	n2	respects	respect	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
have	have	vhb	have	have	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
manded	manded	vvd	manded	mand	0
my	my	po11	my	my	0
Soul	Soul	n1	Soul	soul	0
to	to	pc-acp	to	to	0
serve	serve	vvi	serve	serve	0
you	you	pn22	you	you	0
:	:	:	:	:	0
and	and	cc	and	and	0
knowing	knowing	vvg	knowing	know	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
aswell	aswell	av	aswell	aswell	0
a	a	dt	a	a	0
Philoso	Philoso	np1	Philoso	Philoso	0
∣	∣	sy	∣	∣	0
pher	pher	n1	pher	pher	0
and	and	cc	and	and	0
Learned	Learned	j	Learned	learned	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
Souldier	Souldier	n1	Soldier	soldier	0
that	that	cst	that	that	0
can	can	vmb	can	can	0
command	command	vvi	command	command	0
Armies	Armies	n2	Armies	army	0
of	of	pp-f	of	of	0
orse	orse	n1	orse	orse	0
and	and	cc	and	and	0
Foot	Foot	n1	Foot	foot	0
into	into	p-acp	into	into	0
good	good	j	good	good	0
order	order	n1	order	order	0
for	for	p-acp	for	for	0
War	War	n1	War	war	0
;	;	;	;	;	0
I	I	pns11	I	i	0
there	there	a-acp	there	there	0
∣	∣	sy	∣	∣	0
fore	fore	av	before	fore	0
humbly	humbly	av-j	humbly	humble	0
present	present	vvi	present	present	0
this	this	d	this	this	0
little	little	j	little	little	0
Piece	Piece	n1	Piece	piece	0
of	of	pp-f	of	of	0
Philoso	Philoso	np1	Philoso	Philoso	0
∣	∣	sy	∣	∣	0
phy	phy	uh	phy	phy	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
pleasure	pleasure	n1	pleasure	pleasure	0
:	:	:	:	:	0
As	As	c-acp	As	as	0
the	the	dt	the	the	0
Book	Book	n1	Book	book	0
is	is	vbz	is	be	0
Art	Art	n1	Art	art	0
and	and	cc	and	and	0
ature	ature	n1	ature	ature	0
united	united	vvn	united	unite	0
to	to	pc-acp	to	to	0
serve	serve	vvi	serve	serve	0
you	you	pn22	you	you	0
,	,	,	,	,	0
so	so	av	so	so	0
the	the	dt	the	the	0
Epistle	Epistle	n1	Epistle	epistle	0
may	may	vmb	may	may	0
ake	ake	vvi	ache	ache	0
you	you	pn22	you	you	0
merry	merry	j	merry	merry	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
great	great	j	great	great	0
power	power	n1	power	power	0
of	of	pp-f	of	of	0
Natural	Natural	j	Natural	natural	0
ings	ings	n2	ings	ing	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
you	you	pn22	you	you	0
know	know	vvb	know	know	0
they	they	pns32	they	they	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
work	work	vvi	work	work	0
upon	upon	p-acp	upon	upon	0
all	all	d	all	all	0
things	things	n2	things	thing	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
neer	neer	av-j	near	near	0
them	them	pno32	them	they	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
Vertue	Vertue	n1	Virtue	virtue	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
so	so	av	so	so	0
besides	besides	p-acp	beside	beside	0
this	this	d	this	this	0
,	,	,	,	,	0
they	they	pns32	they	they	0
infuse	infuse	vvb	infuse	infuse	0
into	into	p-acp	into	into	0
them	them	pno32	them	they	0
a	a	dt	a	a	0
like	like	j	like	like	0
ower	ower	zz	ower	ower	0
,	,	,	,	,	0
through	through	p-acp	through	through	0
which	which	r-crq	which	which	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
same	same	d	same	same	0
Vertue	Vertue	n1	Virtue	virtue	0
they	they	pns32	they	they	0
so	so	av	so	so	0
work	work	vvi	work	work	0
upon	upon	p-acp	upon	upon	0
other	other	j-jn	other	other	0
things	things	n2	things	thing	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Load	Load	n1	Load	load	0
∣	∣	sy	∣	∣	0
one	one	crd	one	one	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
stone	stone	n1	stone	stone	0
doth	doth	vdz	does	do	0
