Christian	Christian	np1	Christian	Christian	0
Reader	Reader	n1	Reader	reader	0
,	,	,	,	,	0
ANother	ANother	j-jn	ANother	another	0
Letter	Letter	n1	Letter	letter	0
coming	coming	vvg	coming	come	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
hands	hands	n2	hands	hand	0
subcribed	subcribed	vvn	subscribed	subscribe	0
J.	J.	np1	J.	J.	0
T.	T.	np1	T.	T.	0
the	the	dt	the	the	0
tendency	tendency	n1	tendency	tendency	0
thereof	thereof	av	thereof	thereof	0
being	being	vbg	being	be	0
to	to	p-acp	to	to	0
beget	beget	vvi	beget	beget	0
a	a	dt	a	a	0
dislike	dislike	n1	dislike	dislike	0
in	in	p-acp	in	in	0
R.	R.	np1	R.	R.	0
L.	L.	np1	L.	L.	0
(	(	(	(	(	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
writ	writ	vvn	writ	write	0
)	)	)	)	)	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Principles	Principles	n2	Principles	principle	0
of	of	pp-f	of	of	0
Truth	Truth	n1	Truth	truth	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
prosessed	prosessed	j-vvn	processed	process	0
by	by	p-acp	by	by	0
us	us	pno12	us	we	0
the	the	av	the	then	0
truly	truly	av-j	truly	true	0
reformed	reformed	vvd	reformed	reform	0
Christians	Christians	np1	Christians	Christians	0
,	,	,	,	,	0
called	called	vvn	called	call	0
Qua	Qua	fw-la	Qua	qua	0
∣	∣	sy	∣	∣	0
kers	kers	n1	kers	kers	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
prevent	prevent	vvi	prevent	prevent	0
the	the	dt	the	the	0
writing	writing	n-vvg	writing	write	0
of	of	pp-f	of	of	0
more	more	av-dc	more	more	0
such	such	d	such	such	0
,	,	,	,	,	0
occasion'd	occasion'd	vvn	occasioned	occasion	0
our	our	po12	our	our	0
making	making	vvg	making	make	0
thus	thus	av	thus	thus	0
publick	publick	j	public	public	0
the	the	dt	the	the	0
following	following	vvg	following	follow	0
Answer	Answer	n1	Answer	answer	0
to	to	p-acp	to	to	0
Priest	Priest	n1	Priest	priest	0
Potts's	Potts's	ng1	Potts's	potts	0
Letter	Letter	n1	Letter	letter	0
;	;	;	;	;	0
and	and	cc	and	and	0
the	the	dt	the	the	0
rather	rather	av-c	rather	rather	0
,	,	,	,	,	0
understanding	understanding	vvg	understanding	understand	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
J.	J.	np1	J.	J.	0
T.	T.	np1	T.	T.	0
saw	saw	vvd	saw	see	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
takes	takes	vvz	takes	take	0
no	no	dx	no	no	0
notice	notice	n1	notice	notice	0
thereof	thereof	av	thereof	thereof	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
