LOve	LOve	n1	LOve	love	0
among	among	p-acp	among	among	0
the	the	dt	the	the	0
Ancients	Ancients	n2-j	Ancients	ancient	0
was	was	vbds	was	be	0
pourtrayed	pourtrayed	vvn	portrayed	portray	0
and	and	cc	and	and	0
sha	sha	vmb	sha	shall	0
∣	∣	sy	∣	∣	0
dowed	dowed	vvd	dowed	dow	0
out	out	av	out	out	0
by	by	p-acp	by	by	0
,	,	,	,	,	0
and	and	cc	and	and	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
image	image	n1	image	image	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
woman	woman	n1	woman	woman	0
cloathed	cloathed	vvn	clothed	clothe	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
greene	greene	j-jn	green	green	0
gar	gar	uh	gar	gar	0
∣	∣	sy	∣	∣	0
ment	ment	fw-la	ment	ment	0
,	,	,	,	,	0
having	having	vhg	having	have	0
written	written	vvn	written	write	0
in	in	p-acp	in	in	0
her	her	po31	her	her	0
forehead	forehead	n1	forehead	forehead	0
,	,	,	,	,	0
Procul	Procul	fw-la	Procul	procul	0
&	&	cc	&	and	0
Propè	Propè	fw-la	Propè	propè	0
,	,	,	,	,	0
afarre	afarre	av	afar	afar	0
off	off	a-acp	off	off	0
,	,	,	,	,	0
and	and	cc	and	and	0
neere	neere	av-j	near	near	0
at	at	p-acp	at	at	0
hand	hand	n1	hand	hand	0
;	;	;	;	;	0
in	in	p-acp	in	in	0
her	her	po31	her	her	0
breast	breast	n1	breast	breast	0
,	,	,	,	,	0
Mors	Mors	fw-la	Mors	mors	0
&	&	cc	&	and	0
vita	vita	fw-la	vita	vita	0
,	,	,	,	,	0
life	life	n1	life	life	0
and	and	cc	and	and	0
death	death	n1	death	death	0
;	;	;	;	;	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
hemme	hemme	n1	hem	hem	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
garment	garment	n1	garment	garment	0
,	,	,	,	,	0
Hyems	Hyems	np1	Hyems	Hiems	0
&	&	cc	&	and	0
aestas	aestas	fw-la	aestas	aestas	0
,	,	,	,	,	0
winter	winter	n1	winter	winter	0
and	and	cc	and	and	0
summer	summer	n1	summer	summer	0
;	;	;	;	;	0
in	in	p-acp	in	in	0
her	her	po31	her	her	0
side	side	n1	side	side	0
,	,	,	,	,	0
Vulnus	Vulnus	fw-la	Vulnus	vulnus	0
apertum	apertum	fw-la	apertum	apertum	0
,	,	,	,	,	0
an	an	dt	and	a	0
open	open	j	open	open	0
wound	wound	n1	wound	wound	0
,	,	,	,	,	0
thorough	thorough	p-acp	through	through	0
which	which	r-crq	which	which	0
her	her	po31	her	her	0
heart	heart	n1	heart	heart	0
within	within	a-acp	within	within	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
seen	seen	vvn	seen	see	0
.	.	.	.	.	1
My	My	po11	My	my	0
love	love	n1	love	love	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
(	(	(	(	(	0
farre	farre	av-j	far	far	0
from	from	p-acp	from	from	0
me	me	pno11	me	i	0
be	be	vbi	be	be	0
all	all	av-d	all	all	0
base	base	j	base	base	0
flatte	flatte	n1	flat	flat	0
∣	∣	sy	∣	∣	0
ry	ry	zz	ry	ry	0
and	and	cc	and	and	0
selfe-commendation	selfe-commendation	n1	selfe-commendation	selfe-commendation	0
)	)	)	)	)	0
hath	hath	vhz	hath	have	0
beene	beene	vbn	been	be	0
very	very	av	very	very	0
fervent	fervent	j	fervent	fervent	0
,	,	,	,	,	0
like	like	av-j	like	like	0
the	the	dt	the	the	0
love	love	n1	love	love	0
of	of	pp-f	of	of	0
women	women	n2	women	woman	0
;	;	;	;	;	0
greene	greene	j-jn	green	green	0
,	,	,	,	,	0
and	and	cc	and	and	0
ne	ne	zz	ne	ne	0
∣	∣	sy	∣	∣	0
ver	ver	p-acp	for	for	0
withering	withering	vvg	withering	wither	0
,	,	,	,	,	0
alwayes	alwayes	av	always	always	0
fresh	fresh	j	fresh	fresh	0
and	and	cc	and	and	0
flourishing	flourishing	j-vvg	flourishing	flourish	0
;	;	;	;	;	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
while	while	cs	while	while	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
present	present	j	present	present	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
since	since	c-acp	since	since	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
absent	absent	j	absent	absent	0
from	from	p-acp	from	from	0
you	you	pn22	you	you	0
,	,	,	,	,	0
the	the	dt	the	the	0
sense	sense	n1	sense	sense	0
at	at	p-acp	at	at	0
least	least	ds	least	least	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
love	love	n1	love	love	0
hath	hath	vhz	hath	have	0
beene	beene	vbn	been	be	0
more	more	av-dc	more	more	0
abundant	abundant	j	abundant	abundant	0
towards	towards	p-acp	towards	towards	0
you	you	pn22	you	you	0
:	:	:	:	:	0
such	such	d	such	such	0
hath	hath	vhz	hath	have	0
been	been	vbn	been	be	0
my	my	po11	my	my	0
love	love	n1	love	love	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
were	were	vbdr	were	be	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
heart	heart	n1	heart	heart	0
to	to	pc-acp	to	to	0
live	live	vvi	live	live	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
dye	dye	vvi	die	dye	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
:	:	:	:	:	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
willingly	willingly	av-j	willingly	willing	0
in	in	p-acp	in	in	0
winter	winter	n1	winter	winter	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
summer	summer	n1	summer	summer	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
changes	changes	n2	changes	change	0
,	,	,	,	,	0
have	have	vhb	have	have	0
continued	continued	vvn	continued	continue	0
your	your	po22	your	your	0
servant	servant	n1	servant	servant	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Jacob	Jacob	np1	Jacob	Jacob	0
served	served	vvd	served	serve	0
Labans	Labans	npg1	Labans	Laban	0
flock	flock	n1	flock	flock	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
heat	heat	n1	heat	heat	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
cold	cold	j-jn	cold	cold	0
:	:	:	:	:	0
My	My	po11	My	my	0
heart	heart	n1	heart	heart	0
is	is	vbz	is	be	0
open	open	j	open	open	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
Bridegroomes	Bridegroomes	ng1	Bridegrooms	bridegroom	0
heart	heart	n1	heart	heart	0
and	and	cc	and	and	0
house	house	n1	house	house	0
is	is	vbz	is	be	0
open	open	j	open	open	0
to	to	pc-acp	to	to	0
receive	receive	vvi	receive	receive	0
the	the	dt	the	the	0
Bride	Bride	n1	Bride	bride	0
;	;	;	;	;	0
and	and	cc	and	and	0
had	had	vhd	had	have	0
your	your	po22	your	your	0
former	former	j	former	former	0
beene	beene	vbi	been	be	0
like	like	av-j	like	like	0
the	the	dt	the	the	0
last	last	ord	last	last	0
manife	manife	n1	manife	manife	0
∣	∣	sy	∣	∣	0
stations	stations	n2	stations	station	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
love	love	n1	love	love	0
towards	towards	p-acp	towards	towards	0
me	me	pno11	me	i	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
assured	assured	vvn	assured	assure	0
all	all	d	all	all	0
the	the	dt	the	the	0
proffers	proffers	n2	proffers	proffer	0
and	and	cc	and	and	0
perswasions	perswasions	n2	persuasions	persuasion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
should	should	vmd	should	shall	0
never	never	av-x	never	never	0
have	have	vhi	have	have	0
drawne	drawne	vvn	drawn	draw	0
me	me	pno11	me	i	0
from	from	p-acp	from	from	0
you	you	pn22	you	you	0
.	.	.	.	.	1
Great	Great	j	Great	great	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
power	power	n1	power	power	0
and	and	cc	and	and	0
strength	strength	n1	strength	strength	0
of	of	pp-f	of	of	0
affection	affection	n1	affection	affection	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
which	which	r-crq	which	which	0
faithfull	faithfull	j	faithful	faithful	0
Ministers	Ministers	n2	Ministers	minister	0
love	love	vvb	love	love	0
the	the	dt	the	the	0
