IF	IF	cs	IF	if	0
the	the	dt	the	the	0
children	children	n2	children	child	0
of	of	pp-f	of	of	0
Ruben	Ruben	np1	Ruben	Ruben	0
and	and	cc	and	and	0
Gad	Gad	np1	Gad	Gad	0
,	,	,	,	,	0
Numb	Numb	vvb	Numb	numb	0
31.21	31.21	crd	31.21	31.21	0
,	,	,	,	,	0
2	2	crd	2	2	0
might	might	n1	might	might	0
not	not	xx	not	not	0
setle	setle	vvi	settle	settle	0
thēselues	thēselues	px32	themselves	themselves	0
to	to	p-acp	to	to	0
rest	rest	n1	rest	rest	0
&	&	cc	&	and	0
ease	ease	vvi	ease	ease	0
til	til	p-acp	till	till	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
had	had	vhd	had	have	0
cast	cast	vvn	cast	cast	0
out	out	av	out	out	0
his	his	po31	his	his	0
enemies	enemies	n2	enemies	enemy	0
frō	frō	p-acp	from	from	0
his	his	po31	his	his	0
sight	sight	n1	sighed	sight	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
should	should	vmd	should	shall	0
sinne	sinne	vvi	sin	sin	0
a	a	dt	a	a	0
∣	∣	sy	∣	∣	0
gainst	gainst	p-acp	gainst	against	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
and	and	cc	and	and	0
their	their	po32	their	their	0
sinne	sinne	n1	sin	sin	0
should	should	vmd	should	shall	0
finde	finde	vvi	find	find	0
them	them	pno32	them	they	0
out	out	av	out	out	0
:	:	:	:	:	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
great	great	j	great	great	0
reason	reason	n1	reason	reason	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
that	that	cst	that	that	0
haue	haue	vhb	have	have	0
one	one	crd	one	one	0
inheritance	inheritance	n1	inheritance	inheritance	0
promised	promised	vvd	promised	promise	0
,	,	,	,	,	0
should	should	vmd	should	shall	0
take	take	vvi	take	take	0
paines	paines	n2	pains	pain	0
together	together	av	together	together	0
to	to	pc-acp	to	to	0
get	get	vvi	get	get	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
and	and	cc	and	and	0
put	put	vvd	put	put	0
from	from	p-acp	from	from	0
it	it	pn31	it	it	0
their	their	po32	their	their	0
common	common	j	common	common	0
enemies	enemies	n2	enemies	enemy	0
)	)	)	)	)	0
then	then	av	then	then	0
how	how	c-crq	how	how	0
much	much	av-d	much	much	0
more	more	av-dc	more	more	0
shal	shal	vmb	shall	shall	0
God	God	np1	God	God	0
finde	finde	vvi	find	find	0
vs	vs	pno12	us	we	0
guiltie	guiltie	j	guilty	guilty	0
,	,	,	,	,	0
if	if	cs	if	if	0
so	so	av	so	so	0
many	many	d	many	many	0
and	and	cc	and	and	0
mighty	mighty	j	mighty	mighty	0
ene	ene	fw-mi	ene	ene	0
∣	∣	sy	∣	∣	0
mies	mies	np2-n	mies	mie	0
,	,	,	,	,	0
seeking	seeking	vvg	seeking	seek	0
by	by	p-acp	by	by	0
al	al	d	all	all	0
meanes	meanes	n2	means	mean	0
possible	possible	j	possible	possible	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
keepe	keepe	vvi	keep	keep	0
vs	vs	pno12	us	we	0
and	and	cc	and	and	0
our	our	po12	our	our	0
brethren	brethren	n2	brothers	brethren	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
possession	possession	n1	possession	possession	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
trueth	trueth	n1	truth	truth	0
here	here	av	here	here	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
from	from	p-acp	from	from	0
that	that	cst	that	that	0
spiritual	spiritual	j	spiritual	spiritual	0
Canaan	Canaan	np1	Canaan	Canaan	0
,	,	,	,	,	0
and	and	cc	and	and	0
heauenly	heauenly	j	heavenly	heavenly	0
Ierusalem	Ierusalem	np1	Ierusalem	Jerusalem	0
else-where	else-where	av	elsewhere	elsewhere	0
,	,	,	,	,	0
we	we	pns12	we	we	0
seeking	seeking	vvg	seeking	seek	0
our	our	po12	our	our	0
qui	qui	fw-fr	qui	qui	0
∣	∣	sy	∣	∣	0
et	et	fw-fr	et	et	0
estate	estate	n1	estate	estate	0
,	,	,	,	,	0
and	and	cc	and	and	0
contenting	contenting	vvg	contenting	content	0
our	our	po12	our	our	0
selues	selues	n2	selves	self	0
with	with	p-acp	with	with	0
our	our	po12	our	our	0
owne	owne	d	own	own	0
happy	happy	j	happy	happy	0
life	life	n1	life	life	0
,	,	,	,	,	0
do	do	vdb	do	do	0
not	not	xx	not	not	0
our	our	po12	our	our	0
indeuour	indeuour	n1	endeavour	endeavour	0
to	to	pc-acp	to	to	0
scatter	scatter	vvi	scatter	scatter	0
and	and	cc	and	and	0
confound	confound	vvi	confound	confound	0
according	according	vvg	according	accord	0
vnto	vnto	p-acp	unto	unto	0
our	our	po12	our	our	0
place	place	n1	place	place	0
and	and	cc	and	and	0
calling	calling	n1	calling	calling	0
,	,	,	,	,	0
the	the	dt	the	the	0
common	common	j	common	common	0
enemies	enemies	n2	enemies	enemy	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
saluation	saluation	n1	salvation	salvation	0
.	.	.	.	.	1
When	When	c-crq	When	when	0
the	the	dt	the	the	0
children	children	n2	children	child	0
of	of	pp-f	of	of	0
Ruben	Ruben	np1	Ruben	Ruben	0
and	and	cc	and	and	0
Gad	Gad	np1	Gad	Gad	0
,	,	,	,	,	0
Iosh.	Iosh.	np1	Iosh.	Iosh.	0
22.1	22.1	crd	22.1	22.1	0
and	and	cc	and	and	0
the	the	dt	the	the	0
halfe	halfe	j-jn	half	half	0
tribe	tribe	n1	tribe	tribe	0
of	of	pp-f	of	of	0
Ma	Ma	fw-fr	Ma	ma	0
∣	∣	sy	∣	∣	0
nasseh	nasseh	n1	nasseh	nasseh	0
,	,	,	,	,	0
had	had	vhd	had	have	0
builded	builded	vvn	built	build	0
them	them	pno32	them	they	0
an	an	dt	and	a	0
altar	altar	n1	altar	altar	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
countrey	countrey	n1	country	country	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
membrance	membrance	n1	membrance	membrance	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
accounted	accounted	vvn	accounted	account	0
Israelites	Israelites	np1	Israelites	Israelites	0
,	,	,	,	,	0
although	although	cs	although	although	0
Iordan	Iordan	np1	Iordan	Jordan	0
parted	parted	vvd	parted	part	0
them	them	pno32	them	they	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
tribes	tribes	n2	tribes	tribe	0
,	,	,	,	,	0
and	and	cc	and	and	0
