SEEING	SEEING	vvg	SEEING	see	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
plea	plea	n1	plea	plea	0
∣	∣	sy	∣	∣	0
sed	sed	fw-la	sed	sed	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
great	great	j	great	great	0
mercie	mercie	n1	mercy	mercy	0
,	,	,	,	,	0
and	and	cc	and	and	0
goodnes	goodnes	n1	goodness	goodness	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
vouchsafe	vouchsafe	vvi	vouchsafe	vouchsafe	0
vnto	vnto	p-acp	unto	unto	0
vs	vs	pno12	us	we	0
that	that	d	that	that	0
inestimable	inestimable	j	inestimable	inestimable	0
treasure	treasure	n1	treasure	treasure	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
holy	holy	j	holy	holy	0
word	word	n1	word	word	0
:	:	:	:	:	0
the	the	dt	the	the	0
preciousnes	preciousnes	n1	preciousness	preciousness	0
where	where	c-crq	where	where	0
∣	∣	sy	∣	∣	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
surmounteth	surmounteth	vvz	surmounteth	surmount	0
all	all	d	all	all	0
things	things	n2	things	thing	0
vnder	vnder	p-acp	under	under	0
the	the	dt	the	the	0
sunne	sunne	n1	sun	sun	0
:	:	:	:	:	0
wherein	wherein	c-crq	wherein	wherein	0
he	he	pns31	he	he	0
doth	doth	vdz	does	do	0
offer	offer	vvi	offer	offer	0
,	,	,	,	,	0
euen	euen	av	even	even	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
selfe	selfe	n1	self	self	0
vnto	vnto	p-acp	unto	unto	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
and	and	cc	and	and	0
teacheth	teacheth	vvz	teaches	teach	0
vs	vs	pno12	us	we	0
the	the	dt	the	the	0
way	way	n1	way	way	0
whereby	whereby	c-crq	whereby	whereby	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
come	come	vvi	come	come	0
vnto	vnto	p-acp	unto	unto	0
him	him	pno31	him	he	0
:	:	:	:	:	0
it	it	pn31	it	it	0
behoueth	behoueth	vvz	behooves	behoove	0
vs	vs	pno12	us	we	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
reuerence	reuerence	n1	reverence	reverence	0
,	,	,	,	,	0
and	and	cc	and	and	0
feare	feare	n1	fear	fear	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
imbrace	imbrace	vvi	embrace	embrace	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
preferring	preferring	vvg	preferring	prefer	0
it	it	pn31	it	it	0
before	before	p-acp	before	before	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
can	can	vmb	can	can	0
desire	desire	vvi	desire	desire	0
vp	vp	p-acp	up	up	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
earth	earth	n1	earth	earth	0
.	.	.	.	.	1
And	And	cc	And	and	0
forasmuch	forasmuch	av	forasmuch	forasmuch	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
pleased	pleased	vvn	pleased	please	0
him	him	pno31	him	he	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
put	put	vvi	put	put	0
that	that	cst	that	that	0
precious	precious	j	precious	precious	0
