FOrasmuch	FOrasmuch	av	FOrasmuch	forasmuch	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
plea	plea	n1	plea	plea	0
∣	∣	sy	∣	∣	0
sed	sed	zz	sed	sed	0
almightie	almightie	j-jn	almighty	almighty	0
God	God	n1	God	god	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
infinite	infinite	j	infinite	infinite	0
goodnesse	goodnesse	n1	goodness	goodness	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
giue	giue	vvi	give	give	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
glorious	glorious	j	glorious	glorious	0
Gospell	Gospell	n1	Gospel	gospel	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
eternall	eternall	j	eternal	eternal	0
sonne	sonne	n1	son	son	0
,	,	,	,	,	0
so	so	av	so	so	0
long	long	av-j	long	long	0
&	&	cc	&	and	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
sperous	sperous	j	sperous	sperous	0
successe	successe	n1	success	success	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
our	our	po12	our	our	0
Coun	Coun	vvb	Con	con	0
∣	∣	sy	∣	∣	0
trie	trie	vvi	try	try	0
;	;	;	;	;	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
now	now	av	now	now	0
time	time	n1	time	time	0
(	(	(	(	(	0
right	right	j-jn	right	right	0
Honorable	Honorable	j	Honourable	honourable	0
and	and	cc	and	and	0
my	my	po11	my	my	0
verie	verie	j	very	very	0
good	good	j	good	good	0
Ladie	Ladie	n1	Lady	lady	0
)	)	)	)	)	0
for	for	p-acp	for	for	0
euerie	euerie	d	every	every	0
one	one	pi	one	one	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
true	true	j	true	true	0
professor	professor	n1	professor	professor	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
all	all	d	all	all	0
carnall	carnall	j	carnal	carnal	0
perswasions	perswasions	n2	persuasions	persuasion	0
of	of	pp-f	of	of	0
hu	hu	uh	hu	hu	0
∣	∣	sy	∣	∣	0
mane	mane	n1	mane	mane	0
reason	reason	n1	reason	reason	0
deluding	deluding	vvg	deluding	delude	0
the	the	dt	the	the	0
soule	soule	n1	soul	soul	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
ing	ing	zz	ing	ing	0
set	set	vvd	set	set	0
aside	aside	av	aside	aside	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
prepare	prepare	vvi	prepare	prepare	0
our	our	po12	our	our	0
selues	selues	n2	selves	self	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
trial	trial	n1	trial	trial	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
although	although	cs	although	although	0
it	it	pn31	it	it	0
plea	plea	n1	plea	plea	0
∣	∣	sy	∣	∣	0
seth	seth	vvz	seth	se	0
God	God	np1	God	God	0
sometimes	sometimes	av	sometime	sometime	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
gathe	gathe	n1	gathe	gathe	0
∣	∣	sy	∣	∣	0
ring	ring	n1	ring	ring	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
giue	giue	vvi	give	give	0
vnto	vnto	p-acp	unto	unto	0
it	it	pn31	it	it	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
Halcyon	Halcyon	n1	Halcyon	halcyon	0
daies	daies	n2	days	day	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
com	com	vvi	come	come	0
∣	∣	sy	∣	∣	0
mon	mon	fw-fr	mon	mon	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
should	should	vmd	should	shall	0
any	any	av-d	any	any	0
long	long	av-j	long	long	0
time	time	n1	time	time	0
continue	continue	vvi	continue	continue	0
in	in	p-acp	in	in	0
rest	rest	n1	rest	rest	0
and	and	cc	and	and	0
pleasure	pleasure	n1	pleasure	pleasure	0
.	.	.	.	.	1
Nay	Nay	uh-x	Nay	nay	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
word	word	n1	word	word	0
of	of	pp-f	of	of	0
GOD	GOD	np1	GOD	God	0
wee	wee	pns12	we	we	0
know	know	vvb	know	know	0
,	,	,	,	,	0
&	&	cc	&	and	0
by	by	p-acp	by	by	0
experience	experience	n1	experience	experience	0
sometimes	sometimes	av	sometime	sometime	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
selues	selues	n2	selves	self	0
(	(	(	(	(	0
her	her	po31	her	her	0
Maiesties	Maiesties	n2	Majesties	majesty	0
royall	royall	j	royal	royal	0
person	person	n1	person	person	0
not	not	xx	not	not	0
excepted	excepted	vvn	excepted	except	0
)	)	)	)	)	0
and	and	cc	and	and	0
now	now	av	now	now	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
neighbours	neighbours	n2	neighbours	neighbour	0
round	round	av-j	round	round	0
about	about	p-acp	about	about	0
vs	vs	pno12	us	we	0
we	we	pns12	we	we	0
see	see	vvi	see	see	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
world	world	n1	world	world	0
,	,	,	,	,	0
