AS	AS	p-acp	AS	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
chiefely	chiefely	av-jn	chiefly	chief	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
profit	profit	n1	profit	profit	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
write	write	vvb	write	write	0
;	;	;	;	;	0
so	so	av	so	so	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
,	,	,	,	,	0
that	that	cst	that	that	0
though	though	cs	though	though	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
condemned	condemned	vvn	condemned	condemn	0
of	of	pp-f	of	of	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
gain	gain	vvi	gain	gain	0
your	your	po22	your	your	0
pardon	pardon	n1	pardon	pardon	0
.	.	.	.	.	1
I	I	pns11	I	i	0
confesse	confesse	vvb	confess	confess	0
my	my	po11	my	my	0
la	la	uh	la	la	0
∣	∣	sy	∣	∣	0
bour	bour	uh	bour	bour	0
may	may	vmb	may	may	0
seeme	seeme	vvi	seem	seem	0
needlesse	needlesse	j	needless	needless	0
,	,	,	,	,	0
after	after	c-acp	after	after	0
so	so	av	so	so	0
many	many	d	many	many	0
learned	learned	j	learned	learned	0
Authots	Authots	n2	Authots	authot	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
forth	forth	av	forth	forth	0
a	a	av	a	a	0
∣	∣	sy	∣	∣	0
ny	ny	av	nigh	nigh	0
thing	thing	n1	thing	thing	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
subject	subject	n-jn	subject	subject	0
.	.	.	.	.	1
And	And	cc	And	and	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
accounted	accounted	vvn	accounted	account	0
a	a	dt	a	a	0
presumptious	presumptious	j	presumptuous	presumptuous	0
folly	folly	n1	folly	folly	0
for	for	p-acp	for	for	0
any	any	d	any	any	0
to	to	pc-acp	to	to	0
goe	goe	vvi	go	go	0
about	about	a-acp	about	about	0
to	to	pc-acp	to	to	0
teach	teach	vvi	teach	teach	0
Sea-men	Sea-men	n2	Seamen	seaman	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
Art	Art	n1	Art	art	0
,	,	,	,	,	0
especially	especially	av-j	especially	especial	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
times	times	n2	times	time	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
there	there	pc-acp	there	there	0
were	were	vbdr	were	be	0
never	never	av-x	never	never	0
more	more	av-dc	more	more	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
more	more	av-dc	more	more	0
skilfull	skilfull	j	skilful	skilful	0
Sea	Sea	n1	Sea	sea	0
∣	∣	sy	∣	∣	0
men	men	n1	men	man	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
in	in	p-acp	in	in	0
answer	answer	n1	answer	answer	0
hereto	hereto	av	hereto	hereto	0
take	take	vvi	take	take	0
notice	notice	n1	notice	notice	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
conside	conside	av-an	conside	conside	0
∣	∣	sy	∣	∣	0
rations	rations	j	rations	rations	0
.	.	.	.	.	1
First	First	ord	First	first	0
,	,	,	,	,	0
That	That	cst	That	that	0
many	many	d	many	many	0
Books	Books	n2	Books	book	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
subject	subject	n-jn	subject	subject	0
,	,	,	,	,	0
though	though	cs	though	though	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
plain	plain	j	plain	plain	0
and	and	cc	and	and	0
easie	easie	j	easy	easy	0
for	for	p-acp	for	for	0
all	all	d	all	all	0
Sea-men	Sea-men	n2	Seamen	seaman	0
to	to	pc-acp	to	to	0
understand	understand	vvi	understand	understand	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
so	so	av	so	so	0
exact	exact	j	exact	exact	0
and	and	cc	and	and	0
perfect	perfect	j	perfect	perfect	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
things	things	n2	things	thing	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
ought	ought	vmd	ought	ought	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
.	.	.	.	.	1
Secondly	Secondly	ord	Secondly	second	0
;	;	;	;	;	0
That	That	d	That	that	0
though	though	c-acp	though	though	0
Mr.	Mr.	n1	Mr.	mr.	0
Wright	Wright	np1	Wright	Wright	0
