Friends	Friends	ng1	Friends	friend	0
and	and	cc	and	and	0
Enemies	Enemies	n2	Enemies	enemy	0
.	.	.	.	.	1
THat	THat	cst	THat	that	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
transactions	transactions	n2	transactions	transaction	0
that	that	cst	that	that	0
have	have	vhb	have	have	0
past	past	vvn	passed	pass	0
between	between	p-acp	between	between	0
me	me	pno11	me	i	0
and	and	cc	and	and	0
my	my	po11	my	my	0
adversaries	adversaries	n2	adversaries	adversary	0
may	may	vmb	may	may	0
appear	appear	vvi	appear	appear	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
desire	desire	n1	desire	desire	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
people	people	n1	people	people	0
here	here	av	here	here	0
published	published	vvn	published	publish	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
Narrative	Narrative	j-jn	Narrative	narrative	0
of	of	pp-f	of	of	0
what	what	r-crq	what	what	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
dividing	dividing	vvg	dividing	divide	0
times	times	n2	times	time	0
hath	hath	vhz	hath	have	0
done	done	vdn	done	do	0
,	,	,	,	,	0
and	and	cc	and	and	0
will	will	vmb	will	will	0
do	do	vdi	do	do	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
encrease	encrease	n1	increase	increase	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
manifestation	manifestation	n1	manifestation	manifestation	0
of	of	pp-f	of	of	0
truth	truth	n1	truth	truth	0
a	a	sy	a	a	0
∣	∣	sy	∣	∣	0
mongst	mongst	p-acp	amongst	among	0
men	men	n2	men	man	0
,	,	,	,	,	0
that	that	cst	that	that	0
through	through	p-acp	through	through	0
much	much	d	much	much	0
opposition	opposition	n1	opposition	opposition	0
by	by	p-acp	by	by	0
men	men	n2	men	man	0
living	living	vvg	living	live	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
lye	lye	n1	lie	lie	0
,	,	,	,	,	0
against	against	p-acp	against	against	0
those	those	d	those	those	0
who	who	r-crq	who	who	0
live	live	vvb	live	live	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
made	made	vvn	made	make	0
mani	mani	fw-la	mani	mani	0
∣	∣	sy	∣	∣	0
fest	fest	n1	fist	fist	0
;	;	;	;	;	0
concerning	concerning	vvg	concerning	concern	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
not	not	xx	not	not	0
thought	thought	vvn	thought	think	0
my	my	po11	my	my	0
life	life	n1	life	life	0
too	too	av	too	too	0
dear	dear	j-jn	dear	dear	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
parted	parted	vvn	parted	part	0
with	with	p-acp	with	with	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
with	with	p-acp	with	with	0
much	much	d	much	much	0
zeal	zeal	n1	zeal	zeal	0
and	and	cc	and	and	0
love	love	n1	love	love	0
both	both	av-d	both	both	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
and	and	cc	and	and	0
all	all	d	all	all	0
people	people	n1	people	people	0
have	have	vhb	have	have	0
I	I	pns11	I	i	0
been	been	vbn	been	be	0
carried	carried	vvn	carried	carry	0
on	on	a-acp	on	on	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
vindicate	vindicate	vvi	vindicate	vindicate	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
of	of	pp-f	of	of	0
what	what	r-crq	what	what	0
was	was	vbds	was	be	0
manifested	manifested	vvn	manifested	manifest	0
to	to	p-acp	to	to	0
me	me	pno11	me	i	0
,	,	,	,	,	0
and	and	cc	and	and	0
declared	declared	vvd	declared	declare	0
by	by	p-acp	by	by	0
me	me	pno11	me	i	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
with	with	p-acp	with	with	0
much	much	d	much	much	0
joy	joy	n1	joy	joy	0
went	went	vvd	went	go	0
through	through	p-acp	through	through	0
it	it	pn31	it	it	0
:	:	:	:	:	0
I	I	pns11	I	i	0
still	still	av	still	still	0
knowing	knowing	vvg	knowing	know	0
my	my	po11	my	my	0
self	self	n1	self	self	0
clear	clear	j	clear	clear	0
and	and	cc	and	and	0
justified	justified	vvn	justified	justify	0
in	in	p-acp	in	in	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
and	and	cc	and	and	0
my	my	po11	my	my	0
own	own	d	own	own	0
conscience	conscience	n1	conscience	conscience	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
things	things	n2	things	thing	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
seen	seen	vvn	seen	see	0
,	,	,	,	,	0
known	known	vvn	known	know	0
,	,	,	,	,	0
and	and	cc	and	and	0
been	been	vbn	been	be	0
made	made	vvn	made	make	0
a	a	dt	a	a	0
partaker	partaker	n1	partaker	partaker	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
truth	truth	n1	truth	truth	0
and	and	cc	and	and	0
righte	righte	j-jn	right	right	0
∣	∣	sy	∣	∣	0
ousness	ousness	n1	ousness	ousness	0
.	.	.	.	.	1
And	And	cc	And	and	0
if	if	cs	if	if	0
any	any	d	any	any	0
shall	shall	vmb	shall	shall	0
question	question	vvi	question	question	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
of	of	pp-f	of	of	0
what	what	r-crq	what	what	0
is	is	vbz	is	be	0
here	here	av	here	here	0
written	written	vvn	written	write	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
and	and	cc	and	and	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
ready	ready	j	ready	ready	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
proved	proved	vvn	proved	prove	0
,	,	,	,	,	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
by	by	p-acp	by	by	0
my	my	po11	my	my	0
self	self	n1	self	self	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
by	by	p-acp	by	by	0
several	several	j	several	several	0
other	other	j-jn	other	other	0
persons	persons	n2	persons	person	0
that	that	cst	that	that	0
have	have	vhb	have	have	0
been	been	vbn	been	be	0
hearers	hearers	n2	hearers	hearer	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
and	and	cc	and	and	0
eye-witnesses	eye-witnesses	n2	eyewitnesses	eye-witness	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	d	that	that	0
had	had	vhd	had	have	0
taken	taken	vvn	taken	take	0
several	several	j	several	several	0
Co	Co	zz	Co	co	0
∣	∣	sy	∣	∣	0
pies	pies	n2	pies	pie	0
of	of	pp-f	of	of	0
what	what	r-crq	what	what	0
was	was	vbds	was	be	0
done	done	vdn	done	do	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Courts	Courts	n2	Courts	court	0
at	at	p-acp	at	at	0
my	my	po11	my	my	0
tryals	tryals	n2	trials	trial	0
;	;	;	;	;	0
all	all	d	all	all	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
still	still	av	still	still	0
recorded	recorded	vvn	recorded	record	0
and	and	cc	and	and	0
kept	kept	vvn	kept	keep	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
day	day	n1	day	day	0
,	,	,	,	,	0
and	and	cc	and	and	0
now	now	av	now	now	0
published	published	vvn	published	publish	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
view	view	n1	view	view	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
that	that	cst	that	that	0
desire	desire	vvb	desire	desire	0
to	to	pc-acp	to	to	0
look	look	vvi	look	look	0
into	into	p-acp	into	into	0
it	it	pn31	it	it	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
an	an	dt	and	a	0
outward	outward	j	outward	outward	0
testimony	testimony	n1	testimony	testimony	0
bearing	bearing	vvg	bearing	bear	0
witness	witness	n1	witness	witness	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
against	against	p-acp	against	against	0
all	all	d	all	all	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
lye	lye	n1	lie	lie	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
world	world	n1	world	world	0
.	.	.	.	.	1
And	And	cc	And	and	0
I	I	pns11	I	i	0
do	do	vdb	do	do	0
further	further	av-jc	further	further	0
declare	declare	vvi	declare	declare	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
my	my	po11	my	my	0
tryals	tryals	n2	trials	trial	0
and	and	cc	and	and	0
proceedings	proceedings	n2-vvg	proceedings	proceed	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
day	day	n1	day	day	0
,	,	,	,	,	0
I	I	pns11	I	i	0
never	never	av-x	never	never	0
feed	feed	vvi	feed	feed	0
or	or	cc	or	or	0
bribed	bribed	vvd	bribed	bribe	0
any	any	d	any	any	0
man	man	n1	man	man	0
whatsover	whatsover	r-crq	whatsoever	whatsoever	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
shew	shew	vvi	show	show	0
me	me	pno11	me	i	0
any	any	d	any	any	0
favour	favour	n1	favour	favour	0
;	;	;	;	;	0
neither	neither	d	neither	neither	0
did	did	vdd	did	do	0
any	any	d	any	any	0
ever	ever	av	ever	ever	0
require	require	vvb	require	require	0
it	it	pn31	it	it	0
of	of	pp-f	of	of	0
me	me	pno11	me	i	0
,	,	,	,	,	0
more	more	av-dc	more	more	0
then	then	cs	then	than	0
what	what	r-crq	what	what	0
was	was	vbds	was	be	0
due	due	j-jn	due	due	0
by	by	p-acp	by	by	0
course	course	n1	course	course	0
of	of	pp-f	of	of	0
Law	Law	n1	Law	law	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Clerks	Clerks	n2	Clerks	clerk	0
of	of	pp-f	of	of	0
Assizes	Assizes	np1	Assizes	Assizes	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
seek	seek	vvi	seek	seek	0
to	to	p-acp	to	to	0
men	men	n2	men	man	0
