WE	WE	pns12	WE	we	0
reade	reade	vvb	read	read	0
in	in	p-acp	in	in	0
holy	holy	j	holy	holy	0
Scripture	Scripture	n1	Scripture	scripture	0
,	,	,	,	,	0
Right	Right	av-jn	Right	right	0
Honourable	Honourable	j	Honourable	honourable	0
,	,	,	,	,	0
that	that	cst	that	that	0
godlines	godlines	n1	godliness	godliness	0
with	with	p-acp	with	with	0
contentment	contentment	n1	contentment	contentment	0
is	is	vbz	is	be	0
great	great	j	great	great	0
gaine,2	gaine,2	n1	gaine,2	gaine,2	0
.	.	.	.	.	1
Tim.	Tim.	np1	Tim.	Tim.	0
6.6	6.6	crd	6.6	6.6	0
.	.	.	.	.	0
for	for	c-acp	for	for	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
promise	promise	vvi	promise	promise	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
life	life	n1	life	life	0
but	but	cc-acp	but	but	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
life	life	n1	life	life	0
and	and	cc	and	and	0
glory	glory	n1	glory	glory	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
:	:	:	:	:	0
for	for	p-acp	for	for	0
proofe	proofe	n1	proof	proof	0
whereof	whereof	c-crq	whereof	whereof	0
we	we	pns12	we	we	0
haue	haue	vhb	have	have	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
person	person	n1	person	person	0
of	of	pp-f	of	of	0
Obed-Edom	Obed-Edom	np1	Obed-Edom	Obed-Edom	0
,	,	,	,	,	0
That	That	cst	That	that	0
when	when	c-crq	when	when	0
the	the	dt	the	the	0
Arke	Arke	n1	Ark	ark	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
was	was	vbds	was	be	0
well	well	av	well	well	0
entertained	entertained	vvn	entertained	entertain	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
house,2	house,2	n1	house,2	house,2	0
.	.	.	.	.	1
Sam.	Sam.	np1	Sam.	Sam	0
6.11	6.11	crd	6.11	6.11	0
.	.	.	.	.	0
both	both	av-d	both	both	0
he	he	pns31	he	he	0
and	and	cc	and	and	0
all	all	d	all	all	0
that	that	cst	that	that	0
did	did	vdd	did	do	0
belong	belong	vvi	belong	belong	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
were	were	vbdr	were	be	0
blessed	blessed	vvn	blessed	bless	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Arke	Arke	n1	Ark	ark	0
was	was	vbds	was	be	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
a	a	dt	a	a	0
token	token	n1	token	token	0
of	of	pp-f	of	of	0
Gods	Gods	npg1	Gods	God	0
presence	presence	n1	presence	presence	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
a	a	dt	a	a	0
type	type	n1	type	type	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
ministery	ministery	n1	ministry	ministry	0
;	;	;	;	;	0
To	To	p-acp	To	to	0
which	which	r-crq	which	which	0
God	God	np1	God	God	0
hath	hath	vhz	hath	have	0
conioyned	conioyned	vvn	conjoined	conjoin	0
himselfe	himselfe	px31	himself	himself	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
present	present	j	present	present	0
with	with	p-acp	with	with	0
vs	vs	pno12	us	we	0
vnto	vnto	p-acp	unto	unto	0
the	the	dt	the	the	0
end	end	n1	end	end	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
.	.	.	.	.	1
By	By	p-acp	By	by	0
the	the	dt	the	the	0
Arke	Arke	n1	Ark	ark	0
many	many	d	many	many	0
miracles	miracles	n2	miracles	miracle	0
were	were	vbdr	were	be	0
done	done	vdn	done	do	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
it	it	pn31	it	it	0
the	the	dt	the	the	0
waters	waters	n2	waters	water	0
of	of	pp-f	of	of	0
Jordan	Jordan	np1	Jordan	Jordan	0
were	were	vbdr	were	be	0
diui	diui	fw-la	diui	diui	0
∣	∣	sy	∣	∣	0
ded	ded	j	dead	dead	0
,	,	,	,	,	0
the	the	dt	the	the	0
walls	walls	n2	walls	wall	0
of	of	pp-f	of	of	0
Jericho	Jericho	np1	Jericho	Jericho	0
fell	fell	vvd	fell	fall	0
downe	downe	a-acp	down	down	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
ground	ground	n1	ground	ground	0
,	,	,	,	,	0
the	the	dt	the	the	0
Jdoll	Jdoll	n1	Jdoll	jdoll	0
Dagon	Dagon	np1	Dagon	Dagon	0
was	was	vbds	was	be	0
dismembred	dismembred	vvn	dismembered	dismember	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
the	the	dt	the	the	0
Arke	Arke	n1	Ark	ark	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
new	new	j	new	new	0
Couenant	Couenant	n1	Covenant	covenant	0
doth	doth	vdz	does	do	0
much	much	d	much	much	0
more	more	dc	more	more	0
,	,	,	,	,	0
it	it	pn31	it	it	0
passeth	passeth	vvz	passes	pass	0
all	all	d	all	all	0
Gods	Gods	ng1	Gods	god	0
children	children	n2	children	child	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
mighty	mighty	j	mighty	mighty	0
floods	floods	n2	floods	flood	0
of	of	pp-f	of	of	0
afflic	afflic	vvb	afflict	afflict	0
∣	∣	sy	∣	∣	0
tion	tion	n1	cion	cion	0
,	,	,	,	,	0
breaketh	breaketh	vvz	breaks	break	0
downe	downe	a-acp	down	down	0
the	the	dt	the	the	0
walls	walls	n2	walls	wall	0
of	of	pp-f	of	of	0
temptation	temptation	n1	temptation	temptation	0
,	,	,	,	,	0
ca	ca	zz	ca	ca	0
∣	∣	sy	∣	∣	0
steth	steth	vvz	steth	st	0
Popish	Popish	j	Popish	popish	0
Jdolatry	Jdolatry	n1	Idolatry	idolatry	0
to	to	p-acp	to	to	0
Gebena	Gebena	np1	Gebena	Gebena	0
from	from	p-acp	from	from	0
whence	whence	c-crq	whence	whence	0
it	it	pn31	it	it	0
came	came	vvd	came	come	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
not	not	xx	not	not	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
looke	looke	vvi	look	look	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
face	face	n1	face	face	0
,	,	,	,	,	0
this	this	d	this	this	0
doth	doth	vdz	does	do	0
present	present	vvi	present	present	0
Christ	Christ	np1	Christ	Christ	0
the	the	dt	the	the	0
way	way	n1	way	way	0
,	,	,	,	,	0
the	the	dt	the	the	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
life	life	n1	life	life	0
,	,	,	,	,	0
and	and	cc	and	and	0
doth	doth	vdz	does	do	0
exhibite	exhibite	vvi	exhibit	exhibit	0
Christ	Christ	np1	Christ	Christ	0
vnto	vnto	p-acp	unto	unto	0
vs	vs	pno12	us	we	0
,	,	,	,	,	0
God	God	np1	God	God	0
and	and	cc	and	and	0
man	man	n1	man	man	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
our	our	po12	our	our	0
righteousnes	righteousnes	n1	righteousness	righteousness	0
,	,	,	,	,	0
sanctification	sanctification	n1	sanctification	sanctification	0
and	and	cc	and	and	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
demption	demption	n1	demption	demption	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
the	the	dt	the	the	0
way	way	n1	way	way	0
to	to	pc-acp	to	to	0
meet	meet	vvi	meet	meet	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
these	these	d	these	these	0
bles	bles	n2-j	bles	bles	0
∣	∣	sy	∣	∣	0
sings	sings	vvz	sings	sing	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
Obed-Edom	Obed-Edom	np1	Obed-Edom	Obed-Edom	0
,	,	,	,	,	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
entertaine	entertaine	vvi	entertain	entertain	0
the	the	dt	the	the	0
Arke	Arke	n1	Ark	ark	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Gospell	Gospell	n1	Gospel	gospel	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
yet	yet	av	yet	yet	0
these	these	d	these	these	0
blessings	blessings	n2	blessings	blessing	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
obtained	obtained	vvn	obtained	obtain	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
presence	presence	n1	presence	presence	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Gospell	Gospell	n1	Gospel	gospel	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
beleeuing	beleeuing	vvg	believing	believe	0
,	,	,	,	,	0
obeying	obeying	vvg	obeying	obey	0
,	,	,	,	,	0
and	and	cc	and	and	0
reuerent	reuerent	j	reverent	reverent	0
estimation	estimation	n1	estimation	estimation	0
and	and	cc	and	and	0
entertainement	entertainement	n1	entertainment	entertainment	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
as	as	c-acp	as	as	0
we	we	pns12	we	we	0
must	must	vmb	must	must	0
loue	loue	vvi	love	love	0
God	God	np1	God	God	0
,	,	,	,	,	0
imbrace	imbrace	vvi	embrace	embrace	0
his	his	po31	his	his	0
lawes	lawes	n2	laws	law	0
,	,	,	,	,	0
aduance	aduance	vvi	advance	advance	0
the	the	dt	the	the	0
Gospell	Gospell	n1	Gospel	gospel	0
,	,	,	,	,	0
so	so	av	so	so	0
must	must	vmb	must	must	0
we	we	pns12	we	we	0
imitate	imitate	vvi	imitate	imitate	0
the	the	dt	the	the	0
example	example	n1	example	example	0
of	of	pp-f	of	of	0
O	O	np1	O	O	0
∣	∣	sy	∣	∣	0
bed-Edom	bed-Edom	np1	bed-Edom	bed-Edom	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
did	did	vdd	did	do	0
not	not	xx	not	not	0
breake	breake	vvi	break	break	0
the	the	dt	the	the	0
tables	tables	n2	tables	table	0
of	of	pp-f	of	of	0
stone	stone	n1	stone	stone	0
,	,	,	,	,	0
Aarons	Aarons	npg1	Aarons	Aaron	0
rod	rod	n1	rod	rod	0
,	,	,	,	,	0
or	or	cc	or	or	0
misused	misused	vvd	misused	misuse	0
Manna	Manna	n1	Manna	manna	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
would	would	vmd	would	will	0
haue	haue	vhi	have	have	0
bred	bred	vvn	bred	breed	0
his	his	po31	his	his	0
ouerthrow	ouerthrow	n1	overthrow	overthrow	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
did	did	vdd	did	do	0
car	car	n1	car	car	0
∣	∣	sy	∣	∣	0
ry	ry	zz	ry	ry	0
a	a	zz	a	a	0
reuerent	reuerent	j	reverent	reverent	0
respect	respect	n1	respect	respect	0
and	and	cc	and	and	0
estimation	estimation	n1	estimation	estimation	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Arke	Arke	n1	Ark	ark	0
,	,	,	,	,	0
so	so	av	so	so	0
he	he	pns31	he	he	0
did	did	vdd	did	do	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
supporters	supporters	n2	supporters	supporter	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
he	he	pns31	he	he	0
brake	brake	vvd	brake	break	0
not	not	xx	not	not	0
off	off	a-acp	off	off	0
the	the	dt	the	the	0
rings	rings	n2	rings	ring	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
the	the	dt	the	the	0
barres	barres	n2	bars	bar	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
rings	rings	n2	rings	ring	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
which	which	r-crq	which	which	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
carryed	carryed	vvn	carried	carry	0
from	from	p-acp	from	from	0
one	one	crd	one	one	0
place	place	n1	place	place	0
to	to	p-acp	to	to	0
another	another	j-jn	another	another	0
.	.	.	.	.	1
Jt	Jt	np1	Jt	Jt	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
dif	dif	n1	dif	dif	0
∣	∣	sy	∣	∣	0
ficult	ficult	j	ficult	ficult	0
matter	matter	n1	matter	matter	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
man	man	n1	man	man	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
dayes	dayes	n2	days	day	0
to	to	pc-acp	to	to	0
profit	profit	vvi	profit	profit	0
him	him	pno31	him	he	0
∣	∣	sy	∣	∣	0
selfe	selfe	n1	self	self	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Gospell	Gospell	n1	Gospel	gospel	0
