HIpponicus	HIpponicus	np1	HIpponicus	HIpponicus	0
the	the	dt	the	the	0
Sonne	Sonne	n1	Son	son	0
of	of	pp-f	of	of	0
Hippias	Hippias	np1	Hippias	Hippias	0
,	,	,	,	,	0
a	a	dt	a	a	0
citizen	citizen	n1	citizen	citizen	0
of	of	pp-f	of	of	0
Athens	Athens	np1	Athens	Athens	0
,	,	,	,	,	0
hauing	hauing	vhg	having	have	0
decreed	decreed	vvn	decreed	decree	0
and	and	cc	and	and	0
appoin	appoin	vvi	appoint	appoint	0
∣	∣	sy	∣	∣	0
ted	ted	j	ted	ted	0
to	to	pc-acp	to	to	0
erect	erect	vvi	erect	erect	0
and	and	cc	and	and	0
dedicate	dedicate	vvi	dedicate	dedicate	0
a	a	dt	a	a	0
cer	cer	n1	cer	cer	0
∣	∣	sy	∣	∣	0
taine	taine	zz	taine	taine	0
Image	Image	n1	Image	image	0
vnto	vnto	p-acp	unto	unto	0
his	his	po31	his	his	0
natiue	natiue	j-jn	native	native	0
soile	soile	n1	soil	soil	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
testimony	testimony	n1	testimony	testimony	0
and	and	cc	and	and	0
manifestation	manifestation	n1	manifestation	manifestation	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
ardent	ardent	j	ardent	ardent	0
loue	loue	n1	love	love	0
,	,	,	,	,	0
dutifull	dutifull	j	dutiful	dutiful	0
affecti	affecti	n1	affection	affection	0
∣	∣	sy	∣	∣	0
on	on	p-acp	on	on	0
,	,	,	,	,	0
and	and	cc	and	and	0
gratitude	gratitude	n1	gratitude	gratitude	0
towardes	towardes	p-acp	towards	towards	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
was	was	vbds	was	be	0
counselled	counselled	vvn	counseled	counsel	0
and	and	cc	and	and	0
impor	impor	n1	impor	impor	0
∣	∣	sy	∣	∣	0
tunately	tunately	av-j	tunately	tunate	0
perswaded	perswaded	vvn	persuaded	persuade	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
friends	friends	n2	friends	friend	0
and	and	cc	and	and	0
kinsfolks	kinsfolks	n2	kinsfolks	kinsfolk	0
(	(	(	(	(	0
who	who	r-crq	who	who	0
did	did	vdd	did	do	0
heare	heare	vvi	hear	hear	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
immutable	immutable	j	immutable	immutable	0
determination	determination	n1	determination	determination	0
thereunto	thereunto	av	thereunto	thereunto	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
giue	giue	vvi	give	give	0
out	out	av	out	out	0
the	the	dt	the	the	0
same	same	d	same	same	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
framed	framed	vvn	framed	frame	0
&	&	cc	&	and	0
made	made	vvn	made	make	0
by	by	p-acp	by	by	0
Polycle	Polycle	j	Polycle	polycle	0
∣	∣	sy	∣	∣	0
tus	tus	fw-la	tus	tus	0
,	,	,	,	,	0
(	(	(	(	(	0
an	an	dt	and	a	0
excellēt	excellēt	j	excellent	excellent	0
grauer	grauer	jc	graver	grave	0
of	of	pp-f	of	of	0
Images	Images	n2	Images	image	0
in	in	p-acp	in	in	0
those	those	d	those	those	0
times	times	n2	times	time	0
)	)	)	)	)	0
but	but	cc-acp	but	but	0
he	he	pns31	he	he	0
greatly	greatly	av-j	greatly	great	0
dis	dis	vdd	dis	do	0
∣	∣	sy	∣	∣	0
assenting	assenting	vvg	assenting	assent	0
from	from	p-acp	from	from	0
their	their	po32	their	their	0
opinion	opinion	n1	opinion	opinion	0
,	,	,	,	,	0
and	and	cc	and	and	0
reiecting	reiecting	vvg	rejecting	reject	0
their	their	po32	their	their	0
importunate	importunate	j	importunate	importunate	0
per	per	fw-la	per	per	0
∣	∣	sy	∣	∣	0
swasions	swasions	n2	swasions	swasion	0
,	,	,	,	,	0
answered	answered	vvd	answered	answer	0
them	them	pno32	them	they	0
;	;	;	;	;	0
that	that	cst	that	that	0
