MY	MY	po11	MY	my	0
verie	verie	j	very	very	0
good	good	j	good	good	0
Lordes	Lordes	n2	Lords	lord	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Sainct	Sainct	n1	Saint	saint	0
Iohn	Iohn	np1	Iohn	John	0
pro	pro	fw-la	pro	pro	0
∣	∣	sy	∣	∣	0
poundeth	poundeth	vvz	poundeth	pound	0
vnto	vnto	p-acp	unto	unto	0
vs	vs	pno12	us	we	0
two	two	crd	two	two	0
sorts	sorts	n2	sorts	sort	0
of	of	pp-f	of	of	0
children	children	n2	children	child	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
whome	whome	ro-crq	whom	who	0
he	he	pns31	he	he	0
calleth	calleth	vvz	calls	call	0
the	the	dt	the	the	0
one	one	pi	one	one	0
the	the	dt	the	the	0
children	children	n2	children	child	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
o	o	sy	oh	o	0
∣	∣	sy	∣	∣	0
ther	ther	zz	ther	ther	0
the	the	dt	the	the	0
children	children	n2	children	child	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
deuill	deuill	n1	devil	devil	0
:	:	:	:	:	0
so	so	av	so	so	0
doeth	doeth	vdz	doth	do	0
the	the	dt	the	the	0
holie	holie	j	holy	holy	0
Scripture	Scripture	n1	Scripture	scripture	0
plainly	plainly	av-j	plainly	plain	0
testifie	testifie	vvi	testify	testify	0
,	,	,	,	,	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
iudge	iudge	n1	judge	judge	0
∣	∣	sy	∣	∣	0
ment	ment	vvn	meant	mean	0
there	there	pc-acp	there	there	0
shall	shall	vmb	shall	shall	0
bee	bee	vbi	be	be	0
a	a	dt	a	a	0
maruellous	maruellous	j	marvelous	marvelous	0
difference	difference	n1	difference	difference	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
tweene	tweene	p-acp	tween	between	0
the	the	dt	the	the	0
one	one	crd	one	one	0
and	and	cc	and	and	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
the	the	dt	the	the	0
one	one	pi	one	one	0
shal	shal	vmb	shall	shall	0
in	in	p-acp	in	in	0
∣	∣	sy	∣	∣	0
comprehensibly	comprehensibly	av-j	comprehensibly	comprehensible	0
and	and	cc	and	and	0
eternally	eternally	av-j	eternally	eternal	0
