DEare	DEare	n1	DEare	deer	0
and	and	cc	and	and	0
faithfull	faithfull	j	faithful	faithful	0
Brethren	Brethren	n2	Brothers	brethren	0
,	,	,	,	,	0
Mr.	Mr.	n1	Mr.	mr.	0
Brightman	Brightman	np1	Brightman	Brightman	0
fore-prophesied	fore-prophesied	j	fore-prophesied	fore-prophesied	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Church	Church	n1	Church	church	0
to	to	pc-acp	to	to	0
arise	arise	vvi	arise	arise	0
,	,	,	,	,	0
that	that	cst	that	that	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
Woman	Woman	n1	Woman	woman	0
clothed	clothed	vvn	clothed	clothe	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Sun	Sun	n1	Sun	sun	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
should	should	vmd	should	shall	0
glitter	glitter	j	glitter	glit	0
on	on	p-acp	on	on	0
every	every	d	every	every	0
side	side	n1	side	side	0
round	round	av-j	round	round	0
about	about	a-acp	about	about	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
cleer	cleer	j	clear	clear	0
light	light	n1	light	light	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Scripture	Scripture	n1	Scripture	scripture	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Sun	Sun	n1	Sun	sun	0
of	of	pp-f	of	of	0
righteousnesse	righteousnesse	n1	righteousness	righteousness	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
doctrine	doctrine	n1	doctrine	doctrine	0
of	of	pp-f	of	of	0
justification	justification	n1	justification	justification	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
see	see	vvi	see	see	0
,	,	,	,	,	0
on	on	p-acp	on	on	0
Rev.	Rev.	n1	Rev.	rev.	1
19.	19.	crd	19.	19	0
17.	17.	crd	17.	17.	0
and	and	cc	and	and	0
chap.	chap.	n1	chap.	chapter	0
12.	12.	crd	12.	12.	0
1.	1.	crd	1.	1.	1
)	)	)	)	)	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
cleer	cleer	j	clear	clear	0
knowledge	knowledge	n1	knowledge	knowledge	0
whereof	whereof	c-crq	whereof	whereof	0
,	,	,	,	,	0
she	she	pns31	she	she	0
being	being	vbg	being	be	0
adorned	adorned	vvn	adorned	adorn	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
goodly	goodly	j	goodly	goodly	0
garment	garment	n1	garment	garment	0
,	,	,	,	,	0
came	came	vvd	came	come	0
forth	forth	av	forth	forth	0
abroad	abroad	av	abroad	abroad	0
,	,	,	,	,	0
and	and	cc	and	and	0
laid	laid	vvd	laid	lay	0
her	her	po31	her	her	0
self	self	n1	self	self	0
open	open	j	open	open	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
view	view	n1	view	view	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
.	.	.	.	.	1
And	And	cc	And	and	0
Rest	Rest	vvb	Rest	rest	0
(	(	(	(	(	0
saith	saith	vvz	says	say	0
hee	hee	pns31	he	he	0
)	)	)	)	)	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
naturall	naturall	j	natural	natural	0
daughter	daughter	n1	daughter	daughter	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
woman	woman	n1	woman	woman	0
,	,	,	,	,	0
clothed	clothed	vvn	clothed	clothe	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Sun	Sun	n1	Sun	sun	0
,	,	,	,	,	0
(	(	(	(	(	0
meaning	meaning	vvg	meaning	mean	0
a	a	dt	a	a	0
spirituall	spirituall	j	spiritual	spiritual	0
rest	rest	n1	rest	rest	0
)	)	)	)	)	0
which	which	q-crq	which	which	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
entire	entire	j	entire	entire	0
and	and	cc	and	and	0
chaste	chaste	j	chaste	chaste	0
Congregation	Congregation	n1	Congregation	congregation	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
,	,	,	,	,	0
(	(	(	(	(	0
yet	yet	av	yet	yet	0
no	no	dx	no	no	0
Sect	Sect	n1	Sect	sect	0
)	)	)	)	)	0
which	which	r-crq	which	which	0
above	above	p-acp	above	above	0
others	others	n2-jn	others	other	0
shine	shine	vvb	shine	shine	0
with	with	p-acp	with	with	0
this	this	d	this	this	0
glorious	glorious	j	glorious	glorious	0
aray	aray	n1	array	array	0
;	;	;	;	;	0
And	And	cc	And	and	0
it	it	pn31	it	it	0
seemeth	seemeth	vvz	seems	seem	0
,	,	,	,	,	0
(	(	(	(	(	0
saith	saith	vvz	says	say	0
he	he	pns31	he	he	0
)	)	)	)	)	0
that	that	cst	that	that	0
all	all	d	all	all	0
the	the	dt	the	the	0
chief	chief	j-jn	chief	chief	0
stresse	stresse	n1	stress	stress	0
and	and	cc	and	and	0
violence	violence	n1	violence	violence	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
last	last	ord	last	last	0
battell	battell	n1	battle	battle	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
West	West	n1	West	west	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
turned	turned	vvn	turned	turn	0
against	against	p-acp	against	against	0
that	that	d	that	that	0
holy	holy	j	holy	holy	0
Congregation	Congregation	n1	Congregation	congregation	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
said	said	vvd	said	say	0
right	right	av-jn	right	right	0
now	now	av	now	now	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
stand	stand	vvi	stand	stand	0
glittering	glittering	vvg	glittering	glitter	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Sun	Sun	n1	Sun	sun	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
hill	hill	n1	hill	hill	0
of	of	pp-f	of	of	0
precious	precious	j	precious	precious	0
fruits	fruits	n2	fruits	fruit	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
mountain	mountain	n1	mountain	mountain	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
holy	holy	j	holy	holy	0
pleasures	pleasures	n2	pleasures	pleasure	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
God	God	np1	God	God	0
maketh	maketh	vvz	makes	make	0
more	more	dc	more	more	0
account	account	n1	account	account	0
thenSee	thenSee	np1	thenSee	thenSee	0
2	2	crd	2	2	0
Esdr.	Esdr.	np1	Esdr.	Esdr.	1
7.	7.	crd	7.	7.	0
26.	26.	crd	26.	26.	0
34	34	crd	34	34	0
,	,	,	,	,	1
35.	35.	crd	35.	35.	1
See	See	n1	See	see	0
2	2	crd	2	2	0
Esdr.	Esdr.	np1	Esdr.	Esdr.	1
6.	6.	crd	6.	6.	0
28.	28.	crd	28.	28.	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
delight	delight	n1	delight	delight	0
some	some	d	some	some	0
things	things	n2	things	thing	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
world	world	n1	world	world	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
you	you	pn22	you	you	0
white	white	j-jn	white	white	0
rayment	rayment	n1	raiment	raiment	0
Christians	Christians	np1	Christians	Christians	0
,	,	,	,	,	0
are	are	vbr	are	be	0
this	this	d	this	this	0
woman	woman	n1	woman	woman	0
,	,	,	,	,	0
clothed	clothed	vvn	clothed	clothe	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Sun	Sun	n1	Sun	sun	0
;	;	;	;	;	0
for	for	c-acp	for	for	0
you	you	pn22	you	you	0
all	all	d	all	all	0
believe	believe	vvb	believe	believe	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
clothed	clothed	vvn	clothed	clothe	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Sun	Sun	n1	Sun	sun	0
of	of	pp-f	of	of	0
Righteousnesse	Righteousnesse	n1	Righteousness	righteousness	0
,	,	,	,	,	0
and	and	cc	and	and	0
stand	stand	vvb	stand	stand	0
in	in	p-acp	in	in	0
him	him	pno31	him	he	0
before	before	p-acp	before	before	0
God	God	np1	God	God	0
:	:	:	:	:	0
Here	Here	av	Here	here	0
is	is	vbz	is	be	0
an	an	dt	and	a	0
